1-220kV母线Ⅰ电压Ua_1,2-220kV母线Ⅰ电压Ub_2,3-220kV母线Ⅰ电压Uc_3,4-220kV母线Ⅰ电压3Uo_4,41-220kV瑞达Ⅰ线路电流Ia_41,42-220kV瑞达Ⅰ线路电流Ib_42,43-220kV瑞达Ⅰ线路电流Ic_43,44-220kV瑞达Ⅰ线路电流3Io_44
-74.38372802734375,2.538257598876953,70.364501953125,-2.4746217727661133,-0.14919929206371307,-0.04272044450044632,0.2776589095592499,0.11369720846414566
-72.12388610839844,-3.2362782955169678,73.66383361816406,-2.7918808460235596,-0.13498984277248383,-0.05696059390902519,0.29189783334732056,0.1279093623161316
-69.29113006591797,-9.01081371307373,76.48729705810547,-2.9505105018615723,-0.1278851181268692,-0.06408067047595978,0.2990172803401947,0.13501542806625366
-65.56716918945312,-14.341155052185059,78.29557800292969,-2.60152530670166,-0.12078038603067398,-0.07120074331760406,0.30613675713539124,0.13501542806625366
-62.25698471069336,-19.67149543762207,80.0721435546875,-3.1725919246673584,-0.11367565393447876,-0.07832081615924835,0.3203756809234619,0.14212150871753693
-58.787654876708984,-25.25566291809082,80.96041870117188,-5.234776496887207,-0.09946619719266891,-0.09256096184253693,0.3346146047115326,0.15633365511894226
-54.90454864501953,-30.522546768188477,80.42110443115234,-8.502546310424805,-0.09236147254705429,-0.09256096184253693,0.3559729754924774,0.17765188217163086
-52.358253479003906,-37.3758430480957,74.67900848388672,-26.046979904174805,-0.08525674045085907,-0.09968103468418121,0.43428701162338257,0.26292479038238525
-48.66611862182617,-42.00816345214844,72.71210479736328,-31.18657875061035,-0.08525674045085907,-0.1068011149764061,0.5197205543518066,0.3410916030406952
-44.17826843261719,-46.16455841064453,71.72864532470703,-32.36043930053711,-0.07104728370904922,-0.11392118781805038,0.5624372959136963,0.39083415269851685
-38.67190170288086,-50.22576904296875,70.39622497558594,-32.07490539550781,-0.05683782696723938,-0.12104126065969467,0.6122735142707825,0.4476827383041382
-33.13370132446289,-53.90624237060547,67.9217300415039,-33.24876403808594,-0.05683782696723938,-0.12816134095191956,0.6407513618469238,0.45478883385658264
-27.81830596923828,-57.07906723022461,70.4279556274414,-25.000024795532227,-0.05683782696723938,-0.14240148663520813,0.6834681034088135,0.4903191924095154
-21.579875946044922,-59.04621505737305,72.17279052734375,-14.625648498535156,-0.042628370225429535,-0.14952155947685242,0.7546626925468445,0.5542738437652588
-15.054986953735352,-61.71138381958008,70.99899291992188,-10.025390625,-0.02841891348361969,-0.17088177800178528,0.8258572816848755,0.618228554725647
-10.153363227844238,-65.51876831054688,70.90381622314453,-8.121835708618164,-0.021314185112714767,-0.17800185084342957,0.8685740232467651,0.6608650088310242
-6.079286575317383,-69.6751708984375,69.44449615478516,-10.786812782287598,-0.02841891348361969,-0.18512192368507385,0.904171347618103,0.6750771403312683
-1.5596075057983398,-73.1969985961914,66.65276336669922,-14.054582595825195,-0.014209456741809845,-0.19224199652671814,0.9468880891799927,0.7319257855415344
2.960071325302124,-77.09957122802734,63.89274597167969,-17.76651382446289,0.0,-0.19224199652671814,0.9540075659751892,0.7532439827919006
8.625584602355957,-79.70128631591797,61.925838470458984,-15.831233978271484,0.0071047283709049225,-0.19224199652671814,0.9611270427703857,0.7532439827919006
13.750008583068848,-81.63670349121094,58.816856384277344,-15.672603607177734,0.014209456741809845,-0.19936206936836243,0.9540075659751892,0.7532439827919006
19.192720413208008,-82.84237670898438,57.80168151855469,-10.088842391967773,0.03552364185452461,-0.18512192368507385,0.9184102416038513,0.7532439827919006
26.03589630126953,-82.84237670898438,56.945125579833984,0.34898510575294495,0.042628370225429535,-0.19224199652671814,0.9112908244132996,0.7532439827919006
33.03821563720703,-81.89053344726562,55.200286865234375,11.230975151062012,0.04973309859633446,-0.19936206936836243,0.904171347618103,0.7461379170417786
37.876182556152344,-82.27127075195312,52.82096481323242,14.68910026550293,0.04973309859633446,-0.19224199652671814,0.8970518708229065,0.7461379170417786
42.045745849609375,-82.71546936035156,48.60163116455078,13.927678108215332,0.0639425590634346,-0.18512192368507385,0.8472156524658203,0.7106075286865234
47.48845672607422,-81.6684341430664,45.61954879760742,19.923877716064453,0.0639425590634346,-0.19224199652671814,0.7973794341087341,0.6537589430809021
51.594364166259766,-81.63670349121094,41.844356536865234,20.558395385742188,0.07815201580524445,-0.17800185084342957,0.7333043217658997,0.596910297870636
55.191009521484375,-81.31942749023438,37.72019577026367,20.27286148071289,0.08525674045085907,-0.18512192368507385,0.6621097326278687,0.5471677780151367
58.1192512512207,-81.00214385986328,33.78638458251953,18.908647537231445,0.09236147254705429,-0.17800185084342957,0.5766761898994446,0.4690009653568268
61.62041091918945,-79.85992431640625,31.66085433959961,23.31855010986328,0.09946619719266891,-0.17088177800178528,0.4912427067756653,0.405046284198761
65.91728973388672,-77.60722351074219,28.48842430114746,29.18784523010254,0.11367565393447876,-0.1566416323184967,0.41292864084243774,0.3410916030406952
69.64125061035156,-75.06896209716797,24.491161346435547,33.09013366699219,0.12078038603067398,-0.14952155947685242,0.3346146047115326,0.2700308561325073
71.8692626953125,-73.54601287841797,20.557348251342773,32.836326599121094,0.1278851181268692,-0.14952155947685242,0.23494215309619904,0.19897010922431946
