110kV I母_1,110kV I母_2,110kV I母_3,110kV I母_4,110kV崇古六线_33,110kV崇古六线_34,110kV崇古六线_35,110kV崇古六线_36
43.666114807128906,-82.25144958496094,39.82506561279297,-0.10115300118923187,-0.5490210056304932,1.2536699771881104,-0.7608479857444763,-0.06916800141334534
47.78266143798828,-81.92826843261719,35.475406646728516,-0.05446700006723404,-0.6181889772415161,1.2536699771881104,-0.6916800141334534,-0.06916800141334534
51.93629455566406,-81.46205139160156,30.87144660949707,0.08559100329875946,-0.7046489715576172,1.2363779544830322,-0.6225119829177856,-0.103752002120018
56.1217155456543,-80.29119110107422,25.52576446533203,0.20230600237846375,-0.7392330169677734,1.2363779544830322,-0.5533440113067627,-0.06916800141334534
59.681968688964844,-78.65410614013672,20.2436580657959,0.03890499845147133,-0.8084009885787964,1.2190860509872437,-0.48417600989341736,-0.08646000176668167
63.337589263916016,-77.30311584472656,15.353604316711426,0.18674400448799133,-0.8256930112838745,1.1672099828720093,-0.43230000138282776,-0.06916800141334534
66.94023132324219,-75.68193054199219,10.023816108703613,0.12449599802494049,-0.8948609828948975,1.1672099828720093,-0.32854801416397095,-0.06916800141334534
69.98128509521484,-73.40379333496094,4.641047954559326,0.062247999012470245,-0.9467369914054871,1.1153340339660645,-0.27667200565338135,-0.08646000176668167
72.57200622558594,-70.88723754882812,-0.5086079835891724,0.11671499907970428,-0.9640290141105652,1.0807499885559082,-0.17292000353336334,-0.06916800141334534
75.43292236328125,-68.43956756591797,-5.753627777099609,0.19452500343322754,-1.033197045326233,1.0288740396499634,-0.13833600282669067,-0.08646000176668167
77.91239166259766,-65.59983825683594,-11.141694068908691,0.1400579959154129,-1.033197045326233,0.976997971534729,-0.017292000353336334,-0.06916800141334534
80.02098846435547,-62.56938171386719,-16.275455474853516,0.24121099710464478,-1.0504889488220215,0.9424139857292175,0.017292000353336334,-0.06916800141334534
81.71105194091797,-59.247535705566406,-21.191999435424805,0.4435169994831085,-1.0677809715270996,0.8732460141181946,0.103752002120018,-0.06916800141334534
82.8978042602539,-55.427677154541016,-26.182716369628906,0.5368890166282654,-1.0850729942321777,0.821370005607605,0.19021199643611908,-0.06916800141334534
83.41171264648438,-51.47536849975586,-30.75489044189453,0.46685999631881714,-1.1023650169372559,0.7694939970970154,0.2593800127506256,-0.06916800141334534
83.93621063232422,-47.263458251953125,-35.43302536010742,0.6069179773330688,-1.1023650169372559,0.6657419800758362,0.2939639985561371,-0.06916800141334534
83.90972137451172,-42.76015853881836,-39.931026458740234,0.6069179773330688,-1.119657039642334,0.6311579942703247,0.3977159857749939,-0.06916800141334534
83.28985595703125,-38.240962982177734,-44.00518798828125,0.49798399209976196,-1.1023650169372559,0.5446979999542236,0.48417600989341736,-0.03458400070667267
82.7388687133789,-33.68998336791992,-48.00517654418945,0.5602319836616516,-1.1023650169372559,0.49282199144363403,0.5533440113067627,-0.03458400070667267
81.89118957519531,-28.72575569152832,-52.33894348144531,0.3968310058116913,-1.1023650169372559,0.40636199712753296,0.6225119829177856,-0.03458400070667267
80.32827758789062,-23.263517379760742,-56.2912483215332,0.23342999815940857,-1.1023650169372559,0.30261000990867615,0.6743879914283752,-0.051876001060009
78.64881134033203,-18.21982192993164,-59.6978645324707,0.33458301424980164,-1.0677809715270996,0.2680259943008423,0.7262639999389648,-0.051876001060009
77.22364807128906,-13.15493392944336,-63.52302169799805,0.24899199604988098,-1.0677809715270996,0.1815659999847412,0.8127239942550659,-0.03458400070667267
75.30047607421875,-7.894020080566406,-66.94552612304688,0.19452500343322754,-1.033197045326233,0.09510599821805954,0.8646000027656555,-0.017292000353336334
72.89517974853516,-2.70727801322937,-69.75347137451172,0.3034589886665344,-0.9813209772109985,0.0259380005300045,0.899183988571167,-0.03458400070667267
70.5269775390625,2.2993319034576416,-72.39717102050781,0.3968310058116913,-0.9640290141105652,-0.06052200123667717,0.9510599970817566,-0.03458400070667267
68.03691864013672,7.528458118438721,-75.31636810302734,0.2645539939403534,-0.9121530055999756,-0.11239799857139587,0.9856439828872681,-0.017292000353336334
65.09122467041016,12.72579574584961,-77.631591796875,0.22564899921417236,-0.860276997089386,-0.19885799288749695,1.0375200510025024,-0.03458400070667267
61.8912353515625,17.76949119567871,-79.58655548095703,0.2567729949951172,-0.8256930112838745,-0.2680259943008423,1.0375200510025024,-0.03458400070667267
58.299190521240234,22.68073844909668,-81.05940246582031,0.19452500343322754,-0.791109025478363,-0.3371939957141876,1.0893959999084473,-0.017292000353336334
54.29920196533203,27.565494537353516,-82.08191680908203,0.007780999876558781,-0.7219409942626953,-0.4236539900302887,1.1066880226135254,-0.017292000353336334
50.182655334472656,32.21713638305664,-82.69647979736328,0.0,-0.6527730226516724,-0.4755299985408783,1.1239800453186035,-0.017292000353336334
45.854190826416016,37.0277214050293,-83.23158264160156,0.03890499845147133,-0.6181889772415161,-0.5619900226593018,1.141271948814392,0.0
41.05950164794922,41.493934631347656,-83.05144500732422,-0.04668600112199783,-0.5663130283355713,-0.6311579942703247,1.1585639715194702,0.0
36.46613311767578,45.589290618896484,-82.50045776367188,0.09337200224399567,-0.4798530042171478,-0.7003260254859924,1.1758559942245483,0.0
31.87276840209961,49.6634521484375,-82.0289306640625,0.1478389948606491,-0.4279769957065582,-0.7694939970970154,1.2104400396347046,0.0
26.686025619506836,53.98662185668945,-81.1547622680664,0.21786800026893616,-0.3588089942932129,-0.821370005607605,1.1758559942245483,0.0
