罗平II母线A相_13,罗平II母线B相_14,罗平II母线C相_15,罗平II母线3U0_16,罗平II回线A相_29,罗平II回线B相_30,罗平II回线C相_31,罗平II回线3I0_32
-46.50971221923828,86.9173583984375,-40.056663513183594,0.4973120093345642,-0.062435999512672424,0.02651599980890751,-0.05874500051140785,-0.034182000905275345
-64.399658203125,82.92414093017578,-18.37918472290039,0.3263610005378723,-0.06811200082302094,0.0170460008084774,-0.03600500151515007,-0.03608100116252899
-78.75105285644531,74.32575225830078,3.930988073348999,-0.5128530263900757,-0.07000400125980377,0.0018939999863505363,-0.020844999700784683,-0.03798000141978264
-85.4027099609375,59.43156051635742,24.996519088745117,-1.243280053138733,-0.06432799994945526,-0.009469999931752682,-0.0037899999879300594,-0.0322830006480217
-86.6375732421875,39.8284797668457,46.11391067504883,-0.7770500183105469,-0.056759998202323914,-0.03977400064468384,0.007579999975860119,-0.0322830006480217
-82.59054565429688,18.32732391357422,63.81891632080078,-0.575016975402832,-0.03973200172185898,-0.05871399864554405,0.018950000405311584,-0.0322830006480217
-74.09178161621094,-3.765036106109619,77.9455795288086,0.23311500251293182,-0.02648800052702427,-0.07954800128936768,0.032214999198913574,-0.03038400039076805
-59.56398010253906,-25.141727447509766,84.87407684326172,0.3108200132846832,-0.0018919999711215496,-0.09280599653720856,0.02463500015437603,-0.0322830006480217
-39.4741096496582,-46.46656036376953,86.3365249633789,0.5905579924583435,0.015135999768972397,-0.11364000290632248,0.013264999724924564,-0.028485000133514404
-17.80693244934082,-64.44123840332031,82.4573974609375,0.2486560046672821,0.04162399843335152,-0.12310999631881714,0.005685000214725733,-0.034182000905275345
4.545125961303711,-78.5886459350586,73.89012908935547,-0.1554100066423416,0.05865199863910675,-0.1325799971818924,-0.0018949999939650297,-0.034182000905275345
25.351011276245117,-85.35118865966797,59.524906158447266,-0.7459679841995239,0.06811200082302094,-0.12310999631881714,-0.02463500015437603,-0.039879001677036285
46.644615173339844,-86.96922302246094,39.98405838012695,-0.4351480007171631,0.07946400344371796,-0.12121599912643433,-0.04737500101327896,-0.034182000905275345
64.65908813476562,-82.89302062988281,18.32732391357422,-0.062164001166820526,0.08513999730348587,-0.11364000290632248,-0.07011500000953674,-0.03608100116252899
78.76142883300781,-74.31537628173828,-3.765036106109619,0.839214026927948,0.08892399817705154,-0.09659399837255478,-0.08148500323295593,-0.03798000141978264
85.36119842529297,-59.30709457397461,-25.110612869262695,1.2588210105895996,0.08892399817705154,-0.07954800128936768,-0.09475000202655792,-0.03608100116252899
86.51304626464844,-39.579551696777344,-46.228004455566406,0.8236730098724365,0.07378800213336945,-0.05682000145316124,-0.10611999779939651,-0.03798000141978264
82.53865814208984,-17.985048294067383,-63.94337844848633,0.9635419845581055,0.056759998202323914,-0.03787999972701073,-0.1193849965929985,-0.039879001677036285
73.98800659179688,3.962104082107544,-78.01818084716797,-0.09324599802494049,0.04540799930691719,-0.013257999904453754,-0.1250700056552887,-0.041777998208999634
59.4290771484375,25.432144165039062,-85.04003143310547,-0.27973800897598267,0.028379999101161957,0.0018939999863505363,-0.1231750026345253,-0.039879001677036285
39.391090393066406,46.7777214050293,-86.5335922241211,-0.5283939838409424,0.003783999942243099,0.022727999836206436,-0.1137000024318695,-0.039879001677036285
17.827686309814453,64.58644104003906,-82.44702911376953,-0.062164001166820526,-0.01892000064253807,0.03030399978160858,-0.10611999779939651,-0.039879001677036285
-4.358339786529541,78.54715728759766,-73.78640747070312,0.5905579924583435,-0.035948000848293304,0.03787999972701073,-0.09475000202655792,-0.039879001677036285
-25.31987953186035,85.25784301757812,-59.32783889770508,0.7925909757614136,-0.04540799930691719,0.0340920016169548,-0.07959000021219254,-0.03798000141978264
-46.88328552246094,86.88624572753906,-39.69364547729492,0.4351480007171631,-0.056759998202323914,0.03219800069928169,-0.04927000030875206,-0.03608100116252899
-64.70059204101562,82.82041931152344,-18.00579261779785,0.29527899622917175,-0.06811200082302094,0.013257999904453754,-0.03410999849438667,-0.034182000905275345
-78.89633178710938,74.17017364501953,4.242147922515869,-0.5439350008964539,-0.07189600169658661,0.0018939999863505363,-0.020844999700784683,-0.039879001677036285
-85.45459747314453,59.13077163696289,25.411399841308594,-1.1655750274658203,-0.062435999512672424,-0.01515199989080429,-0.007579999975860119,-0.034182000905275345
-86.57530975341797,39.51731872558594,46.4561882019043,-0.7459679841995239,-0.0510840006172657,-0.03030399978160858,0.007579999975860119,-0.03608100116252899
-82.49714660644531,17.964303970336914,64.09896087646484,-0.606099009513855,-0.03784000128507614,-0.05871399864554405,0.018950000405311584,-0.0322830006480217
-73.93612670898438,-4.1176838874816895,78.13227844238281,0.23311500251293182,-0.024596000090241432,-0.08144199848175049,0.02652999944984913,-0.0322830006480217
-59.25267028808594,-25.45288848876953,84.93630981445312,0.3263610005378723,-0.003783999942243099,-0.09659399837255478,0.030319999903440475,-0.034182000905275345
-39.12128829956055,-46.808837890625,86.30541229248047,0.6371809840202332,0.01892000064253807,-0.10985200107097626,0.015159999951720238,-0.034182000905275345
-17.443737030029297,-64.67979431152344,82.29145050048828,0.18649199604988098,0.035948000848293304,-0.12500399351119995,0.005685000214725733,-0.028485000133514404
4.877190113067627,-78.73384857177734,73.67231750488281,-0.20203299820423126,0.056759998202323914,-0.1325799971818924,-0.009475000202655792,-0.0322830006480217
25.662321090698242,-85.47565460205078,59.2552375793457,-0.6838039755821228,0.07189600169658661,-0.12879200279712677,-0.020844999700784683,-0.03608100116252899
