220kV I 母电压_A_1,220kV I 母电压_B_2,220kV I 母电压_C_3,220kV I 母电压_N_4,220kV凤华II回电流_A_13,220kV凤华II回电流_B_14,220kV凤华II回电流_C_15,220kV凤华II回电流_N_16
26.019630432128906,-84.5572738647461,58.50468063354492,-0.0787699967622757,0.24432800710201263,-0.14000000059604645,-0.08731000125408173,0.0
38.950469970703125,-86.43001556396484,47.43764877319336,-0.09452400356531143,0.2617799937725067,-0.10499999672174454,-0.12223400175571442,0.008740999735891819
51.196861267089844,-86.27220153808594,35.01224899291992,-0.09452400356531143,0.27050599455833435,-0.07000000029802322,-0.13969600200653076,0.017481999471783638
61.737388610839844,-83.96810150146484,22.218299865722656,0.01575399935245514,0.235602006316185,-0.04374999925494194,-0.17462000250816345,0.017481999471783638
70.38252258300781,-79.43354797363281,9.087389945983887,0.0787699967622757,0.22687600553035736,0.0,-0.1920820027589798,0.008740999735891819
77.22702026367188,-73.09990692138672,-3.9908699989318848,0.23631000518798828,0.18324600160121918,0.017500000074505806,-0.2270060032606125,0.0
82.23930358886719,-64.79883575439453,-17.27972984313965,0.3150799870491028,0.18324600160121918,0.07874999940395355,-0.23573699593544006,0.008740999735891819
85.37724304199219,-54.89857864379883,-30.27375030517578,0.3308340013027191,0.139615997672081,0.11375000327825546,-0.2531990110874176,0.0
86.71454620361328,-43.47277069091797,-42.98345947265625,0.3308340013027191,0.12216400355100632,0.16625000536441803,-0.2531990110874176,0.008740999735891819
85.74578857421875,-30.9422607421875,-54.66122817993164,0.204802006483078,0.07853399962186813,0.19249999523162842,-0.2531990110874176,0.008740999735891819
82.62890625,-17.72788429260254,-64.69631958007812,0.26781800389289856,0.03490399941802025,0.20999999344348907,-0.2270060032606125,0.008740999735891819
77.36390686035156,-4.576634883880615,-72.6991195678711,0.06301599740982056,0.0,0.22750000655651093,-0.20954400300979614,0.008740999735891819
70.32987213134766,8.585136413574219,-78.92234802246094,-0.09452400356531143,-0.03490399941802025,0.24500000476837158,-0.20081299543380737,0.008740999735891819
61.45307922363281,21.83107566833496,-83.33441925048828,-0.14178599417209625,-0.07853399962186813,0.2537499964237213,-0.16588899493217468,0.008740999735891819
50.975730895996094,34.78242492675781,-85.78791046142578,-0.1260319948196411,-0.12216400355100632,0.26249998807907104,-0.13969600200653076,0.0
38.89781951904297,47.24980926513672,-86.21964263916016,-0.18904800713062286,-0.15706799924373627,0.27125000953674316,-0.10477200150489807,0.008740999735891819
26.082809448242188,58.29685974121094,-84.4716567993164,-0.204802006483078,-0.19197200238704681,0.24500000476837158,-0.06984800100326538,-0.008740999735891819
12.951899528503418,67.67107391357422,-80.67032623291016,-0.14178599417209625,-0.19197200238704681,0.22750000655651093,-0.03492400050163269,0.008740999735891819
-0.010529999621212482,75.21463012695312,-75.1526107788086,0.06301599740982056,-0.2094240039587021,0.21875,0.0,0.0
-13.10984992980957,80.8433609008789,-67.5499496459961,0.2520639896392822,-0.235602006316185,0.20125000178813934,0.04365500062704086,0.0
-26.25128936767578,84.5467529296875,-58.18878173828125,0.1260319948196411,-0.2530539929866791,0.17499999701976776,0.08731000125408173,0.0
-39.234779357910156,86.47209930419922,-47.1428108215332,0.0787699967622757,-0.2617799937725067,0.14000000059604645,0.12223400175571442,0.008740999735891819
-51.4074592590332,86.3248062133789,-34.78059005737305,0.1260319948196411,-0.2617799937725067,0.10499999672174454,0.1571580022573471,-0.008740999735891819
-61.8742790222168,83.95758056640625,-21.98664093017578,0.06301599740982056,-0.2530539929866791,0.05249999836087227,0.17462000250816345,-0.008740999735891819
-70.45623016357422,79.35990142822266,-8.855730056762695,-0.047262001782655716,-0.235602006316185,0.017500000074505806,0.18335099518299103,0.0
-77.21649169921875,72.90000915527344,4.211999893188477,-0.23631000518798828,-0.2094240039587021,-0.026249999180436134,0.20081299543380737,-0.008740999735891819
-82.15505981445312,64.63050079345703,17.363969802856445,-0.34658798575401306,-0.17452000081539154,-0.05249999836087227,0.23573699593544006,0.008740999735891819
-85.21929168701172,54.81441116333008,30.326400756835938,-0.204802006483078,-0.14834199845790863,-0.09624999761581421,0.2531990110874176,0.0
-86.55660247802734,43.346519470214844,42.962398529052734,-0.42535799741744995,-0.11343800276517868,-0.12250000238418579,0.2531990110874176,0.0
-85.60890197753906,30.847572326660156,54.5453987121582,-0.3623420000076294,-0.0698079988360405,-0.1574999988079071,0.2531990110874176,0.008740999735891819
-80.43866729736328,18.401229858398438,60.69491958618164,-4.190564155578613,0.017451999709010124,-0.10499999672174454,0.689749002456665,0.27097100019454956
-72.87812805175781,7.911791801452637,-2.737799882888794,-119.46258544921875,0.47993001341819763,0.35874998569488525,2.68914794921875,3.5313639640808105
-58.91535186767578,1.2625199556350708,34.79111862182617,-39.00690460205078,-0.08726000040769577,-0.41999998688697815,5.256062030792236,4.720139980316162
-62.05329132080078,-20.252925872802734,26.98838996887207,-97.02888488769531,-0.31413599848747253,-0.6387500166893005,8.163484573364258,7.176361083984375
-60.04206085205078,-42.51536178588867,36.61280822753906,-115.30352783203125,-0.3054099977016449,-0.6474999785423279,10.093035697937012,9.08189868927002
-37.4552116394043,-42.494319915771484,28.652130126953125,-89.82930755615234,-0.4188480079174042,-0.9100000262260437,12.581371307373047,11.162257194519043
-33.106319427490234,-66.40855407714844,21.80763053894043,-136.0988006591797,-0.3490400016307831,-0.8399999737739563,14.73792839050293,13.469881057739258
-9.319049835205078,-62.726200103759766,19.82798957824707,-91.6252670288086,-0.47120401263237,-0.9275000095367432,16.239660263061523,14.74606704711914
