1-220kV Ⅰ段母线电压Ua_1,2-220kV Ⅰ段母线电压Ub_2,3-220kV Ⅰ段母线电压Uc_3,4-220kV Ⅰ段母线电压3Uo_4,9-220kV江汉Ⅰ回281断路器Ia_9,10-220kV江汉Ⅰ回281断路器Ib_10,11-220kV江汉Ⅰ回281断路器Ic_11,12-220kV江汉Ⅰ回281断路器3Io_12
-51.61184310913086,82.81224060058594,-31.109609603881836,0.15621547400951385,-0.041494738310575485,0.02074776217341423,0.020754992961883545,0.0069157895632088184
-53.6738166809082,82.34349060058594,-28.579612731933594,0.1249723806977272,-0.041494738310575485,0.02074776217341423,0.020754992961883545,0.0
-55.73579025268555,81.81224060058594,-25.987144470214844,0.15621547400951385,-0.041494738310575485,0.02074776217341423,0.020754992961883545,0.0069157895632088184
-57.73528289794922,81.18724060058594,-23.363441467285156,0.09372928738594055,-0.041494738310575485,0.02074776217341423,0.020754992961883545,0.0
-59.67228698730469,80.49974822998047,-20.77097511291504,0.09372928738594055,-0.041494738310575485,0.013831840828061104,0.027673324570059776,0.0
-61.546810150146484,79.84349822998047,-18.240976333618164,0.09372928738594055,-0.041494738310575485,0.02074776217341423,0.027673324570059776,0.0069157895632088184
-63.42133331298828,79.15599822998047,-15.64850902557373,0.09372928738594055,-0.041494738310575485,0.013831840828061104,0.027673324570059776,0.0
-65.26461029052734,78.40599822998047,-13.087275505065918,0.1249723806977272,-0.041494738310575485,0.013831840828061104,0.027673324570059776,0.0
-67.01416778564453,77.562255859375,-10.463573455810547,0.1249723806977272,-0.041494738310575485,0.013831840828061104,0.027673324570059776,0.0069157895632088184
-68.73247528076172,76.624755859375,-7.839871883392334,0.09372928738594055,-0.041494738310575485,0.013831840828061104,0.027673324570059776,0.0
-70.35706329345703,75.65601348876953,-5.247404098510742,0.1249723806977272,-0.041494738310575485,0.013831840828061104,0.03459165617823601,0.0069157895632088184
-71.88792419433594,74.62476348876953,-2.686171054840088,0.09372928738594055,-0.041494738310575485,0.013831840828061104,0.03459165617823601,0.0069157895632088184
-73.29381561279297,73.40602111816406,-0.09370364248752594,0.0312430951744318,-0.041494738310575485,0.006915920414030552,0.03459165617823601,0.0
-74.63722229003906,72.12477111816406,2.467529296875,-0.0312430951744318,-0.041494738310575485,0.006915920414030552,0.03459165617823601,0.0
-75.91814422607422,70.7810287475586,5.059997081756592,-0.09372928738594055,-0.041494738310575485,0.0,0.03459165617823601,0.0069157895632088184
-77.04286193847656,69.3435287475586,7.652464389801025,-0.09372928738594055,-0.034578949213027954,0.0,0.04150998592376709,0.0
-78.19881439208984,67.81228637695312,10.276166915893555,-0.15621547400951385,-0.041494738310575485,0.0,0.04150998592376709,0.0
-79.22980499267578,66.18729400634766,12.83739948272705,-0.34367406368255615,-0.034578949213027954,0.0,0.04150998592376709,0.0
-80.04209899902344,64.43729400634766,15.367398262023926,-0.4374033212661743,-0.034578949213027954,0.0,0.04150998592376709,0.0
-79.04235076904297,64.34354400634766,19.52159309387207,8.529364585876465,-0.034578949213027954,-0.006915920414030552,0.04150998592376709,0.0
-80.29203033447266,61.96855545043945,21.42690086364746,5.530027866363525,-0.034578949213027954,-0.006915920414030552,0.04150998592376709,0.0
-81.69792175292969,59.343563079833984,23.2072696685791,1.562154769897461,-0.034578949213027954,-0.013831840828061104,0.04150998592376709,0.0
-82.72891235351562,56.843570709228516,25.331218719482422,-0.9997790455818176,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
-83.54120635986328,54.18732833862305,27.04911994934082,-3.9678730964660645,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
-83.47872161865234,52.24983596801758,29.797760009765625,-2.2807459831237793,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
-83.16629791259766,50.624839782714844,32.76504135131836,0.5311326384544373,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
-84.00983428955078,47.687347412109375,34.76405334472656,-2.718149185180664,-0.020747369155287743,-0.013831840828061104,0.04150998592376709,0.0
-84.63467407226562,44.84360885620117,36.35701370239258,-5.842458724975586,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
