220kV墨戈Ⅱ回线电压_5,220kV墨戈Ⅱ回线电压_6,220kV墨戈Ⅱ回线电压_7,220kV墨戈Ⅱ回线电压_8,220kV墨戈Ⅱ回线_13,220kV墨戈Ⅱ回线_14,220kV墨戈Ⅱ回线_15,220kV墨戈Ⅱ回线_16
-43.74028778076172,-37.49394607543945,82.7388687133789,0.5524510145187378,0.05536000058054924,-0.042385000735521317,0.028544999659061432,0.012974999845027924
-39.32705307006836,-41.96015930175781,82.88191223144531,0.7158520221710205,0.0562250018119812,-0.041519999504089355,0.024219999089837074,0.01384000014513731
-34.823753356933594,-46.27273178100586,82.7441635131836,0.49798399209976196,0.06141500174999237,-0.03979000076651573,0.015569999814033508,0.010379999876022339
-30.161514282226562,-50.389278411865234,82.21436309814453,0.6458230018615723,0.06141500174999237,-0.0337349995970726,0.012109999544918537,0.009514999575912952
-25.398611068725586,-54.28330612182617,81.29251098632812,0.5057650208473206,0.0674699991941452,-0.029410000890493393,0.0034600000362843275,0.014705000445246696
-20.471471786499023,-58.04488754272461,80.05807495117188,0.35014501214027405,0.06573999673128128,-0.031139999628067017,0.0025949999690055847,0.011245000176131725
-15.411882400512695,-61.552162170410156,78.49517059326172,0.35792601108551025,0.06833499670028687,-0.025949999690055847,-0.0034600000362843275,0.012109999544918537
-10.325801849365234,-64.93228912353516,76.6302719116211,0.11671499907970428,0.06833499670028687,-0.02768000029027462,0.0,0.012974999845027924
-5.086080074310303,-67.9945297241211,74.42630767822266,0.04668600112199783,0.06573999673128128,-0.025949999690055847,0.0,0.00865000020712614
0.1483439952135086,-70.79717254638672,71.88326263427734,-0.17118200659751892,0.06920000165700912,-0.023354999721050262,-0.0034600000362843275,0.012109999544918537
5.350979804992676,-73.28193664550781,69.18128204345703,-0.22564899921417236,0.07092999666929245,-0.020759999752044678,-0.005189999938011169,0.012974999845027924
10.484742164611816,-75.48060607910156,66.129638671875,-0.2723349928855896,0.06833499670028687,-0.012974999845027924,-0.012109999544918537,0.011245000176131725
15.496649742126465,-77.3825912475586,62.91904830932617,-0.49798399209976196,0.0631449967622757,-0.005189999938011169,-0.01384000014513731,0.010379999876022339
20.492664337158203,-78.97198486328125,59.507137298583984,-0.38126900792121887,0.06227999925613403,-0.0017300000181421638,-0.01384000014513731,0.012974999845027924
25.430400848388672,-80.26470184326172,55.82502746582031,-0.287896990776062,0.06227999925613403,-0.0017300000181421638,-0.023354999721050262,0.012974999845027924
30.22509002685547,-81.25012969970703,52.01576232910156,-0.2567729949951172,0.0631449967622757,-0.0034600000362843275,-0.019029999151825905,0.012974999845027924
34.95620346069336,-81.89118957519531,47.96279525756836,-0.10893400013446808,0.06055000051856041,0.0025949999690055847,-0.023354999721050262,0.00865000020712614
39.58135986328125,-82.20906829833984,43.666114807128906,-0.10115300118923187,0.06141500174999237,0.0025949999690055847,-0.025949999690055847,0.012974999845027924
43.9734001159668,-82.14549255371094,39.16281509399414,-0.03890499845147133,0.05536000058054924,0.009514999575912952,-0.02768000029027462,0.012974999845027924
48.23299026489258,-81.79052734375,34.54825973510742,-0.007780999876558781,0.05536000058054924,0.012109999544918537,-0.026815000921487808,0.012974999845027924
52.381324768066406,-81.12297821044922,29.76946258544922,0.007780999876558781,0.05449499934911728,0.01384000014513731,-0.025085000321269035,0.011245000176131725
56.296546936035156,-80.09516143798828,24.78404426574707,-0.015561999753117561,0.05017000064253807,0.025949999690055847,-0.03286999836564064,0.00865000020712614
59.936275482177734,-78.68059539794922,19.65028190612793,0.09337200224399567,0.042385000735521317,0.025085000321269035,-0.0337349995970726,0.010379999876022339
63.379974365234375,-76.99053955078125,14.500625610351562,-0.03890499845147133,0.04411499947309494,0.02768000029027462,-0.0337349995970726,0.012974999845027924
66.50049591064453,-74.97200012207031,9.23971176147461,0.0,0.041519999504089355,0.028544999659061432,-0.03460000082850456,0.010379999876022339
69.35611724853516,-72.56670379638672,4.037075996398926,0.08559100329875946,0.040654998272657394,0.03719500079751015,-0.03286999836564064,0.009514999575912952
72.02631378173828,-70.00247192382812,-1.2662220001220703,0.08559100329875946,0.04411499947309494,0.03719500079751015,-0.0337349995970726,0.012974999845027924
74.43689727783203,-67.1362533569336,-6.468857765197754,0.3890500068664551,0.03286999836564064,0.03805999830365181,-0.025085000321269035,0.00865000020712614
76.47132873535156,-64.07401275634766,-11.565533638000488,0.4512979984283447,0.025949999690055847,0.04324999824166298,-0.030275000259280205,0.00865000020712614
78.28854370117188,-60.725677490234375,-16.598634719848633,0.8481289744377136,0.025085000321269035,0.05017000064253807,-0.025085000321269035,0.011245000176131725
79.85145568847656,-57.20780563354492,-21.690011978149414,0.9881870150566101,0.01730000041425228,0.053630001842975616,-0.029410000890493393,0.009514999575912952
81.064697265625,-53.39854049682617,-26.776092529296875,0.8714720010757446,0.018164999783039093,0.052765000611543655,-0.025949999690055847,0.006920000072568655
81.89118957519531,-49.3190803527832,-31.703231811523438,1.0815589427947998,0.014705000445246696,0.057955000549554825,-0.031139999628067017,0.012974999845027924
82.44747924804688,-45.17604446411133,-36.53500747680664,0.7703189849853516,0.015569999814033508,0.0562250018119812,-0.031139999628067017,0.01643499918282032
82.56932830810547,-40.858177185058594,-41.12837219238281,0.6458230018615723,0.007784999907016754,0.05536000058054924,-0.030275000259280205,0.01643499918282032
82.46337127685547,-36.39725875854492,-45.60518264770508,0.47464099526405334,0.007784999907016754,0.053630001842975616,-0.02768000029027462,0.011245000176131725
