220kV I母电压A相_1,220kV I母电压B相_2,220kV I母电压C相_3,220kV I母电压3U0_4,220kV龙清线252A相_9,220kV龙清线252B相_10,220kV龙清线252C相_11,220kV龙清线2523I0_12
64.7645034790039,15.283949851989746,-80.34700775146484,-0.2174759954214096,-0.0835380032658577,-0.0743200033903122,0.22305600345134735,0.03712400048971176
47.500221252441406,36.4638786315918,-84.6973648071289,-0.8699039816856384,-0.027845999225974083,-0.1114799976348877,0.23235000669956207,0.01856200024485588
27.777053833007812,55.43669891357422,-83.68228149414062,-0.35728201270103455,0.027845999225974083,-0.15793000161647797,0.2044679969549179,0.02784300036728382
6.293076038360596,70.54449462890625,-76.99101257324219,0.13980600237846375,0.11138399690389633,-0.1765100061893463,0.16729199886322021,0.02784300036728382
-15.763946533203125,80.8028793334961,-65.0482406616211,0.3417479991912842,0.13922999799251556,-0.1765100061893463,0.1208219975233078,0.03712400048971176
-36.862422943115234,84.98912048339844,-48.061119079589844,0.46601998805999756,0.21348600089550018,-0.1765100061893463,0.046470001339912415,0.02784300036728382
-55.4603385925293,83.44518280029297,-28.05982208251953,0.15534000098705292,0.22276799380779266,-0.13006000220775604,-0.009294000454246998,0.03712400048971176
-70.26573944091797,76.72024536132812,-6.587687969207764,0.06213599815964699,0.24133199453353882,-0.09290000051259995,-0.05576400086283684,0.03712400048971176
-80.47635650634766,64.96974182128906,15.143396377563477,-0.4815540015697479,0.24133199453353882,-0.0371600016951561,-0.10223399847745895,0.03712400048971176
-84.60227966308594,47.872440338134766,36.28407287597656,-0.6213600039482117,0.22276799380779266,0.027869999408721924,-0.14870400726795197,0.03712400048971176
-83.32073974609375,27.749435424804688,55.45673370361328,-0.07767000049352646,0.21348600089550018,0.04645000025629997,-0.1579979956150055,0.03712400048971176
-76.49629974365234,6.269010066986084,70.22724151611328,0.1087379977107048,0.14851200580596924,0.13006000220775604,-0.17658600211143494,0.04640499874949455
-64.87911224365234,-15.252863883972168,80.29521942138672,0.35728201270103455,0.11138399690389633,0.16721999645233154,-0.16729199886322021,0.03712400048971176
-47.4793815612793,-36.650394439697266,84.62486267089844,0.9475740194320679,0.06497400254011154,0.23225000500679016,-0.1579979956150055,0.03712400048971176
-27.631187438964844,-55.809730529785156,83.40261840820312,0.07767000049352646,0.009282000362873077,0.26941001415252686,-0.13941000401973724,0.01856200024485588
-6.209723949432373,-70.5030517578125,76.6802749633789,0.12427199631929398,-0.06497400254011154,0.287990003824234,-0.09294000267982483,0.03712400048971176
15.618081092834473,-80.86505126953125,65.05860137939453,-0.18640799820423126,-0.11138399690389633,0.26941001415252686,-0.046470001339912415,0.01856200024485588
36.67488098144531,-85.16527557373047,47.98861312866211,-0.6834959983825684,-0.14851200580596924,0.26941001415252686,0.018588000908493996,0.01856200024485588
55.49159240722656,-83.52808380126953,27.96660041809082,0.015533999539911747,-0.18564000725746155,0.24153999984264374,0.05576400086283684,0.02784300036728382
70.33866882324219,-76.69952392578125,6.411602020263672,0.18640799820423126,-0.19492200016975403,0.19508999586105347,0.13011600077152252,0.04640499874949455
80.61180114746094,-65.19770050048828,-15.278050422668457,0.2640779912471771,-0.2042039930820465,0.1486400067806244,0.17658600211143494,0.02784300036728382
84.7481460571289,-47.93461227416992,-36.377296447753906,0.7767000198364258,-0.19492200016975403,0.10219000279903412,0.21376200020313263,0.01856200024485588
83.216552734375,-27.749435424804688,-55.332435607910156,0.29514598846435547,-0.1670760065317154,0.05573999881744385,0.22305600345134735,0.02784300036728382
76.27749633789062,-6.300096035003662,-70.25831604003906,-0.3417479991912842,-0.12066599726676941,-0.0371600016951561,0.2416439950466156,0.01856200024485588
64.79576110839844,15.315035820007324,-80.37808227539062,-0.15534000098705292,-0.07425600290298462,-0.06503000110387802,0.22305600345134735,0.02784300036728382
47.40644836425781,36.816184997558594,-84.85273742675781,-0.761165976524353,0.0,-0.12076999992132187,0.22305600345134735,0.03712400048971176
27.52699851989746,55.675025939941406,-83.6408462524414,-0.35728201270103455,0.03712800145149231,-0.1486400067806244,0.19517399370670319,0.02784300036728382
6.001344203948975,70.61702728271484,-76.78385162353516,0.15534000098705292,0.12066599726676941,-0.1765100061893463,0.14870400726795197,0.02784300036728382
-15.77436637878418,80.82360076904297,-65.02752685546875,0.4349519908428192,0.14851200580596924,-0.1486400067806244,0.11152800172567368,0.03712400048971176
-37.08122253417969,85.072021484375,-47.967899322509766,0.35728201270103455,0.2042039930820465,-0.16721999645233154,0.046470001339912415,0.03712400048971176
-55.606201171875,83.26903533935547,-27.75943946838379,0.1087379977107048,0.22276799380779266,-0.1114799976348877,0.009294000454246998,0.05568600073456764
-70.27615356445312,76.51300811767578,-6.276947975158691,0.1087379977107048,0.24133199453353882,-0.08360999822616577,-0.05576400086283684,0.04640499874949455
-80.54928588867188,64.89720916748047,15.267691612243652,-0.4349519908428192,0.23205000162124634,-0.0371600016951561,-0.10223399847745895,0.04640499874949455
-84.77940368652344,47.86207962036133,36.470516204833984,-0.6368939876556396,0.24133199453353882,0.009290000423789024,-0.13011600077152252,0.01856200024485588
-83.23738861083984,27.666540145874023,55.498165130615234,-0.031067999079823494,0.22276799380779266,0.06503000110387802,-0.17658600211143494,0.03712400048971176
-76.36084747314453,6.196475982666016,70.17545318603516,0.15534000098705292,0.15779399871826172,0.13006000220775604,-0.16729199886322021,0.02784300036728382
-64.79576110839844,-15.397932052612305,80.32628631591797,0.35728201270103455,0.12066599726676941,0.1858000010251999,-0.14870400726795197,0.03712400048971176
