220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV通大Ⅲ回线_A相_9,220kV通大Ⅲ回线_B相_10,220kV通大Ⅲ回线_C相_11,220kV通大Ⅲ回线_3I0_12
-46.92583084106445,82.83309173583984,-35.61410140991211,0.635870099067688,0.6225816607475281,-1.561191201210022,0.9476518630981445,0.11139759421348572
-63.574913024902344,79.00955200195312,-15.073875427246094,0.713415265083313,0.9942721724510193,-1.570483922958374,0.5667330026626587,0.12068072706460953
-75.80646514892578,69.497314453125,6.3981146812438965,-0.031018054112792015,1.282332420349121,-1.5240199565887451,0.1765233874320984,0.12996385991573334
-83.10997772216797,55.22896957397461,27.40422248840332,-0.9305416345596313,1.542515754699707,-1.3288710117340088,-0.26013973355293274,0.12068072706460953
-82.33899688720703,35.76930618286133,46.4639778137207,-0.1861083209514618,1.6447306871414185,-1.0593796968460083,-0.641058623790741,0.08354819566011429
-78.83831024169922,15.304537773132324,63.15291213989258,-0.49628886580467224,1.6818996667861938,-0.678374707698822,-0.9941053986549377,0.06498192995786667
-69.2635269165039,-6.279316425323486,75.45220184326172,-0.15509027242660522,1.5982693433761597,-0.2787841260433197,-1.2449543476104736,0.04641566425561905
-55.031578063964844,-27.469417572021484,83.07196044921875,1.1476680040359497,1.384547233581543,0.15797768533229828,-1.4679312705993652,0.00928313285112381
-35.62154006958008,-46.908355712890625,82.67855072021484,0.341198593378067,1.0779025554656982,0.5296898484230042,-1.5329662561416626,-0.02784939855337143
-15.10711669921875,-63.632476806640625,78.77549743652344,0.10856319218873978,0.6969197392463684,0.9014020562171936,-1.5050941705703735,-0.03713253140449524
6.417919635772705,-76.16002655029297,69.58208465576172,-0.13958124816417694,0.2787679135799408,1.2080645561218262,-1.412187099456787,-0.03713253140449524
27.380346298217773,-83.44444274902344,55.38821029663086,-0.9460506439208984,-0.16726073622703552,1.458970308303833,-1.1892101764678955,-0.07426506280899048
46.904991149902344,-82.9677963256836,35.56233596801758,-0.5273069143295288,-0.5761203169822693,1.5797767639160156,-0.8919076323509216,-0.07426506280899048
63.59575271606445,-79.2271499633789,15.291287422180176,-0.41874372959136963,-0.9571031332015991,1.6169480085372925,-0.48311662673950195,-0.05569879710674286
75.74395751953125,-69.70455169677734,-6.0668206214904785,0.29467150568962097,-1.25445556640625,1.561191201210022,-0.13006986677646637,-0.06498192995786667
83.16207122802734,-55.425846099853516,-27.30069351196289,0.9460506439208984,-1.514638900756836,1.3660422563552856,0.334465354681015,-0.06498192995786667
82.51611328125,-35.88328552246094,-46.60892105102539,0.2636534571647644,-1.6168538331985474,1.0872581005096436,0.6875121593475342,0.0
78.98416900634766,-15.22164249420166,-63.33926773071289,0.713415265083313,-1.635438323020935,0.7155459523200989,1.0498496294021606,-0.01856626570224762
69.36771392822266,6.279316425323486,-75.70067596435547,0.1861083209514618,-1.542515754699707,0.3438337743282318,1.3192800283432007,0.01856626570224762
55.041996002197266,27.313989639282227,-83.08231353759766,-1.0235958099365234,-1.3566704988479614,-0.08363524079322815,1.5143848657608032,0.02784939855337143
35.559024810791016,46.76329040527344,-82.73031616210938,-0.2791624963283539,-1.0500258207321167,-0.47393304109573364,1.5980011224746704,0.08354819566011429
15.242559432983398,63.45632553100586,-78.98255157470703,0.031018054112792015,-0.6597506999969482,-0.8735236525535583,1.5980011224746704,0.0928313285112381
-6.219964504241943,75.96315002441406,-69.75808715820312,0.29467150568962097,-0.2508911192417145,-1.180186152458191,1.4679312705993652,0.10211446136236191
-27.359508514404297,83.40299987792969,-55.605621337890625,0.9925777316093445,0.22301432490348816,-1.4217990636825562,1.2542451620101929,0.11139759421348572
-46.79038619995117,82.81237030029297,-35.69692611694336,0.635870099067688,0.6132894158363342,-1.5426055192947388,0.9383611679077148,0.12996385991573334
-63.52281951904297,79.05099487304688,-15.167052268981934,0.713415265083313,0.9849799275398254,-1.570483922958374,0.5574422478675842,0.12996385991573334
-75.70227813720703,69.58021545410156,6.180703163146973,-0.04652708023786545,1.3009169101715088,-1.5147271156311035,0.15794198215007782,0.12068072706460953
-83.12039947509766,55.34294891357422,27.311046600341797,-0.9460506439208984,1.542515754699707,-1.3288710117340088,-0.26013973355293274,0.10211446136236191
-82.35983276367188,35.88328552246094,46.40186309814453,-0.1861083209514618,1.6633151769638062,-1.0593796968460083,-0.641058623790741,0.10211446136236191
-78.90082550048828,15.459966659545898,63.05973815917969,-0.5738340020179749,1.672607421875,-0.6969603300094604,-1.0033960342407227,0.05569879710674286
-69.36771392822266,-6.15497350692749,75.45220184326172,-0.12407221645116806,1.5982693433761597,-0.29736974835395813,-1.2728265523910522,0.03713253140449524
-55.12534713745117,-27.324352264404297,83.02019500732422,1.1011409759521484,1.4031318426132202,0.13009926676750183,-1.4586405754089355,0.00928313285112381
-35.72572708129883,-46.85654830932617,82.7613754272461,0.32568955421447754,1.1057794094085693,0.5296898484230042,-1.5422569513320923,-0.00928313285112381
-15.242559432983398,-63.57030487060547,78.85831451416016,0.0930541604757309,0.706212043762207,0.892109215259552,-1.5422569513320923,-0.03713253140449524
6.251220703125,-76.08749389648438,69.65455627441406,-0.13958124816417694,0.28806015849113464,1.2080645561218262,-1.412187099456787,-0.03713253140449524
27.3282527923584,-83.47553253173828,55.49174118041992,-0.9150326251983643,-0.15796847641468048,1.4682631492614746,-1.1985008716583252,-0.05569879710674286
46.77996826171875,-82.97815704345703,35.707279205322266,-0.5428159236907959,-0.5668280720710754,1.5797767639160156,-0.8919076323509216,-0.08354819566011429
