220kVI母电压_A相_1,220kVI母电压_B相_2,220kVI母电压_C相_3,220kVI母电压_3U0_4,果铝I回242_A相_21,果铝I回242_B相_22,果铝I回242_C相_23,果铝I回242_3I0_24
30.964704513549805,51.918128967285156,-83.60256958007812,-0.7913751602172852,1.5693747997283936,1.0498616695404053,-2.6765167713165283,-0.1867651492357254
9.854781150817871,67.2801742553711,-77.53179931640625,-0.21724024415016174,0.8874440789222717,1.6909277439117432,-2.6765167713165283,-0.17742690443992615
-11.871719360351562,79.46208190917969,-67.51399230957031,0.4344804883003235,0.2615624666213989,2.22050404548645,-2.545954942703247,-0.17742690443992615
-32.46957015991211,83.57451629638672,-51.13534927368164,0.3103432059288025,-0.4577343165874481,2.545682430267334,-2.1449437141418457,-0.1680886447429657
-52.1373291015625,83.27410888671875,-31.358732223510742,-0.03103432059288025,-1.0742744207382202,2.7036261558532715,-1.697303295135498,-0.1867651492357254
-67.18598937988281,77.23494720458984,-10.059243202209473,0.124137282371521,-1.7094975709915161,2.6757538318634033,-1.0351685285568237,-0.2054416686296463
-79.46527862548828,67.46663665771484,11.64427375793457,-0.7603408694267273,-2.1859147548675537,2.536391496658325,-0.3543820083141327,-0.1867651492357254
-83.4782485961914,51.04799270629883,32.2703857421875,-0.0620686411857605,-2.503526449203491,2.1740498542785645,0.36370784044265747,-0.17742690443992615
-83.18563842773438,31.107370376586914,51.9641227722168,-0.13965444266796112,-2.66233229637146,1.6909277439117432,0.9978651404380798,-0.19610340893268585
-77.09302520751953,10.016925811767578,67.18248748779297,0.0620686411857605,-2.634307622909546,1.0312800407409668,1.6320223808288574,-0.2054416686296463
-67.30094146728516,-11.653610229492188,78.89927673339844,0.34137752652168274,-2.522209405899048,0.37163245677948,2.1729211807250977,-0.1867651492357254
-50.65336608886719,-32.46437072753906,83.61293029785156,1.0706840753555298,-2.1298656463623047,-0.3251784145832062,2.517977476119995,-0.2054416686296463
-30.902002334594727,-52.04243469238281,83.3125,0.8224095106124878,-1.6627899408340454,-0.9290811419487,2.6951684951782227,-0.2054416686296463
-9.781627655029297,-67.39412689208984,77.37640380859375,0.3103432059288025,-0.9808592200279236,-1.5608563423156738,2.657865047454834,-0.21477992832660675
11.986674308776855,-79.66925811767578,67.51399230957031,-0.21724024415016174,-0.27090397477149963,-2.043978452682495,2.5366291999816895,-0.21477992832660675
32.40686798095703,-83.84384155273438,51.06283187866211,-0.5275834798812866,0.35497763752937317,-2.4527742862701416,2.1169662475585938,-0.21477992832660675
52.200035095214844,-83.50200653076172,31.42089080810547,0.29482606053352356,1.0182253122329712,-2.545682430267334,1.6879774332046509,-0.2054416686296463
67.24869537353516,-77.41104888916016,10.19391918182373,-0.015517160296440125,1.597399353981018,-2.573554754257202,1.0351685285568237,-0.2241181880235672
79.68473815917969,-67.49771118164062,-11.374921798706055,1.1482698917388916,2.1018412113189697,-2.4527742862701416,0.40101122856140137,-0.21477992832660675
83.4468994140625,-51.14122009277344,-32.332542419433594,0.10862012207508087,2.4287943840026855,-2.0718510150909424,-0.33573031425476074,-0.2054416686296463
83.27969360351562,-31.0762939453125,-52.026283264160156,0.3879290223121643,2.6156246662139893,-1.5980195999145508,-0.9792134761810303,-0.2054416686296463
77.2288818359375,-9.965131759643555,-67.23428344726562,0.124137282371521,2.5595755577087402,-0.9104995131492615,-1.6413482427597046,-0.19610340893268585
67.30094146728516,11.622533798217773,-79.0443115234375,-0.3258603811264038,2.4287943840026855,-0.26943352818489075,-2.1729211807250977,-0.19610340893268585
50.74742126464844,32.37113952636719,-83.75796508789062,-0.9465467929840088,2.027109146118164,0.45524975657463074,-2.5273032188415527,-0.17742690443992615
31.027406692504883,51.9492073059082,-83.59220886230469,-0.6982722282409668,1.5787162780761719,1.0684432983398438,-2.713820219039917,-0.19610340893268585
9.87568187713623,67.36304473876953,-77.35568237304688,-0.0620686411857605,0.89678555727005,1.7095093727111816,-2.6765167713165283,-0.1680886447429657
-11.871719360351562,79.39993286132812,-67.66938781738281,0.4344804883003235,0.2615624666213989,2.2390856742858887,-2.555280923843384,-0.1680886447429657
-32.4382209777832,83.57451629638672,-51.13534927368164,0.248274564743042,-0.4577343165874481,2.545682430267334,-2.16359543800354,-0.1867651492357254
-52.11642837524414,83.33626556396484,-31.327653884887695,0.015517160296440125,-1.0836158990859985,2.7129170894622803,-1.669325828552246,-0.19610340893268585
-67.1441879272461,77.2867431640625,-9.986725807189941,0.2637917399406433,-1.6814730167388916,2.694335460662842,-1.0165168046951294,-0.17742690443992615
-79.59068298339844,67.39412689208984,11.592474937438965,-0.993098258972168,-2.1859147548675537,2.5549731254577637,-0.3543820083141327,-0.1867651492357254
-83.49915313720703,51.00655746459961,32.34290313720703,-0.10862012207508087,-2.531550884246826,2.1647591590881348,0.3543820083141327,-0.17742690443992615
-83.21698760986328,31.11772918701172,51.9019660949707,-0.20172308385372162,-2.690356731414795,1.681636929512024,1.0165168046951294,-0.19610340893268585
-77.10346984863281,9.923696517944336,67.05816650390625,0.0,-2.634307622909546,1.040570855140686,1.6506741046905518,-0.2054416686296463
-67.20689392089844,-11.59145736694336,79.02359008789062,0.4499976634979248,-2.5128679275512695,0.37163245677948,2.1729211807250977,-0.2054416686296463
-50.663818359375,-32.474727630615234,83.62328338623047,1.0241326093673706,-2.139207363128662,-0.3065967857837677,2.5086514949798584,-0.21477992832660675
-30.881101608276367,-52.052791595458984,83.3228530883789,0.8379266858100891,-1.653448462486267,-0.9197903275489807,2.6951684951782227,-0.2241181880235672
