220kV I母_1,220kV I母_2,220kV I母_3,220kV I母_4,文南II回264开关_37,文南II回264开关_38,文南II回264开关_39,文南II回264开关_40
-59.26464080810547,-24.35037612915039,84.22077178955078,1.2179820537567139,0.3378030061721802,0.03865300118923187,-0.4398239850997925,0.004298999905586243
-55.25392532348633,-29.38131332397461,85.19744873046875,1.0922540426254272,0.3378030061721802,0.0901930034160614,-0.4398239850997925,0.004298999905586243
-50.8437614440918,-34.061378479003906,85.45105743408203,0.9901000261306763,0.320699006319046,0.12455300241708755,-0.4743199944496155,0.004298999905586243
-46.15290069580078,-38.66047668457031,85.18666076660156,0.7700759768486023,0.2864910066127777,0.12455300241708755,-0.491567999124527,-0.012896999716758728
-41.33248519897461,-43.378326416015625,84.86829376220703,0.40860798954963684,0.2864910066127777,0.1589130014181137,-0.4743199944496155,0.004298999905586243
-36.220577239990234,-47.73991012573242,84.0157241821289,0.157151997089386,0.2522830069065094,0.21045300364494324,-0.5088160037994385,0.004298999905586243
-31.141061782836914,-52.193260192871094,83.23870086669922,-0.13359400629997253,0.23517900705337524,0.22763299942016602,-0.5088160037994385,-0.012896999716758728
-25.85102081298828,-56.56024169921875,82.32677459716797,-0.23574799299240112,0.23517900705337524,0.2619929909706116,-0.5088160037994385,0.004298999905586243
-20.58257293701172,-60.349639892578125,80.82129669189453,-0.165025994181633,0.20097100734710693,0.27917298674583435,-0.491567999124527,0.004298999905586243
-15.25474739074707,-64.45751953125,79.65575408935547,-0.03929800167679787,0.13255499303340912,0.2963530123233795,-0.491567999124527,0.004298999905586243
-9.94851303100586,-68.07418060302734,78.20423126220703,0.29073798656463623,0.11545100063085556,0.3135330080986023,-0.491567999124527,0.004298999905586243
-4.604493141174316,-71.1888198852539,76.17533874511719,0.47147199511528015,0.0983470007777214,0.34789299964904785,-0.4398239850997925,0.004298999905586243
0.7395269870758057,-74.60575866699219,73.95758056640625,0.17286799848079681,0.04703500121831894,0.36507299542427063,-0.4743199944496155,0.004298999905586243
6.00257682800293,-77.35334014892578,71.48081970214844,0.20430000126361847,0.01282699964940548,0.3994329869747162,-0.4398239850997925,0.004298999905586243
11.119880676269531,-79.96597290039062,68.7828140258789,-0.15716800093650818,-0.004277000203728676,0.41661301255226135,-0.4398239850997925,0.004298999905586243
16.09683609008789,-82.34648895263672,65.88516235351562,-0.7150859832763672,-0.02138100005686283,0.43379300832748413,-0.42257601022720337,0.004298999905586243
20.911853790283203,-83.658203125,62.313011169433594,-0.8015239834785461,-0.07269299775362015,0.43379300832748413,-0.40532800555229187,0.004298999905586243
25.888809204101562,-84.94292449951172,58.487247467041016,-0.9979739785194397,-0.07269299775362015,0.43379300832748413,-0.40532800555229187,0.004298999905586243
30.7092227935791,-85.6716537475586,54.359310150146484,-1.1158440113067627,-0.14110900461673737,0.48533299565315247,-0.38808000087738037,0.004298999905586243
35.38389205932617,-85.6122817993164,49.76191711425781,-0.8722460269927979,-0.14110900461673737,0.48533299565315247,-0.3363359868526459,0.004298999905586243
39.92900848388672,-85.2506103515625,44.991851806640625,-0.5422099828720093,-0.15821300446987152,0.5025129914283752,-0.3535839915275574,0.004298999905586243
44.436336517333984,-84.75399780273438,40.097679138183594,-0.20431600511074066,-0.17531700432300568,0.5025129914283752,-0.30184000730514526,0.004298999905586243
49.00844192504883,-83.75536346435547,34.73405838012695,0.01570799946784973,-0.17531700432300568,0.5025129914283752,-0.31908801198005676,0.004298999905586243
53.4348030090332,-82.94026947021484,29.489145278930664,0.03142400085926056,-0.26083698868751526,0.5025129914283752,-0.26734399795532227,0.004298999905586243
57.747806549072266,-82.02800750732422,24.20646095275879,-0.03929800167679787,-0.26083698868751526,0.48533299565315247,-0.26734399795532227,-0.012896999716758728
61.731529235839844,-80.60293579101562,18.81585693359375,-0.12573599815368652,-0.2779409885406494,0.4681529998779297,-0.25009599328041077,0.004298999905586243
65.60189819335938,-79.18865966796875,13.479212760925293,-0.15716800093650818,-0.2779409885406494,0.5025129914283752,-0.21559999883174896,0.004298999905586243
69.15377807617188,-77.5152816772461,8.147965431213379,-0.24360600113868713,-0.3121489882469177,0.4509730041027069,-0.18110400438308716,0.004298999905586243
72.21444702148438,-75.3074951171875,3.000180959701538,-0.08644600212574005,-0.34635698795318604,0.4681529998779297,-0.14660799503326416,0.004298999905586243
75.3506851196289,-72.97016143798828,-2.374234914779663,0.023566000163555145,-0.34635698795318604,0.43379300832748413,-0.12936000525951385,0.004298999905586243
78.08747100830078,-70.36832427978516,-7.54360294342041,0.3221699893474579,-0.3634609878063202,0.43379300832748413,-0.09486400336027145,0.004298999905586243
80.57054901123047,-67.54517364501953,-12.685991287231445,0.6443480253219604,-0.3976689875125885,0.41661301255226135,-0.02587199956178665,0.004298999905586243
82.57860565185547,-64.45751953125,-17.612539291381836,0.8486559987068176,-0.41477298736572266,0.3994329869747162,-0.008623999543488026,0.004298999905586243
83.74457550048828,-60.74369430541992,-22.36641502380371,1.100111961364746,-0.41477298736572266,0.36507299542427063,0.008623999543488026,0.004298999905586243
85.01850128173828,-56.846336364746094,-27.449447631835938,1.0922540426254272,-0.4318769872188568,0.34789299964904785,0.04312000051140785,0.004298999905586243
85.41255187988281,-52.679080963134766,-32.21950912475586,0.80936598777771,-0.44898098707199097,0.36507299542427063,0.07761599868535995,0.004298999905586243
85.20742797851562,-48.166351318359375,-36.62264633178711,0.5814840197563171,-0.44898098707199097,0.3135330080986023,0.07761599868535995,0.004298999905586243
