220kVⅡ段母线电压_17,220kVⅡ段母线电压_18,220kVⅡ段母线电压_19,220kVⅡ段母线电压_20,和谢Ⅰ回224断路器_13,和谢Ⅰ回224断路器_14,和谢Ⅰ回224断路器_15,和谢Ⅰ回224断路器_16
-68.77320098876953,79.8965072631836,-10.00820541381836,-1.2425609827041626,0.43397000432014465,-0.8330190181732178,-0.3087199926376343,-0.10884600132703781
-71.78369903564453,78.1567153930664,-5.282724857330322,-1.2425609827041626,0.4701339900493622,-0.7786920070648193,-0.3450399935245514,-0.10884600132703781
-74.52660369873047,75.7477798461914,-0.3343450129032135,-0.8828719854354858,0.4701339900493622,-0.7243649959564209,-0.39952000975608826,-0.10884600132703781
-77.26950073242188,72.80352020263672,4.926095008850098,-0.13079500198364258,0.5062980055809021,-0.6881470084190369,-0.45399999618530273,-0.12698699533939362
-79.49949645996094,69.19010925292969,10.164244651794434,0.8501750230789185,0.5062980055809021,-0.6519290208816528,-0.49031999707221985,-0.10884600132703781
-81.12740325927734,65.13059997558594,15.446974754333496,1.5041550397872925,0.5424619913101196,-0.615710973739624,-0.5447999835014343,-0.12698699533939362
-82.66609954833984,61.07108688354492,20.974895477294922,1.5041550397872925,0.5424619913101196,-0.615710973739624,-0.5992799997329712,-0.10884600132703781
-83.75879669189453,56.96696853637695,26.235334396362305,1.3079609870910645,0.5605440139770508,-0.5613840222358704,-0.6355999708175659,-0.10884600132703781
-84.56159973144531,52.8182373046875,31.295164108276367,1.046368956565857,0.5424619913101196,-0.5251659750938416,-0.6900799870491028,-0.12698699533939362
-85.18599700927734,48.53567886352539,36.444156646728516,0.45778700709342957,0.5424619913101196,-0.4708389937877655,-0.7445600032806396,-0.12698699533939362
-85.56510162353516,44.030067443847656,41.860626220703125,-0.4577850103378296,0.5424619913101196,-0.39840298891067505,-0.7808799743652344,-0.12698699533939362
-85.52050018310547,39.4798469543457,46.74213409423828,-1.2752599716186523,0.5424619913101196,-0.362185001373291,-0.8172000050544739,-0.12698699533939362
-85.02989959716797,34.88501739501953,50.9549446105957,-1.4387550354003906,0.5424619913101196,-0.325967013835907,-0.8535199761390686,-0.12698699533939362
-84.49469757080078,30.26788330078125,54.81111526489258,-1.177163004875183,0.48821601271629333,-0.28974899649620056,-0.8898400068283081,-0.12698699533939362
-83.60269927978516,25.137733459472656,58.86789321899414,-0.7847750186920166,0.5062980055809021,-0.25353100895881653,-0.9261599779129028,-0.14512799680233002
-82.24240112304688,19.6953125,62.79093551635742,-0.5885810256004333,0.4701339900493622,-0.18109500408172607,-0.9624800086021423,-0.14512799680233002
-80.63680267333984,14.14136791229248,66.44649505615234,-0.2288919985294342,0.43397000432014465,-0.14487700164318085,-0.9806399941444397,-0.10884600132703781
-78.74130249023438,8.69894790649414,69.7231216430664,0.19619500637054443,0.4158880114555359,-0.10865899920463562,-0.9806399941444397,-0.12698699533939362
-76.37750244140625,3.234222888946533,72.7099838256836,0.3923889994621277,0.39780598878860474,-0.03622300177812576,-0.9987999796867371,-0.10884600132703781
-73.61229705810547,-2.029757022857666,75.29562377929688,0.1634960025548935,0.34356001019477844,-4.999999873689376e-06,-1.0351200103759766,-0.10884600132703781
-70.71330261230469,-7.003771781921387,77.65836334228516,-0.32698899507522583,0.3254779875278473,0.03621299937367439,-1.0351200103759766,-0.10884600132703781
-67.5020980834961,-12.000091552734375,79.73133850097656,-0.8828719854354858,0.28931400179862976,0.09053999930620193,-1.0351200103759766,-0.10884600132703781
-63.77799987792969,-17.06332778930664,81.49224853515625,-1.634948968887329,0.25314998626708984,0.14486700296401978,-1.053279995918274,-0.10884600132703781
-59.89780044555664,-22.037342071533203,82.98567199707031,-2.3216280937194824,0.21698600053787231,0.19919399917125702,-1.0714399814605713,-0.10884600132703781
-55.972999572753906,-26.899831771850586,84.01101684570312,-2.550520896911621,0.1808219999074936,0.2897390127182007,-1.0714399814605713,-0.10884600132703781
-51.780601501464844,-32.05228805541992,84.9249038696289,-2.4524240493774414,0.1265760064125061,0.2897390127182007,-1.0714399814605713,-0.12698699533939362
-47.298301696777344,-37.4724006652832,85.72734832763672,-2.0927350521087646,0.07232999801635742,0.3259570002555847,-1.0714399814605713,-0.14512799680233002
-42.704498291015625,-42.80329513549805,86.06169128417969,-1.5041530132293701,0.018084000796079636,0.38028401136398315,-1.053279995918274,-0.12698699533939362
-37.90999984741211,-47.621177673339844,85.61589813232422,-0.7847750186920166,-0.018079999834299088,0.4165019989013672,-1.0714399814605713,-0.12698699533939362
-32.914798736572266,-52.059871673583984,84.61284637451172,9.999999974752427e-07,-0.07232599705457687,0.4346109926700592,-1.0351200103759766,-0.10884600132703781
-27.763500213623047,-56.498565673828125,83.6989517211914,0.29429200291633606,-0.14465400576591492,0.5070469975471497,-1.0351200103759766,-0.12698699533939362
-22.612199783325195,-60.64729690551758,82.78506469726562,0.1634960025548935,-0.16273599863052368,0.5432649850845337,-1.0351200103759766,-0.14512799680233002
-17.393999099731445,-64.12687683105469,81.20247650146484,-0.13079500198364258,-0.21698200702667236,0.5794829726219177,-1.0351200103759766,-0.12698699533939362
-12.086600303649902,-67.27188110351562,79.39698791503906,-0.5885810256004333,-0.2893100082874298,0.5794829726219177,-0.9624800086021423,-0.10884600132703781
-6.645400047302246,-70.3499755859375,77.39088439941406,-1.307958960533142,-0.3073920011520386,0.6157010197639465,-0.9261599779129028,-0.14512799680233002
-1.2711000442504883,-73.3388442993164,75.13959503173828,-1.634948968887329,-0.379720002412796,0.6519190073013306,-0.9261599779129028,-0.14512799680233002
