1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV通瀛Ⅱ回243电流Ia_9,10-220kV通瀛Ⅱ回243电流Ib_10,11-220kV通瀛Ⅱ回243电流Ic_11,12-220kV通瀛Ⅱ回243电流3Io_12
60.67399215698242,-81.5824203491211,20.509601593017578,-0.6555508971214294,-0.23500627279281616,0.4706803560256958,-0.24204295873641968,-0.02078787237405777
64.54613494873047,-80.11499786376953,15.296355247497559,-0.4994673728942871,-0.2557421028614044,0.46375858783721924,-0.22129641473293304,-0.02078787237405777
67.70005798339844,-78.30413818359375,10.332843780517578,-0.4058172404766083,-0.27647796273231506,0.46375858783721924,-0.19363436102867126,-0.02078787237405777
70.97888946533203,-76.24349975585938,5.088379383087158,-0.3433838188648224,-0.2972137928009033,0.4568368196487427,-0.16597230732440948,-0.013858580961823463
73.63318634033203,-73.49598693847656,-0.34338757395744324,-0.37460052967071533,-0.31794965267181396,0.4499150514602661,-0.1383102536201477,-0.013858580961823463
76.53729248046875,-70.74847412109375,-5.7127203941345215,0.09365013241767883,-0.3317735493183136,0.44299328327178955,-0.11064820736646652,-0.013858580961823463
78.78562927246094,-67.8448486328125,-10.70744800567627,0.4058172404766083,-0.35250940918922424,0.4291497468948364,-0.08298615366220474,-0.013858580961823463
80.65924835205078,-64.59779357910156,-15.702177047729492,0.6867676377296448,-0.3663333058357239,0.4153061807155609,-0.05532410368323326,-0.006929290480911732
82.00200653076172,-60.8199577331543,-20.94664192199707,0.4058172404766083,-0.3801572024822235,0.4014626443386078,-0.020746538415551186,-0.013858580961823463
83.28231811523438,-56.82357406616211,-26.191104888916016,0.3433838188648224,-0.39398109912872314,0.3806973397731781,0.006915512960404158,-0.006929290480911732
83.90685272216797,-52.8896369934082,-30.811229705810547,0.3433838188648224,-0.40089303255081177,0.366853803396225,0.034577563405036926,-0.006929290480911732
84.25035095214844,-48.39370346069336,-35.58743667602539,0.3433838188648224,-0.4078049957752228,0.3460884988307953,0.06915512681007385,-0.006929290480911732
84.15666961669922,-43.74166488647461,-40.301212310791016,0.09365013241767883,-0.4216288924217224,0.3253231942653656,0.09681718051433563,-0.006929290480911732
