220kV I段母线电压_A_1,220kV I段母线电压_B_2,220kV I段母线电压_C_3,220kV I段母线电压_N_4,220kV 天紫线路电流_A_25,220kV 天紫线路电流_B_26,220kV 天紫线路电流_C_27,220kV 天紫线路电流_N_28
-81.60891723632812,63.09471893310547,18.329423904418945,-0.3582479953765869,-0.0052109998650848866,-0.02263299934566021,0.029580000787973404,0.0
-83.85781860351562,40.584800720214844,43.249908447265625,-0.04672800004482269,0.008685000240802765,-0.029596999287605286,0.02435999922454357,-0.0017399999778717756
-80.38510131835938,16.71508026123047,63.41018295288086,-0.37382400035858154,0.013895999640226364,-0.026115000247955322,0.020880000665783882,0.0017399999778717756
-67.93769836425781,-9.727800369262695,77.93143463134766,0.46728000044822693,0.02258099988102913,-0.027855999767780304,0.012179999612271786,0.0
-48.71221923828125,-35.31296157836914,84.33418273925781,0.4984320104122162,0.03474000096321106,-0.02437400072813034,-0.0052200001664459705,0.0
-24.549619674682617,-57.25804138183594,81.98023223876953,0.1557600051164627,0.02779199928045273,-0.015668999403715134,-0.0069599999114871025,0.0017399999778717756
0.669439971446991,-73.2618408203125,72.95152282714844,0.4517039954662323,0.03300299867987633,-0.010445999912917614,-0.01565999910235405,0.0
27.47842025756836,-83.93103790283203,56.358795166015625,-0.2959440052509308,0.02779199928045273,0.005222999956458807,-0.026100000366568565,0.0
50.312599182128906,-83.30343627929688,33.04945755004883,0.015576000325381756,0.024318000301718712,0.008705000393092632,-0.02435999922454357,0.0017399999778717756
68.5234603881836,-77.0483627319336,8.380062103271484,-0.26479199528694153,0.013895999640226364,0.020891999825835228,-0.026100000366568565,0.0017399999778717756
81.49385833740234,-63.209781646728516,-18.036487579345703,0.42055198550224304,0.010421999730169773,0.02263299934566021,-0.02435999922454357,0.0034799999557435513
83.8264389038086,-40.5743408203125,-43.323143005371094,-0.10903199762105942,-0.0052109998650848866,0.03133799880743027,-0.019139999523758888,0.0017399999778717756
80.39556121826172,-16.90336036682129,-63.24279022216797,0.38940000534057617,-0.008685000240802765,0.029596999287605286,-0.01565999910235405,0.0017399999778717756
68.11551666259766,9.717340469360352,-78.03605651855469,-0.37382400035858154,-0.019107000902295113,0.03307899832725525,-0.010440000332891941,0.0017399999778717756
48.9005012512207,35.18743896484375,-84.21910095214844,-0.2492160052061081,-0.02779199928045273,0.026115000247955322,0.0069599999114871025,0.0017399999778717756
24.66468048095703,57.331260681152344,-82.21039581298828,-0.37382400035858154,-0.024318000301718712,0.019151000306010246,0.010440000332891941,0.0
-0.40794000029563904,73.3559799194336,-73.1189193725586,-0.28036800026893616,-0.02779199928045273,0.010445999912917614,0.020880000665783882,0.0
-27.342439651489258,84.17162322998047,-56.662193298339844,0.28036800026893616,-0.026055000722408295,-0.001740999985486269,0.029580000787973404,0.0017399999778717756
-50.40673828125,83.54402160644531,-33.04945755004883,0.07788000255823135,-0.020843999460339546,-0.006963999941945076,0.02783999964594841,0.0
-68.64897918701172,77.3830795288086,-8.589302062988281,0.1557600051164627,-0.010421999730169773,-0.019151000306010246,0.0313199982047081,0.0
-81.49385833740234,63.293460845947266,18.04694938659668,-0.2959440052509308,-0.0052109998650848866,-0.020891999825835228,0.029580000787973404,0.0
