1-220kV以新线电压Ua_1,2-220kV以新线电压Ub_2,3-220kV以新线电压Uc_3,4-220kV以新线电压3Uo_4,5-以新线线路电流 Ia_5,6-以新线线路电流 Ib_6,7-以新线线路电流 Ic_7,8-以新线线路电流 3Io_8
54.64792251586914,28.827598571777344,-83.5829849243164,0.3486084043979645,1.026736855506897,1.0269241333007812,-2.052302122116089,-0.03543192893266678
50.19724655151367,33.86450958251953,-84.1854476928711,0.31691673398017883,0.9205226898193359,1.1685688495635986,-2.087686538696289,0.0
45.20613479614258,38.83806228637695,-84.34398651123047,0.6338334679603577,0.8143085241317749,1.274802327156067,-2.087686538696289,-0.03543192893266678
40.6282958984375,43.55818557739258,-84.47081756591797,0.6655251383781433,0.7434991002082825,1.4164470434188843,-2.1230709552764893,0.0
36.24120330810547,48.30998611450195,-84.66107177734375,0.2852250635623932,0.6018801927566528,1.5226805210113525,-2.087686538696289,0.0
31.695158004760742,52.74500274658203,-84.34398651123047,-0.09507501870393753,0.46026134490966797,1.5935028791427612,-2.052302122116089,-0.03543192893266678
26.640464782714844,56.6414794921875,-83.13907623291016,-0.12676668167114258,0.35404717922210693,1.699736475944519,-1.9815330505371094,0.0
21.331445693969727,60.601314544677734,-81.80732727050781,-0.12676668167114258,0.21242831647396088,1.7351475954055786,-1.9461485147476196,0.0
16.213171005249023,64.33940124511719,-80.53899383544922,0.0,0.10621415823698044,1.8059699535369873,-1.9107639789581299,0.0
10.999523162841797,67.72901916503906,-78.6364974975586,0.0,-0.03540471941232681,1.876792311668396,-1.8399949073791504,-0.03543192893266678
5.690505027770996,70.83352661132812,-76.35350036621094,-0.06338334083557129,-0.17702358961105347,1.9830257892608643,-1.769225835800171,-0.03543192893266678
0.5722295641899109,73.33614349365234,-73.88025665283203,0.06338334083557129,-0.2832377552986145,1.9830257892608643,-1.698456883430481,0.0
-4.641417503356934,76.0288314819336,-71.28018188476562,-0.06338334083557129,-0.38945189118385315,2.0538482666015625,-1.6630723476409912,0.0
-10.045807838439941,78.56312561035156,-68.26789855957031,-0.2852250635623932,-0.566475510597229,2.089259386062622,-1.556918740272522,0.0
-15.100502014160156,80.36881256103516,-65.2238998413086,-0.06338334083557129,-0.67268967628479,2.1246705055236816,-1.4507652521133423,-0.03543192893266678
-20.409521102905273,82.01609802246094,-61.41891098022461,-0.25353336334228516,-0.7434991002082825,2.1246705055236816,-1.344611644744873,-0.03543192893266678
-25.36884307861328,83.09317779541016,-57.518795013427734,-0.25353336334228516,-0.8143085241317749,2.1246705055236816,-1.2384581565856934,0.0
-30.201004028320312,83.75843048095703,-53.30159378051758,-0.25353336334228516,-0.9559273719787598,2.089259386062622,-1.1323045492172241,0.0
-35.223907470703125,84.51871490478516,-48.95756149291992,-0.47537508606910706,-1.0621415376663208,2.1246705055236816,-1.0261510610580444,0.0
-39.99248504638672,84.61375427246094,-44.328155517578125,-0.3486084043979645,-1.1683557033538818,2.089259386062622,-0.8846129179000854,0.0
-44.88822937011719,84.5503921508789,-39.44508361816406,-0.2852250635623932,-1.3099745512008667,2.089259386062622,-0.778459370136261,0.0
-49.65680694580078,84.74047088623047,-34.942508697509766,-0.031691670417785645,-1.4161887168884277,2.089259386062622,-0.6369213461875916,0.0
-53.98031997680664,83.91682434082031,-30.027727127075195,0.25353336334228516,-1.4515933990478516,2.0538482666015625,-0.5307677388191223,0.0
-57.79518508911133,82.64967346191406,-24.827571868896484,0.09507501870393753,-1.5578075647354126,1.9830257892608643,-0.42461422085762024,-0.03543192893266678
-61.61004638671875,81.73099517822266,-20.039623260498047,-0.031691670417785645,-1.593212366104126,1.876792311668396,-0.28307613730430603,0.0
-64.916259765625,80.1153793334961,-15.093134880065918,-0.06338334083557129,-1.6640217304229736,1.8059699535369873,-0.14153806865215302,-0.03543192893266678
-68.69933319091797,78.27801513671875,-9.4807710647583,0.0,-1.7348312139511108,1.7705588340759277,-0.07076903432607651,0.0
-71.65585327148438,75.87043762207031,-3.9635331630706787,-0.3803000748157501,-1.7702358961105347,1.699736475944519,0.10615355521440506,-0.03543192893266678
-74.07193756103516,72.8609619140625,1.2683305740356445,-0.06338334083557129,-1.8764500617980957,1.6289141178131104,0.24769163131713867,-0.03543192893266678
-76.7105484008789,70.29499053955078,6.373361587524414,0.09507501870393753,-1.9118547439575195,1.5935028791427612,0.35384517908096313,0.0
-78.90409851074219,67.76069641113281,11.097892761230469,0.09507501870393753,-1.947259545326233,1.4518581628799438,0.49538326263427734,-0.03543192893266678
-80.5254135131836,64.2443618774414,16.07608985900879,0.3803000748157501,-1.947259545326233,1.3102134466171265,0.6369213461875916,0.0
-82.3692626953125,60.157814025878906,22.005537033081055,0.41199174523353577,-1.947259545326233,1.2393910884857178,0.743074893951416,0.0
-83.06865692138672,56.32469177246094,26.63494300842285,0.31691673398017883,-1.9118547439575195,1.09774649143219,0.8492284417152405,-0.03543192893266678
-83.73625946044922,51.953033447265625,31.549724578857422,0.41199174523353577,-1.9118547439575195,1.0269241333007812,0.9907665252685547,-0.03543192893266678
-84.4356460571289,47.708091735839844,36.68646240234375,0.06338334083557129,-1.947259545326233,0.8852794170379639,1.1323045492172241,-0.03543192893266678
-84.46743774414062,42.92461013793945,41.37928771972656,0.2852250635623932,-1.947259545326233,0.7790458798408508,1.2384581565856934,-0.03543192893266678
-84.3720703125,38.20448684692383,46.00869369506836,0.3803000748157501,-1.9826642274856567,0.6728123426437378,1.344611644744873,0.0
