110kV II母电压_5,110kV II母电压_6,110kV II母电压_7,110kV II母电压_8,110kV 腰双线_21,110kV 腰双线_22,110kV 腰双线_23,110kV 腰双线_24
79.59803009033203,-12.462050437927246,-66.88343811035156,0.2971220016479492,0.07060199975967407,0.02828099951148033,-0.08868300169706345,-0.005189999938011169
77.68894958496094,-7.212080001831055,-70.17192077636719,0.4847779870033264,0.07060199975967407,0.03513700142502785,-0.0921270027756691,-0.0017300000181421638
75.34502410888672,-1.866655945777893,-73.15277099609375,0.5864250063896179,0.07060199975967407,0.04884900152683258,-0.09557099640369415,-0.0017300000181421638
72.55564880371094,3.3886170387268066,-75.70929718017578,0.3753120005130768,0.06371399760246277,0.04884900152683258,-0.09557099640369415,-0.0017300000181421638
69.35794067382812,8.532526969909668,-77.80967712402344,0.13292300701141357,0.05338200181722641,0.05227699875831604,-0.08868300169706345,-0.005189999938011169
65.7359848022461,13.899163246154785,-79.78807067871094,-0.20329399406909943,0.05338200181722641,0.0557049997150898,-0.09557099640369415,-0.0017300000181421638
62.03449249267578,19.329435348510742,-81.5702133178711,-0.39876899123191833,0.05338200181722641,0.06256099790334702,-0.10245899856090546,-0.0017300000181421638
58.099666595458984,24.632434844970703,-83.03942108154297,-0.4769589900970459,0.04993800073862076,0.06941699981689453,-0.0990149974822998,-0.0017300000181421638
53.87847900390625,29.90361785888672,-84.16387176513672,-0.5395110249519348,0.043049998581409454,0.07627300173044205,-0.0990149974822998,-0.0017300000181421638
49.821685791015625,34.93086242675781,-85.06024932861328,-0.39876899123191833,0.03616200014948845,0.07284499704837799,-0.09557099640369415,-0.0017300000181421638
45.54216384887695,39.910377502441406,-85.69673156738281,-0.17983700335025787,0.029273999854922295,0.07627300173044205,-0.08868300169706345,-0.005189999938011169
40.92855453491211,44.71489715576172,-85.78689575195312,-0.03909499943256378,0.02238599956035614,0.07627300173044205,-0.08179499953985214,0.0017300000181421638
36.1346435546875,49.132293701171875,-85.4050064086914,-0.06255199760198593,0.01549800019711256,0.08312900364398956,-0.08868300169706345,-0.0017300000181421638
31.17633628845215,53.45954132080078,-84.67305755615234,0.0234570000320673,0.0017219999572262168,0.08655700087547302,-0.08179499953985214,-0.0017300000181421638
26.11727523803711,57.35724639892578,-83.58042907714844,0.007818999700248241,0.0017219999572262168,0.08655700087547302,-0.07490699738264084,-0.0017300000181421638
21.079425811767578,61.095863342285156,-82.31807708740234,-0.007818999700248241,-0.0017219999572262168,0.08998499810695648,-0.06801900267601013,-0.0017300000181421638
15.834757804870605,64.83978271484375,-80.80644226074219,-0.0469140000641346,-0.005166000220924616,0.09341300278902054,-0.06801900267601013,-0.0017300000181421638
10.52645492553711,68.20718383789062,-78.92352294921875,-0.0234570000320673,-0.01549800019711256,0.10369700193405151,-0.06801900267601013,-0.005189999938011169
5.064364910125732,71.41019439697266,-76.62158203125,-0.10164699703454971,-0.025830000638961792,0.11055299639701843,-0.06113100051879883,0.0017300000181421638
-0.4136340022087097,74.34275817871094,-74.11809539794922,-0.16419899463653564,-0.029273999854922295,0.11055299639701843,-0.057686999440193176,-0.0017300000181421638
-5.642392158508301,76.86698150634766,-71.36531829833984,-0.2423889935016632,-0.0396060012280941,0.10712499916553497,-0.054242998361587524,-0.0017300000181421638
-11.014330863952637,79.1154556274414,-68.24126434326172,-0.10164699703454971,-0.0396060012280941,0.11055299639701843,-0.05079900100827217,-0.0017300000181421638
-16.32793617248535,80.97150421142578,-64.75653839111328,0.007818999700248241,-0.0396060012280941,0.11055299639701843,-0.04735499992966652,0.0017300000181421638
-21.344575881958008,82.47225952148438,-61.155120849609375,0.21111300587654114,-0.046493999660015106,0.11055299639701843,-0.040467001497745514,-0.0017300000181421638
-26.38242530822754,83.85103607177734,-57.37336730957031,0.3909499943256378,-0.05338200181722641,0.11055299639701843,-0.040467001497745514,0.0017300000181421638
-31.42557716369629,84.92754364013672,-53.246856689453125,0.523872971534729,-0.060270000249147415,0.11055299639701843,-0.03357899934053421,-0.0017300000181421638
-36.47933578491211,85.69647979736328,-48.89757537841797,0.7037100195884705,-0.060270000249147415,0.11055299639701843,-0.026691000908613205,-0.0017300000181421638
-41.48537063598633,86.12602233886719,-44.299007415771484,0.602063000202179,-0.05682599917054176,0.10369700193405151,-0.012915000319480896,-0.0017300000181421638
-46.199737548828125,85.94572448730469,-39.54662322998047,0.39876899123191833,-0.060270000249147415,0.096841000020504,-0.012915000319480896,0.0017300000181421638
-50.76561737060547,85.45784759521484,-34.6351203918457,0.0234570000320673,-0.060270000249147415,0.08998499810695648,-0.002583000110462308,-0.0017300000181421638
-55.05574417114258,84.57754516601562,-29.612232208251953,-0.10164699703454971,-0.06715799868106842,0.08655700087547302,0.0008609999786131084,-0.0017300000181421638
-59.043601989746094,83.40558624267578,-24.610559463500977,-0.2423889935016632,-0.07404600083827972,0.08312900364398956,0.004304999951273203,0.0017300000181421638
-62.888275146484375,82.0533218383789,-19.386119842529297,-0.22675099968910217,-0.08093400299549103,0.08312900364398956,0.014636999927461147,-0.0017300000181421638
-66.1867446899414,80.23439025878906,-14.161680221557617,-0.1954749971628189,-0.08437799662351608,0.0797009989619255,0.021524999290704727,0.0017300000181421638
-69.24127197265625,78.28288269042969,-9.016799926757812,0.06255199760198593,-0.08437799662351608,0.0797009989619255,0.02841299958527088,-0.0017300000181421638
-72.21095275878906,76.0927505493164,-3.7234079837799072,0.27366501092910767,-0.08782199770212173,0.06941699981689453,0.031856998801231384,-0.0017300000181421638
