220kV Ⅲ母电压_A相_1,220kV Ⅲ母电压_B相_2,220kV Ⅲ母电压_C相_3,220kV Ⅲ母电压_3U0_4,通大Ⅲ回289_A相_9,通大Ⅲ回289_B相_10,通大Ⅲ回289_C相_11,通大Ⅲ回289_3I0_12
32.450504302978516,50.81108093261719,-83.89976501464844,-0.9344512820243835,0.16279558837413788,0.1042793020606041,-0.2422618567943573,0.0
10.32563591003418,67.9180679321289,-78.6189956665039,-0.4360772669315338,0.1003275141119957,0.1630549132823944,-0.23847651481628418,-0.003785760374739766
-11.506604194641113,79.8950424194336,-68.21338653564453,0.4360772669315338,0.028394579887390137,0.2047666311264038,-0.21008646488189697,-0.005678640678524971
-31.833894729614258,85.21235656738281,-53.07795715332031,0.7164126634597778,-0.04164538532495499,0.23889440298080444,-0.1760183870792389,-0.003785760374739766
-51.19968795776367,84.02610778808594,-32.51622772216797,0.560670793056488,-0.10411345958709717,0.2521663010120392,-0.11923825740814209,-0.009464400820434093
-67.96316528320312,78.25093841552734,-9.948219299316406,0.560670793056488,-0.159009650349617,0.2521663010120392,-0.060565464198589325,-0.005678640678524971
-79.55338287353516,67.84523010253906,11.756985664367676,0.031148375943303108,-0.20822691917419434,0.23699840903282166,0.003785341512411833,-0.007571520749479532
-84.7998046875,52.84019470214844,31.5286808013916,-0.7942835688591003,-0.24608635902404785,0.19907866418361664,0.07381416112184525,-0.005678640678524971
-84.03688049316406,32.8092041015625,50.75982666015625,-0.8721545338630676,-0.25744420289993286,0.15357497334480286,0.12491627037525177,-0.003785760374739766
-78.38286590576172,10.322463989257812,67.79757690429688,-0.3893547058105469,-0.26123014092445374,0.09290337562561035,0.1854817420244217,0.0
-67.85865783691406,-11.539932250976562,79.39863586425781,0.140167698264122,-0.2385144680738449,0.028439808636903763,0.22522781789302826,0.005678640678524971
-52.464263916015625,-31.70619773864746,84.56505584716797,0.8098577857017517,-0.20254799723625183,-0.03791974484920502,0.24983254075050354,0.009464400820434093
-32.57592010498047,-50.87351608276367,83.86857604980469,0.9500254392623901,-0.15711668133735657,-0.09479936212301254,0.25929591059684753,0.011357281357049942
-10.336087226867676,-68.09496307373047,78.54622650146484,0.49837401509284973,-0.08707670867443085,-0.15167897939682007,0.24983254075050354,0.015143041498959064
11.51705551147461,-79.95747375488281,68.11982727050781,-0.2180386334657669,-0.024608636274933815,-0.19718268513679504,0.22522781789302826,0.02082168310880661
31.844345092773438,-85.29560852050781,52.953216552734375,-0.6073933243751526,0.04543132707476616,-0.2294144630432129,0.1892670840024948,0.026500321924686432
51.147430419921875,-84.2030029296875,32.537017822265625,-0.591819167137146,0.10979237407445908,-0.2464783489704132,0.13437962532043457,0.022714562714099884
67.8900146484375,-78.54229736328125,10.23928451538086,-0.4516514539718628,0.16658154129981995,-0.2464783489704132,0.0757068321108818,0.024607442319393158
79.56383514404297,-68.1469955444336,-11.486710548400879,0.04672256484627724,0.21769177913665771,-0.2275184690952301,0.009463354013860226,0.022714562714099884
84.86251831054688,-52.97547149658203,-31.466310501098633,0.8565803170204163,0.24608635902404785,-0.19528669118881226,-0.058672793209552765,0.018928801640868187
84.0995864868164,-32.882041931152344,-50.75982666015625,0.8877286911010742,0.2650160789489746,-0.1459910273551941,-0.11356024444103241,0.015143041498959064
78.46647644042969,-10.364087104797363,-67.8807373046875,0.49837401509284973,0.263123095035553,-0.08721541613340378,-0.16466236114501953,0.011357281357049942
67.9109115600586,11.519121170043945,-79.52337646484375,-0.015574187971651554,0.2479793280363083,-0.02654382213950157,-0.20630112290382385,0.011357281357049942
52.55832290649414,31.59173583984375,-84.67940521240234,-0.7319868206977844,0.21011988818645477,0.04360770806670189,-0.23658384382724762,0.007571520749479532
32.59682083129883,50.70702362060547,-83.9725341796875,-0.9500254392623901,0.16468855738639832,0.1042793020606041,-0.24415452778339386,0.003785760374739766
10.451048851013184,67.81401062011719,-78.63978576660156,-0.4516514539718628,0.1003275141119957,0.16115891933441162,-0.23658384382724762,-0.005678640678524971
-11.339387893676758,79.79098510742188,-68.3277359008789,0.40492889285087585,0.028394579887390137,0.2047666311264038,-0.2138718068599701,-0.003785760374739766
-31.71893310546875,85.1915512084961,-53.16111755371094,0.7475610375404358,-0.037859439849853516,0.23889440298080444,-0.1760183870792389,-0.007571520749479532
-51.1160774230957,84.05732727050781,-32.67215347290039,0.560670793056488,-0.10222049057483673,0.25595828890800476,-0.12113092839717865,-0.007571520749479532
-67.83775329589844,78.35499572753906,-10.124937057495117,0.6541159152984619,-0.16090261936187744,0.25595828890800476,-0.060565464198589325,-0.007571520749479532
-79.53247833251953,67.92847442626953,11.653034210205078,0.031148375943303108,-0.21011988818645477,0.24079038202762604,0.0018926707562059164,-0.009464400820434093
-84.75800323486328,52.93384552001953,31.435123443603516,-0.7319868206977844,-0.24419339001178741,0.20287063717842102,0.06813614815473557,-0.009464400820434093
-84.03688049316406,32.95488357543945,50.62468719482422,-0.8877286911010742,-0.2593371570110321,0.15547095239162445,0.13059428334236145,-0.003785760374739766
-78.45602416992188,10.447332382202148,67.70402526855469,-0.4360772669315338,-0.25555121898651123,0.09290337562561035,0.18358907103538513,0.001892880187369883
-67.94226837158203,-11.373440742492676,79.3674545288086,0.18689025938510895,-0.2385144680738449,0.030335796996951103,0.22144249081611633,0.009464400820434093
-52.621028900146484,-31.550111770629883,84.5546646118164,0.8410061597824097,-0.20444098114967346,-0.032231785356998444,0.24983254075050354,0.011357281357049942
