220kV III段电压_A相_1,220kV III段电压_B相_2,220kV III段电压_C相_3,220kV III段电压_3U0_4,220kV虹花I回线_A相_37,220kV虹花I回线_B相_38,220kV虹花I回线_C相_39,220kV虹花I回线_3I0_40
19.074642181396484,-82.34736633300781,62.98414993286133,-0.2950638234615326,0.10195541381835938,-0.31492558121681213,0.2954977750778198,0.009271984919905663
39.01584243774414,-84.09921264648438,44.6306037902832,-0.49694961309432983,0.15756745636463165,-0.2964005470275879,0.20315472781658173,0.03708793967962265
57.76683044433594,-80.79246520996094,23.13872528076172,0.6367166638374329,0.20391082763671875,-0.2964005470275879,0.1200459748506546,0.03708793967962265
71.50642395019531,-75.19483947753906,3.335125207901001,-0.09317804872989655,0.29659757018089294,-0.24082544445991516,0.01846861094236374,0.018543969839811325
81.97815704345703,-62.61053466796875,-18.92321014404297,0.9783695340156555,0.3614782989025116,-0.20377537608146667,-0.08310875296592712,0.018543969839811325
83.7530288696289,-44.418235778808594,-38.97539138793945,0.9783695340156555,0.3614782989025116,-0.10188768804073334,-0.1846861094236374,0.027815954759716988
80.44342041015625,-23.157604217529297,-57.16321563720703,0.2640044689178467,0.3614782989025116,-0.027787551283836365,-0.25856056809425354,0.027815954759716988
74.75338745117188,-3.0475988388061523,-71.53947448730469,0.6056573390960693,0.29659757018089294,0.037050068378448486,-0.28626346588134766,0.03708793967962265
62.25621032714844,19.218530654907227,-81.75199890136719,-0.49694961309432983,0.2780602276325226,0.13893775641918182,-0.3601379096508026,0.04635992273688316
44.06900405883789,39.307804107666016,-83.9581527709961,-0.6056573390960693,0.21317949891090393,0.2130378931760788,-0.3416692912578583,0.027815954759716988
23.38653564453125,57.396446228027344,-80.94410705566406,0.1863560974597931,0.16683612763881683,0.31492558121681213,-0.32320070266723633,0.03708793967962265
3.0486018657684326,71.77406311035156,-75.1956787109375,-0.09317804872989655,0.06488072127103806,0.2964005470275879,-0.304732084274292,0.03708793967962265
-19.0642032623291,81.9430923461914,-62.79771423339844,0.3727121949195862,-0.027806023135781288,0.3427131474018097,-0.24932624399662018,0.027815954759716988
-39.05760192871094,83.80896759033203,-44.39237976074219,0.6988353729248047,-0.11122409254312515,0.3519756495952606,-0.17545180022716522,0.055631909519433975
-57.432735443115234,80.59551239013672,-23.314804077148438,-0.20188577473163605,-0.1853734850883484,0.32418811321258545,-0.06464014202356339,0.04635992273688316
-71.652587890625,75.15337371826172,-3.3144102096557617,0.15529675781726837,-0.23171685636043549,0.2964005470275879,0.04617152735590935,0.04635992273688316
-81.88419342041016,62.61053466796875,18.726417541503906,-1.0404882431030273,-0.28732889890670776,0.2500879764556885,0.11081166565418243,0.018543969839811325
-83.5233383178711,44.36640548706055,38.75788497924805,-1.1181366443634033,-0.2780602276325226,0.14820027351379395,0.20315472781658173,0.03708793967962265
-80.38077545166016,23.064311981201172,57.25643539428711,0.031059350818395615,-0.3151349127292633,0.05557510256767273,0.2770291566848755,0.027815954759716988
-75.2754135131836,3.1201608180999756,71.58090209960938,-0.7454243898391724,-0.28732889890670776,0.009262517094612122,0.31396639347076416,0.018543969839811325
-62.36061477661133,-18.420351028442383,81.26519012451172,0.7454243898391724,-0.2224481850862503,-0.07410013675689697,0.3601379096508026,0.018543969839811325
-44.277809143066406,-39.42183303833008,83.7509994506836,0.6677760481834412,-0.1297614425420761,-0.13893775641918182,0.40630945563316345,0.04635992273688316
-23.30301284790039,-57.57266616821289,80.77838897705078,0.031059350818395615,-0.08341806381940842,-0.24082544445991516,0.3878408372402191,0.03708793967962265
-3.1843273639678955,-71.5563735961914,74.7710189819336,0.24847480654716492,-0.01853734813630581,-0.2686130106449127,0.35090360045433044,0.018543969839811325
18.719669342041016,-82.171142578125,63.10844039916992,-0.3727121949195862,0.06488072127103806,-0.2964005470275879,0.28626346588134766,0.018543969839811325
39.088924407958984,-84.24433898925781,44.62024688720703,-0.48141995072364807,0.15756745636463165,-0.28713804483413696,0.20315472781658173,0.027815954759716988
57.65198516845703,-80.86502838134766,23.24230194091797,0.38824188709259033,0.25025421380996704,-0.2500879764556885,0.1200459748506546,0.04635992273688316
71.30805206298828,-75.25703430175781,3.7701416015625,-0.06211870163679123,0.3151349127292633,-0.23156292736530304,0.0,0.04635992273688316
81.96772003173828,-62.84895324707031,-18.726417541503906,1.009428858757019,0.33367225527763367,-0.19451285898685455,-0.06464014202356339,0.03708793967962265
83.85743713378906,-44.55299377441406,-38.902889251708984,1.009428858757019,0.33367225527763367,-0.12041272222995758,-0.1846861094236374,0.027815954759716988
80.23461151123047,-23.033212661743164,-57.17357635498047,0.1087077260017395,0.3151349127292633,-0.027787551283836365,-0.304732084274292,0.03708793967962265
74.90999603271484,-3.05796480178833,-71.36339569091797,0.6677760481834412,0.3058662414550781,0.05557510256767273,-0.304732084274292,0.027815954759716988
62.72602844238281,18.596572875976562,-81.50341796875,-0.3571825325489044,0.3058662414550781,0.1667253077030182,-0.31396639347076416,0.055631909519433975
44.538822174072266,39.1108512878418,-83.968505859375,-0.5745980143547058,0.20391082763671875,0.20377537608146667,-0.3416692912578583,0.03708793967962265
23.292572021484375,57.44827651977539,-80.8301773071289,0.217415452003479,0.1297614425420761,0.2686130106449127,-0.3416692912578583,0.027815954759716988
2.9963998794555664,71.9399185180664,-75.20603942871094,-0.12423740327358246,0.0463433712720871,0.31492558121681213,-0.31396639347076416,0.03708793967962265
-18.844953536987305,81.84980010986328,-63.046295166015625,0.3727121949195862,-0.01853734813630581,0.3519756495952606,-0.2677948474884033,0.018543969839811325
