220kVI母电压_1,220kVI母电压_2,220kVI母电压_3,220kVI母电压_4,大剑I回_9,大剑I回_10,大剑I回_11,大剑I回_12
-81.01631927490234,18.131975173950195,62.705501556396484,-0.2892020046710968,-0.25352901220321655,0.43473899364471436,-0.1271200031042099,-0.01803000085055828
-69.06991577148438,-9.033099174499512,78.20647430419922,0.19280800223350525,-0.3078559935092926,0.3803969919681549,-0.018160000443458557,-0.01803000085055828
-50.788639068603516,-34.33454895019531,85.57327270507812,0.7390859723091125,-0.3259649872779846,0.271712988615036,0.1271200031042099,-0.01803000085055828
-26.698558807373047,-56.478797912597656,83.5781021118164,0.482014000415802,-0.36218300461769104,0.1630290001630783,0.2542400062084198,-0.01803000085055828
0.19728200137615204,-73.93109893798828,73.62415313720703,-0.2892020046710968,-0.36218300461769104,0.09057299792766571,0.3450399935245514,-0.01803000085055828
26.150562286376953,-84.27970123291016,57.860076904296875,-0.38560399413108826,-0.2897469997406006,-0.05433899909257889,0.3813599944114685,-0.01803000085055828
49.232322692871094,-85.24440002441406,35.51850128173828,-0.8997480273246765,-0.1810930073261261,-0.14490899443626404,0.39952000975608826,-0.036058999598026276
68.93840026855469,-78.1187744140625,9.31812572479248,0.22494199872016907,-0.09054800122976303,-0.25359299778938293,0.4176799952983856,-0.01803000085055828
82.11231994628906,-64.19639587402344,-17.71539878845215,0.22494199872016907,0.018106000497937202,-0.28982099890708923,0.32688000798225403,-0.036058999598026276
85.94831848144531,-43.674598693847656,-41.74519729614258,0.8354880213737488,0.16297799348831177,-0.3441630005836487,0.23608000576496124,-0.01803000085055828
81.12592315673828,-18.175823211669922,-62.6177978515625,0.2570759952068329,0.28974100947380066,-0.36227700114250183,0.18160000443458557,-9.999999974752427e-07
69.17951965332031,8.923476219177246,-78.09684753417969,-0.257068008184433,0.3440679907798767,-0.28982099890708923,0.036320000886917114,-0.05408800020813942
50.89824295043945,34.24685287475586,-85.52942657470703,-0.7390779852867126,0.3621770143508911,-0.1992509961128235,-0.09080000221729279,-0.01803000085055828
26.87392234802246,56.41302490234375,-83.60002136230469,-0.5784080028533936,0.39839500188827515,-0.1267949938774109,-0.21792000532150269,-9.999999974752427e-07
1.9999999949504854e-06,73.84339904785156,-73.66799926757812,0.22494199872016907,0.39839500188827515,-0.01811099983751774,-0.3087199926376343,-0.01803000085055828
-26.062877655029297,84.17007446289062,-57.7943000793457,0.35347801446914673,0.28974100947380066,0.126800999045372,-0.32688000798225403,-0.01803000085055828
-49.100799560546875,85.20055389404297,-35.518497467041016,0.7390859723091125,0.199195995926857,0.21737100183963776,-0.3813599944114685,-0.01803000085055828
-68.80687713623047,78.14070129394531,-9.405823707580566,-0.257068008184433,0.12676000595092773,0.3079409897327423,-0.3813599944114685,-0.01803000085055828
-81.93695831298828,64.24024963378906,17.561925888061523,-0.3213360011577606,-3.000000106112566e-06,0.3803969919681549,-0.3087199926376343,-0.01803000085055828
-85.77295684814453,43.63075256347656,41.657501220703125,-0.8997480273246765,-0.14487500488758087,0.43473899364471436,-0.18160000443458557,-0.01803000085055828
-81.08207702636719,18.219675064086914,62.617801666259766,-0.2892020046710968,-0.23542000353336334,0.43473899364471436,-0.1271200031042099,-0.01803000085055828
-69.2014389038086,-8.901549339294434,78.20647430419922,0.12853999435901642,-0.3078559935092926,0.3803969919681549,-0.036320000886917114,-0.01803000085055828
-50.85439682006836,-34.246849060058594,85.57327270507812,0.7069519758224487,-0.3259649872779846,0.28982698917388916,0.1271200031042099,-0.01803000085055828
-26.80815887451172,-56.4349479675293,83.5781021118164,0.41774600744247437,-0.36218300461769104,0.1630290001630783,0.2542400062084198,-0.01803000085055828
0.043841999024152756,-73.90917205810547,73.75569915771484,-0.257068008184433,-0.36218300461769104,0.09057299792766571,0.32688000798225403,-0.01803000085055828
26.019041061401367,-84.23584747314453,57.96969985961914,-0.38560399413108826,-0.2897469997406006,-0.01811099983751774,0.36320000886917114,-0.01803000085055828
49.12272262573242,-85.26632690429688,35.671974182128906,-0.8997480273246765,-0.1629839986562729,-0.14490899443626404,0.4176799952983856,-0.036058999598026276
68.85072326660156,-78.1845474243164,9.471600532531738,0.2570759952068329,-0.09054800122976303,-0.23547899723052979,0.39952000975608826,-0.01803000085055828
62.42816162109375,-43.89384841918945,-17.62769889831543,2.5385899543762207,4.400484085083008,-4.69152307510376,0.39952000975608826,-0.01803000085055828
23.60784149169922,16.24642562866211,-42.446800231933594,-4.755827903747559,10.050492286682129,-10.252520561218262,0.3450399935245514,-0.01803000085055828
40.11360168457031,27.384326934814453,-62.266998291015625,9.093926429748535,9.833184242248535,-9.872126579284668,0.27239999175071716,0.018028000369668007
57.21120071411133,15.06247615814209,-77.1760025024414,-8.74044418334961,12.567643165588379,-12.48054313659668,0.18160000443458557,0.036056999117136
53.725921630859375,34.312625885009766,-83.75350189208984,7.583628177642822,15.44697380065918,-15.215757369995117,0.07264000177383423,0.09014400094747543
28.27680206298828,50.86600112915039,-80.77169799804688,-2.9563241004943848,13.328221321105957,-13.096419334411621,0.018160000443458557,0.07211499661207199
24.966882705688477,46.80987548828125,-73.22949981689453,-2.345777988433838,7.7506489753723145,-7.444850921630859,-0.036320000886917114,0.054085999727249146
27.487682342529297,33.76449966430664,-57.83815002441406,5.976928234100342,4.943754196166992,-4.582839012145996,-0.16344000399112701,0.018028000369668007
-10.214717864990234,40.07889938354492,-36.43935012817383,-11.696771621704102,0.0724330022931099,0.3079409897327423,-0.2905600070953369,-9.999999974752427e-07
