220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV玉元II回线_A相_17,220kV玉元II回线_B相_18,220kV玉元II回线_C相_19,220kV玉元II回线_3I0_20
-73.9884262084961,75.50465393066406,-1.3494855165481567,0.26489344239234924,0.14938504993915558,0.03711089864373207,-0.13919125497341156,-0.009274326264858246
-82.68925476074219,61.76519775390625,20.47065544128418,-0.7635164260864258,0.11203878372907639,0.0649440735578537,-0.15775008499622345,-0.01854865252971649
-85.73245239257812,44.169960021972656,41.003597259521484,-0.9037541151046753,0.09336565434932709,0.1298881471157074,-0.15775008499622345,0.009274326264858246
-82.86703491210938,23.22820281982422,59.699161529541016,0.17140163481235504,0.037346262484788895,0.16699904203414917,-0.1484706699848175,0.01854865252971649
-75.0342025756836,1.2679377794265747,73.55733489990234,-0.31163933873176575,-0.018673131242394447,0.1762767732143402,-0.12991183996200562,-0.009274326264858246
-61.61693572998047,-20.349361419677734,82.39128112792969,0.779098391532898,-0.046682827174663544,0.1948322206735611,-0.0835147500038147,0.009274326264858246
-43.94337463378906,-41.228763580322266,85.78575134277344,1.1686475276947021,-0.11203878372907639,0.18555448949337006,-0.027838250622153282,0.027822978794574738
-22.871051788330078,-60.17507553100586,83.01411437988281,0.0467459000647068,-0.13071191310882568,0.18555448949337006,-0.018558833748102188,0.0
-0.8261604905128479,-74.15357208251953,75.14557647705078,0.4674590229988098,-0.14938504993915558,0.13916586339473724,0.04639708623290062,-0.009274326264858246
20.894540786743164,-82.88363647460938,61.58843994140625,-0.4674590229988098,-0.16805818676948547,0.12061042338609695,0.11135300248861313,0.009274326264858246
41.37077331542969,-86.19898223876953,44.30464553833008,-0.7323524355888367,-0.20540444552898407,0.08349952101707458,0.12991183996200562,0.0
60.09010696411133,-83.15384674072266,23.138484954833984,0.3272213041782379,-0.16805818676948547,0.03711089864373207,0.1670295000076294,0.009274326264858246
74.19757843017578,-75.53582763671875,1.2664401531219482,0.0,-0.15872161090373993,0.0,0.1670295000076294,0.009274326264858246
82.69971466064453,-61.69244384765625,-20.615985870361328,0.7479344010353088,-0.11203878372907639,-0.055666349828243256,0.19486775994300842,0.0
85.83702850341797,-43.88935089111328,-41.30463409423828,1.0907377004623413,-0.09336565434932709,-0.09277724474668503,0.19486775994300842,0.0
82.94023895263672,-22.906023025512695,-59.93791580200195,0.17140163481235504,-0.037346262484788895,-0.11133269965648651,0.19486775994300842,0.0
74.86687469482422,-0.9249709844589233,-73.83761596679688,0.3428032696247101,0.009336565621197224,-0.1298881471157074,0.1484706699848175,0.0
61.49143981933594,20.60918426513672,-82.5677490234375,-0.670024573802948,0.05601939186453819,-0.15772132575511932,0.12063241750001907,-0.009274326264858246
43.8178825378418,41.28072738647461,-85.89994049072266,-1.0439918041229248,0.09336565434932709,-0.15772132575511932,0.10207358747720718,0.027822978794574738
22.640981674194336,60.22704315185547,-83.08678436279297,-0.0934918001294136,0.11203878372907639,-0.14844359457492828,0.037117667496204376,-0.009274326264858246
0.6692945957183838,74.19514465332031,-75.19747924804688,-0.3272213041782379,0.14004848897457123,-0.1298881471157074,-0.009279416874051094,0.009274326264858246
-21.03049087524414,82.77970123291016,-61.443111419677734,0.7167704701423645,0.14938504993915558,-0.08349952101707458,-0.06495591998100281,0.0
-41.67404556274414,86.11583709716797,-44.117794036865234,0.6856065392494202,0.15872161090373993,-0.046388622373342514,-0.09279417246580124,0.0
-60.299259185791016,83.01874542236328,-22.84782600402832,-0.1869836002588272,0.16805818676948547,-0.018555449321866035,-0.12063241750001907,-0.009274326264858246
-74.26033020019531,75.31758117675781,-0.892736554145813,0.31163933873176575,0.14004848897457123,0.018555449321866035,-0.12063241750001907,-0.01854865252971649
-82.74154663085938,61.484588623046875,20.813217163085938,-0.7323524355888367,0.11203878372907639,0.10205496847629547,-0.13919125497341156,0.0
-85.74291229248047,43.77503204345703,41.43958282470703,-0.872590184211731,0.08402909338474274,0.1298881471157074,-0.13919125497341156,-0.01854865252971649
-82.76245880126953,22.81248664855957,60.010581970214844,0.17140163481235504,0.028009695932269096,0.15772132575511932,-0.15775008499622345,0.0
-74.83550262451172,0.8210416436195374,73.78571319580078,-0.2804754078388214,-0.018673131242394447,0.15772132575511932,-0.11135300248861313,-0.009274326264858246
-61.30320358276367,-20.744293212890625,82.46394348144531,0.779098391532898,-0.05601939186453819,0.18555448949337006,-0.0835147500038147,0.0
-43.5982666015625,-41.61330032348633,85.75460815429688,1.1063196659088135,-0.09336565434932709,0.1948322206735611,-0.055676501244306564,-0.009274326264858246
-22.421369552612305,-60.518043518066406,82.86878967285156,0.0934918001294136,-0.14938504993915558,0.18555448949337006,0.009279416874051094,-0.009274326264858246
-0.4496822953224182,-74.42378997802734,74.95872497558594,0.389549195766449,-0.15872161090373993,0.14844359457492828,0.04639708623290062,0.01854865252971649
21.281476974487305,-82.95638275146484,61.235496520996094,-0.5297868847846985,-0.16805818676948547,0.12061042338609695,0.10207358747720718,0.01854865252971649
41.72633361816406,-86.23015594482422,43.97246551513672,-0.670024573802948,-0.16805818676948547,0.08349952101707458,0.12063241750001907,0.01854865252971649
60.35154724121094,-83.08110046386719,22.82706642150879,0.2960573732852936,-0.16805818676948547,0.027833174914121628,0.1670295000076294,0.0
74.40673828125,-75.23443603515625,0.778549313545227,0.0467459000647068,-0.15872161090373993,0.018555449321866035,0.17630891501903534,0.0
82.79383087158203,-61.453407287597656,-20.917024612426758,0.8102623224258423,-0.11203878372907639,-0.0649440735578537,0.19486775994300842,0.0
