500kV 冯华1线电压 Ua_1,500kV 冯华1线电压 Ub_2,500kV 冯华1线电压 Uc_3,500kV 冯华1线电压 3U0_4,500kV 冯华1线电流 Ia_33,500kV 冯华1线电流 Ib_34,500kV 冯华1线电流 Ic_35,500kV 冯华1线电流 3I0_36
-17.14393424987793,82.95467376708984,-65.56080627441406,-0.42255884408950806,-0.01701088808476925,-0.050652001053094864,0.0718408077955246,0.0021119029261171818
-19.96459197998047,83.87821960449219,-63.58952331542969,-0.5086356401443481,-0.01275816559791565,-0.050652001053094864,0.06972784548997879,0.0021119029261171818
-22.714534759521484,84.64523315429688,-61.586952209472656,-0.5634118318557739,-0.01275816559791565,-0.05276250094175339,0.06972784548997879,0.0
-25.330909729003906,85.33397674560547,-59.537445068359375,-0.759040892124176,-0.010631805285811424,-0.05487300083041191,0.06972784548997879,0.0021119029261171818
-28.002283096313477,85.9992446899414,-57.503578186035156,-0.7981667518615723,-0.008505444042384624,-0.056983500719070435,0.06972784548997879,0.0
-30.752227783203125,86.50797271728516,-55.2976188659668,-0.7277402281761169,-0.004252722021192312,-0.056983500719070435,0.06761488318443298,0.0021119029261171818
-33.32146072387695,87.04801177978516,-53.216819763183594,-0.8138170838356018,-0.002126361010596156,-0.06120450049638748,0.06761488318443298,0.0021119029261171818
-35.796409606933594,87.47064971923828,-51.151668548583984,-0.8451176881790161,-0.002126361010596156,-0.06120450049638748,0.06550191342830658,0.0021119029261171818
-38.30278778076172,87.68196868896484,-48.945709228515625,-0.6886144280433655,0.002126361010596156,-0.06120450049638748,0.06761488318443298,0.0042238058522343636
-40.675594329833984,87.7837142944336,-46.739749908447266,-0.5399363040924072,0.002126361010596156,-0.0633149966597557,0.06550191342830658,0.0021119029261171818
-42.93054962158203,87.80719757080078,-44.53378677368164,-0.5086356401443481,0.004252722021192312,-0.0633149966597557,0.06338895112276077,0.0021119029261171818
-45.2169303894043,87.76023864746094,-42.21831130981445,-0.47733500599861145,0.006379082798957825,-0.06120450049638748,0.06338895112276077,0.0021119029261171818
-47.377601623535156,87.34542846679688,-39.730743408203125,-0.3599575459957123,0.008505444042384624,-0.0633149966597557,0.06127598509192467,0.0021119029261171818
-49.42041778564453,86.91496276855469,-37.25099182128906,-0.3599575459957123,0.008505444042384624,-0.06542550027370453,0.05916301906108856,0.0
-51.887508392333984,86.8366928100586,-34.677371978759766,-0.39908337593078613,0.01275816559791565,-0.06542550027370453,0.05493709072470665,0.0
-53.89104080200195,86.23403930664062,-32.07246398925781,-0.3756078779697418,0.01701088808476925,-0.06753599643707275,0.05493709072470665,0.0
-55.99671173095703,85.67052459716797,-29.373682022094727,-0.4147336781024933,0.01701088808476925,-0.06542550027370453,0.05493709072470665,0.0021119029261171818
-58.11809539794922,85.06004333496094,-26.58885383605957,-0.5164608359336853,0.01701088808476925,-0.06542550027370453,0.052824124693870544,0.0021119029261171818
-60.28662109375,84.45738983154297,-23.788381576538086,-0.5712369680404663,0.019137248396873474,-0.0633149966597557,0.05071115866303444,0.0021119029261171818
-62.28229522705078,83.72168731689453,-21.034841537475586,-0.5868873000144958,0.02126361057162285,-0.06542550027370453,0.04648523032665253,0.0021119029261171818
-64.15225982666016,82.91554260253906,-18.343883514404297,-0.6338382959365845,0.023389970883727074,-0.06542550027370453,0.04859819635748863,0.0
-66.05364990234375,82.06243896484375,-15.621636390686035,-0.5790621638298035,0.027642693370580673,-0.06753599643707275,0.04437226429581642,0.0
-67.93932342529297,81.1388931274414,-12.852453231811523,-0.5634118318557739,0.027642693370580673,-0.06964650005102158,0.038033369928598404,-0.0021119029261171818
-69.62071990966797,80.24665069580078,-10.310123443603516,-0.44603434205055237,0.0340217761695385,-0.06753599643707275,0.04014633595943451,0.0021119029261171818
-53.48247528076172,59.36514663696289,-10.474396705627441,9.022414207458496,-0.29981690645217896,0.2764754891395569,0.06338895112276077,0.027454739436507225
-54.29960250854492,56.406673431396484,-9.066337585449219,12.207255363464355,-0.5804965496063232,0.5571720004081726,0.07817970216274261,0.05068567022681236
-53.7103271484375,53.63603973388672,-6.985538959503174,11.06478214263916,-0.6208974123001099,0.588829517364502,0.06972784548997879,0.04857376962900162
-55.87099838256836,54.71611785888672,0.0,1.5963335037231445,-0.5911283493041992,0.5423985123634338,0.06127598509192467,0.008447611704468727
-43.213401794433594,38.13144302368164,0.5945139527320862,8.905036926269531,-0.9037034511566162,0.8526419997215271,0.09297046065330505,0.03167854622006416
-40.659881591796875,34.60945129394531,2.1433792114257812,6.854843616485596,-1.0078951120376587,0.9813824892044067,0.10564824938774109,0.07602851092815399
-42.86769485473633,31.369216918945312,6.367557525634766,9.053714752197266,-1.0057687759399414,0.9919350147247314,0.08029267191886902,0.06546898931264877
-39.83489990234375,27.291532516479492,11.491329193115234,1.5102566480636597,-0.9845051169395447,0.9729405045509338,0.06972784548997879,0.05490947887301445
-34.138587951660156,22.368568420410156,13.134064674377441,-2.652730703353882,-1.2290366888046265,1.2219794988632202,0.09719639271497726,0.08447612076997757
-30.351520538330078,15.238489151000977,14.213577270507812,1.4633057117462158,-1.2992066144943237,1.289515495300293,0.12466493248939514,0.1098189577460289
-34.7121467590332,15.050649642944336,17.67896842956543,3.4743728637695312,-1.2992066144943237,1.2641894817352295,0.07817970216274261,0.038014255464076996
-38.13779067993164,16.467273712158203,19.50162124633789,3.7013025283813477,-1.2992066144943237,1.2515264749526978,0.08874452859163284,0.038014255464076996
-36.23640060424805,12.209575653076172,22.763626098632812,2.2301716804504395,-1.5182217359542847,1.4879025220870972,0.1077612116932869,0.0718047022819519
-36.20497131347656,7.967530727386475,26.252485275268555,3.513498544692993,-1.5586225986480713,1.5512175559997559,0.12043900787830353,0.1098189577460289
-39.882041931152344,10.620765686035156,30.86779022216797,-2.676206111907959,-1.530979871749878,1.5406650304794312,0.08663156628608704,0.09714753925800323
-42.364845275878906,11.65388298034668,33.28495788574219,-4.6716227531433105,-1.643676996231079,1.6377480030059814,0.10564824938774109,0.09714753925800323
-44.83979797363281,8.984994888305664,35.52220916748047,0.6964396238327026,-1.764879584312439,1.7854830026626587,0.13311679661273956,0.14994511008262634
-46.9847526550293,10.26073932647705,38.48695755004883,-3.0987648963928223,-1.847807765007019,1.825582504272461,0.10142231732606888,0.07602851092815399
-49.569698333740234,9.814620018005371,40.47388458251953,-1.4163546562194824,-1.7925223112106323,1.772819995880127,0.073953777551651,0.05068567022681236
