17-220kV七花Ⅰ回线电压Ua_17,18-220kV七花Ⅰ回线电压Ub_18,19-220kV七花Ⅰ回线电压Uc_19,20-220kV七花Ⅰ回线电压3Uo_20,29-220kV七花Ⅰ回线路电流Ia_29,30-220kV七花Ⅰ回线路电流Ib_30,31-220kV七花Ⅰ回线路电流Ic_31,32-220kV七花Ⅰ回线路电流3Io_32
-32.39822769165039,-52.7050666809082,85.62218475341797,0.9519668221473694,0.07194294780492783,-0.04308405891060829,-0.02879408560693264,0.007195130456238985
-27.210691452026367,-57.4329719543457,84.76532745361328,0.2221256047487259,0.07194294780492783,-0.03590337932109833,-0.02879408560693264,0.0
-21.70490264892578,-62.256072998046875,83.62285614013672,-0.4442512094974518,0.07194294780492783,-0.03590337932109833,-0.03599260747432709,-0.007195130456238985
-16.517366409301758,-66.38109588623047,82.22649383544922,-1.1106280088424683,0.07913724333047867,-0.02872270531952381,-0.043191131204366684,0.0
-11.075228691101074,-69.80803680419922,79.8780746459961,-1.7770048379898071,0.06474865227937698,-0.021542029455304146,-0.043191131204366684,-0.007195130456238985
-5.473963737487793,-72.82247161865234,77.02188873291016,-2.189523696899414,0.06474865227937698,-0.021542029455304146,-0.043191131204366684,0.0
-0.2864283323287964,-75.48786926269531,74.35610961914062,-2.475113868713379,0.07194294780492783,-0.014361352659761906,-0.05038965120911598,0.0
5.028408527374268,-77.8359603881836,71.24604034423828,-2.6020426750183105,0.06474865227937698,-0.007180676329880953,-0.05758817121386528,-0.007195130456238985
10.279594421386719,-79.5811538696289,67.75514221191406,-2.6655070781707764,0.05755435675382614,-0.007180676329880953,-0.05758817121386528,0.0
15.339828491210938,-81.38982391357422,64.58159637451172,-2.5385782718658447,0.07194294780492783,-0.007180676329880953,-0.05758817121386528,0.0
20.240934371948242,-82.69078826904297,60.96376037597656,-2.5068459510803223,0.06474865227937698,0.007180676329880953,-0.06478669494390488,0.0
25.14204216003418,-83.64271545410156,57.12377166748047,-2.316452741622925,0.05755435675382614,0.007180676329880953,-0.06478669494390488,0.0
29.820371627807617,-84.68983459472656,53.50593185424805,-2.2847204208374023,0.05755435675382614,0.007180676329880953,-0.07198521494865417,-0.007195130456238985
34.27592468261719,-85.32445526123047,49.85635757446289,-1.9673981666564941,0.05755435675382614,0.021542029455304146,-0.07198521494865417,0.0
38.8587760925293,-85.9273452758789,45.88943099975586,-1.9673981666564941,0.0503600649535656,0.021542029455304146,-0.07198521494865417,-0.007195130456238985
43.40980529785156,-86.08599853515625,41.63688278198242,-1.7770048379898071,0.05755435675382614,0.02872270531952381,-0.07918373495340347,0.0
48.088134765625,-86.18119049072266,37.03524398803711,-1.80873703956604,0.0503600649535656,0.02872270531952381,-0.07918373495340347,0.0
52.70281219482422,-85.7052230834961,31.92584228515625,-1.7770048379898071,0.043165769428014755,0.03590337932109833,-0.07198521494865417,0.0
57.222015380859375,-84.59464263916016,26.40387725830078,-1.7135403156280518,0.043165769428014755,0.04308405891060829,-0.08638226240873337,0.007195130456238985
61.582088470458984,-83.32540893554688,20.723236083984375,-1.7135403156280518,0.043165769428014755,0.03590337932109833,-0.08638226240873337,-0.007195130456238985
65.33748626708984,-81.38982391357422,15.042593002319336,-1.7452725172042847,0.02877717837691307,0.05026473477482796,-0.08638226240873337,0.0
55.85352325439453,-63.715694427490234,9.679306030273438,2.855900526046753,0.4892120361328125,-0.42365989089012146,-0.07198521494865417,0.007195130456238985
53.084716796875,-56.41758346557617,3.3004846572875977,-0.1586611419916153,0.9352583289146423,-0.8473197817802429,-0.06478669494390488,0.043170783668756485
44.109962463378906,-41.18674087524414,-2.8879239559173584,-0.3490545153617859,1.259001612663269,-1.1489081382751465,-0.07198521494865417,0.05036591365933418
49.9658317565918,-42.90020751953125,-8.473359107971191,-2.1260592937469482,1.6115220785140991,-1.4864000082015991,-0.06478669494390488,0.05756104364991188
44.173614501953125,-30.715534210205078,-12.948055267333984,0.9202346205711365,1.9208767414093018,-1.8023496866226196,-0.05758817121386528,0.07195130735635757
57.47661590576172,-40.04442596435547,-15.835979461669922,2.855900526046753,2.266202926635742,-2.1398415565490723,-0.043191131204366684,0.08634156733751297
49.26567077636719,-26.146282196044922,-21.73876953125,2.03086256980896,2.582751750946045,-2.4629719257354736,-0.043191131204366684,0.09353669732809067
48.85194396972656,-22.84626579284668,-26.530818939208984,-0.8885024189949036,2.9208836555480957,-2.778921604156494,-0.043191131204366684,0.10073182731866837
48.40638732910156,-18.562589645385742,-29.513948440551758,0.5711801052093506,3.1942667961120605,-3.0589680671691895,-0.03599260747432709,0.10073182731866837
53.14836883544922,-19.165477752685547,-34.305999755859375,-0.5711801052093506,3.482038736343384,-3.3461952209472656,-0.021595565602183342,0.10792695730924606
53.5302734375,-15.199112892150879,-38.39986801147461,-0.1586611419916153,3.7122561931610107,-3.583157539367676,-0.01439704280346632,0.11512208729982376
61.13653564453125,-18.784706115722656,-43.223655700683594,-1.4914146661758423,3.9928336143493652,-3.863203763961792,-0.01439704280346632,0.11512208729982376
57.635746002197266,-9.455815315246582,-47.82529067993164,0.5711801052093506,4.2374396324157715,-4.114527225494385,-0.01439704280346632,0.12231721729040146
60.245426177978516,-8.154847145080566,-53.28378677368164,-2.0625948905944824,4.453268527984619,-4.315586566925049,-0.00719852140173316,0.11512208729982376
59.92716979980469,-2.5384738445281982,-58.04410171508789,-1.174092411994934,4.625931739807129,-4.502284049987793,0.00719852140173316,0.12951235473155975
