冯大#1线电压_9,冯大#1线电压_10,冯大#1线电压_11,冯大#1线电压_12,冯大#1线_41,冯大#1线_42,冯大#1线_43,冯大#1线_44
15.896610260009766,-83.15696716308594,67.16940307617188,-0.4594230055809021,0.02682499960064888,-0.2230830043554306,0.19975599646568298,0.0008709999965503812
21.1577091217041,-84.38748168945312,62.93893814086914,-0.7008200287818909,0.03633999824523926,-0.23337900638580322,0.18598000705242157,-0.001711999997496605
26.095050811767578,-85.47767639160156,59.02144241333008,-0.778689980506897,0.05277499929070473,-0.2247990071773529,0.1739259958267212,-0.0034340000711381435
30.96763801574707,-86.42754364013672,54.76939392089844,-1.2225489616394043,0.0692100003361702,-0.23166300356388092,0.16015000641345978,-0.004294999875128269
35.921165466308594,-87.16153717041016,50.209774017333984,-1.6819820404052734,0.08132000267505646,-0.23852699995040894,0.15584500133991241,-0.0034340000711381435
41.311771392822266,-88.04664611816406,45.40733337402344,-2.009036064147949,0.10121499747037888,-0.24539099633693695,0.14034700393676758,-0.001711999997496605
46.17356491088867,-87.94410705566406,40.550933837890625,-1.9000179767608643,0.10899999737739563,-0.2496809959411621,0.13345900177955627,-0.0034340000711381435
57.89907455444336,-55.017005920410156,42.277652740478516,72.98756408691406,0.192904993891716,-1.7177189588546753,0.2402230054140091,-1.297516942024231
67.2341537475586,-33.89854431152344,43.87487030029297,132.19212341308594,0.2153950035572052,-2.8597168922424316,0.14723500609397888,-2.5072219371795654
76.15373992919922,-24.615705490112305,40.518558502197266,159.63351440429688,0.19550000131130219,-3.3573570251464844,0.09729699790477753,-3.065150022506714
49.993934631347656,-2.2829198837280273,35.5434455871582,156.2461700439453,1.5725799798965454,-3.7880730628967285,0.05424699932336807,-2.165405035018921
38.58139419555664,-4.603630065917969,26.985389709472656,103.78514862060547,3.082005023956299,-4.332045078277588,0.15928900241851807,-1.077962040901184
26.327077865600586,-7.501819133758545,15.945173263549805,62.405029296875,3.847529888153076,-4.902615070343018,-0.031853001564741135,-1.0831279754638672
0.6690980195999146,8.100908279418945,5.940989017486572,26.92745590209961,4.011014938354492,-5.164305210113525,-0.012911000289022923,-1.1588959693908691
13.311925888061523,1.7432420253753662,-1.8616269826889038,22.434356689453125,4.13470983505249,-5.395965099334717,0.14034700393676758,-1.1218730211257935
10.398085594177246,-0.10253199934959412,-9.67503547668457,2.413980007171631,4.684850215911865,-5.751176834106445,0.07835499942302704,-0.97980797290802
-8.91419792175293,6.945950031280518,-18.001062393188477,-34.75337219238281,4.917534828186035,-5.828396797180176,0.051663998514413834,-0.8635730147361755
-0.8471779823303223,-4.92205286026001,-26.294715881347656,-56.004093170166016,5.141570091247559,-6.040322780609131,-0.07318100333213806,-0.9711980223655701
0.19425000250339508,-9.768559455871582,-29.856075286865234,-68.29197692871094,5.561095237731934,-6.5602707862854,0.088687002658844,-0.9109280109405518
0.5288019776344299,-9.995232582092285,-34.35094451904297,-75.47159576416016,5.825785160064697,-6.754179000854492,-0.03960200026631355,-0.9677540063858032
14.0835542678833,-22.38134765625,-38.82422637939453,-81.3429946899414,6.282505035400391,-7.233800888061523,0.03186099976301193,-0.9247040152549744
20.348310470581055,-20.632720947265625,-40.5941162109375,-70.6358642578125,6.971909999847412,-7.879016876220703,0.06974499672651291,-0.8497970104217529
25.879209518432617,-13.724559783935547,-46.470359802246094,-60.0533332824707,7.550594806671143,-8.26340103149414,0.13432000577449799,-0.5820260047912598
35.656761169433594,-17.097684860229492,-54.332332611083984,-62.45172882080078,8.384454727172852,-8.758466720581055,0.009475000202655792,-0.37538599967956543
29.20314598083496,-5.898910045623779,-56.668800354003906,-57.28894805908203,9.180254936218262,-9.188324928283691,-0.06715399771928787,-0.07661899924278259
22.26388931274414,-5.591280937194824,-62.183509826660156,-78.66426086425781,9.728665351867676,-9.403682708740234,-0.048211999237537384,0.270363986492157
17.69887351989746,-5.731603145599365,-68.9932632446289,-98.90267944335938,10.349735260009766,-9.800079345703125,-0.1153699979186058,0.4227609932422638
-0.016194000840187073,9.460951805114746,-73.27229309082031,-110.97252655029297,10.620479583740234,-9.917625427246094,-0.14378300309181213,0.5450230240821838
2.2986900806427,9.655243873596191,-80.22233581542969,-119.37470245361328,10.65594482421875,-9.773481369018555,-0.17822299897670746,0.6974200010299683
7.041773796081543,11.080052375793457,-84.98161315917969,-116.32219696044922,11.052980422973633,-9.907328605651855,-0.03529699891805649,1.0969239473342896
5.449954032897949,16.433876037597656,-85.34854125976562,-109.67988586425781,11.372164726257324,-9.746025085449219,-0.09040100127458572,1.5145089626312256
13.112274169921875,11.015288352966309,-91.85611724853516,-116.47793579101562,11.680105209350586,-9.567561149597168,-0.0886790007352829,2.0095839500427246
14.67711353302002,9.147926330566406,-93.80406951904297,-120.13782501220703,12.093574523925781,-9.555548667907715,-0.006883999798446894,2.5313498973846436
20.2080135345459,6.141797065734863,-93.72852325439453,-115.3254623413086,12.329719543457031,-9.374510765075684,-0.005162000190466642,2.9394640922546387
27.487218856811523,-2.099421977996826,-92.98927307128906,-115.62136840820312,12.731945037841797,-9.387380599975586,-0.045628998428583145,3.289030075073242
23.24056625366211,2.2451629638671875,-90.96038055419922,-112.02377319335938,13.182609558105469,-9.475754737854004,-0.059404999017715454,3.6282639503479004
19.95979881286621,3.0169339179992676,-91.48918914794922,-117.08531951904297,13.34177017211914,-9.287853240966797,-0.019798999652266502,4.005382061004639
21.02820587158203,-1.554324984550476,-91.78596496582031,-123.42394256591797,13.609919548034668,-9.177170753479004,-0.04993399977684021,4.3652801513671875
