220kV一组母线_A_1,220kV一组母线_B_2,220kV一组母线_C_3,220kV一组母线_N_4,220kV博南II回线285间隔_A_9,220kV博南II回线285间隔_B_10,220kV博南II回线285间隔_C_11,220kV博南II回线285间隔_N_12
15.822813987731934,-80.826171875,64.78184509277344,-0.45547398924827576,0.08975999802350998,-0.27886998653411865,0.19381999969482422,0.0
28.301307678222656,-84.30121612548828,55.087032318115234,-1.6491299867630005,0.133760005235672,-0.28593000769615173,0.1585800051689148,0.0017679999582469463
40.71709442138672,-85.92359924316406,44.598243713378906,-1.0523020029067993,0.17071999609470367,-0.28593000769615173,0.11805400252342224,0.0017679999582469463
52.72529602050781,-85.5258560180664,33.03341293334961,0.42406201362609863,0.20416000485420227,-0.27886998653411865,0.07752799987792969,0.0017679999582469463
62.87321472167969,-81.79960632324219,19.149351119995117,0.37694400548934937,0.2340800017118454,-0.26475000381469727,0.03523999825119972,0.0017679999582469463
71.28627014160156,-77.26739501953125,5.599592208862305,-0.6439459919929504,0.25519999861717224,-0.2435699999332428,-0.012334000319242477,0.0017679999582469463
77.56732177734375,-70.18123626708984,-7.636756896972656,-0.439767986536026,0.2710399925708771,-0.21533000469207764,-0.054621998220682144,0.0035359999164938927
81.72682189941406,-61.44129180908203,-19.77617073059082,0.8952419757843018,0.2815999984741211,-0.1800300031900406,-0.0951479971408844,0.005303999874740839
84.68445587158203,-51.6441764831543,-32.176761627197266,1.4606579542160034,0.28863999247550964,-0.1464949995279312,-0.13743600249290466,0.0017679999582469463
85.18610382080078,-40.15141296386719,-44.901206970214844,0.14135399460792542,0.2868799865245819,-0.1023700013756752,-0.1744379997253418,0.005303999874740839
84.43363189697266,-28.417905807495117,-56.727210998535156,-1.3193039894104004,0.27456000447273254,-0.06001000106334686,-0.20439200103282928,0.008840000256896019
80.60856628417969,-14.988743782043457,-66.38024139404297,-1.413540005683899,0.26047998666763306,-0.014120000414550304,-0.23082199692726135,0.015912000089883804
73.85721588134766,-1.8945269584655762,-73.99610137939453,-3.549556016921997,0.23583999276161194,0.04059499874711037,-0.2502039968967438,0.026520000770688057
35.05265426635742,19.039472579956055,-82.59397888183594,-48.814247131347656,0.7321599721908569,-0.038830000907182693,-0.27663400769233704,0.408407986164093
26.16930389404297,20.567655563354492,-112.30525207519531,-117.08822631835938,0.6371200084686279,0.20121000707149506,0.05990799888968468,0.8946080207824707
37.6131477355957,17.354286193847656,-94.1379165649414,-68.3053970336914,1.172160029411316,0.23827500641345978,-0.18324799835681915,1.2252240180969238
23.786476135253906,31.317264556884766,-88.036865234375,-54.31134796142578,1.1492799520492554,0.36888501048088074,-0.2396319955587387,1.2800320386886597
-11.036255836486816,23.95896339416504,-88.25625610351562,-129.90432739257812,1.1334400177001953,0.6777600049972534,-0.29072999954223633,1.5257840156555176
10.043411254882812,36.969444274902344,-78.91664123535156,-54.546939849853516,1.165120005607605,0.9778100252151489,-0.10219600051641464,2.0473439693450928
6.9603657722473145,34.76090621948242,-65.21017456054688,-38.6524658203125,1.04367995262146,1.3219850063323975,-0.2572520077228546,2.114527940750122
0.9301390051841736,25.539480209350586,-69.59791564941406,-74.52497100830078,0.6617599725723267,1.7314649820327759,-0.05285999923944473,2.3496720790863037
0.2508240044116974,33.169921875,-60.59260177612305,-47.227943420410156,0.49807998538017273,2.133884906768799,0.054621998220682144,2.6891279220581055
-6.949914932250977,20.60952377319336,-47.74279022216797,-59.510032653808594,0.16896000504493713,2.5239500999450684,0.010572000406682491,2.710344076156616
-9.144624710083008,29.684412002563477,-31.50815200805664,-19.06708335876465,-0.32736000418663025,3.016385078430176,0.06871800124645233,2.7527759075164795
-10.44054889678955,31.463802337646484,-11.575276374816895,16.47559356689453,-0.6600000262260437,3.44881010055542,0.04405000060796738,2.8287999629974365
-19.35525131225586,23.875226974487305,-6.9472551345825195,-4.303443908691406,-1.1123199462890625,3.778865098953247,0.13919800519943237,2.795207977294922
-20.421253204345703,15.794702529907227,7.156195163726807,4.303443908691406,-1.598080039024353,4.161870002746582,0.13391199707984924,2.68559193611145
-21.131921768188477,25.40340805053711,22.13719367980957,45.97146224975586,-2.068000078201294,4.454860210418701,0.2537280023097992,2.6272480487823486
-21.246883392333984,18.568458557128906,35.279518127441406,56.65154266357422,-2.4992001056671143,4.733729839324951,0.21848799288272858,2.4345359802246094
-24.131359100341797,8.970218658447266,52.381256103515625,64.7087173461914,-2.9884800910949707,4.903170108795166,0.29777801036834717,2.1852478981018066
-26.51418685913086,5.024159908294678,61.86713409423828,70.15869903564453,-3.366879940032959,5.06025505065918,0.27663400769233704,1.9377280473709106
-26.86952018737793,0.2826089859008789,74.54978942871094,83.2889175415039,-3.7188799381256104,5.079669952392578,0.2995400130748749,1.6230239868164062
-22.14566993713379,-4.301937103271484,80.82843780517578,94.34593963623047,-4.028639793395996,5.054959774017334,0.2854439914226532,1.2694239616394043
-19.38660430908203,-7.933986186981201,88.60100555419922,106.34532928466797,-4.29088020324707,4.97906494140625,0.2995400130748749,0.9476479887962341
-22.260629653930664,-12.581334114074707,90.1158218383789,95.86942291259766,-4.44927978515625,4.7937397956848145,0.2819199860095978,0.5781360268592834
-19.84644889831543,-18.10791015625,91.21275329589844,92.35128021240234,-4.560160160064697,4.528989791870117,0.2836819887161255,0.2033199965953827
-14.32832145690918,-18.10791015625,93.32305145263672,105.62284851074219,-4.554880142211914,4.21305513381958,0.24844199419021606,-0.14320799708366394
-13.554946899414062,-20.148975372314453,92.37237548828125,101.7277603149414,-4.507359981536865,3.844170093536377,0.22729800641536713,-0.48796799778938293
