21-220kV七花Ⅱ回线电压Ua_21,22-220kV七花Ⅱ回线电压Ub_22,23-220kV七花Ⅱ回线电压Uc_23,24-220kV七花Ⅱ回线电压3Uo_24,25-220kV七花Ⅱ回线路电流Ia_25,26-220kV七花Ⅱ回线路电流Ib_26,27-220kV七花Ⅱ回线路电流Ic_27,28-220kV七花Ⅱ回线路电流3Io_28
33.14023971557617,-84.76762390136719,50.66256332397461,-1.5585049390792847,0.08634073287248611,-0.08650366961956024,0.0,0.0
38.00632095336914,-84.70398712158203,47.03699493408203,0.6043182611465454,0.09353579580783844,-0.08650366961956024,-0.007196829654276371,0.0
42.936012268066406,-84.76762390136719,43.15699768066406,2.32185435295105,0.09353579580783844,-0.0720863863825798,-0.014393659308552742,0.0
47.67487335205078,-84.16304779052734,38.70454406738281,3.912165403366089,0.09353579580783844,-0.06487774848937988,-0.028787318617105484,0.0
52.41373825073242,-83.65393829345703,33.806846618652344,4.516483783721924,0.10073085874319077,-0.06487774848937988,-0.03598414734005928,0.0
56.89816665649414,-82.95390319824219,28.718326568603516,4.611902236938477,0.10073085874319077,-0.05766911059617996,-0.043180979788303375,0.0
50.47366714477539,-69.39871978759766,24.01144790649414,8.428648948669434,0.4676789939403534,-0.418101042509079,-0.05037780851125717,-0.014384791254997253
49.13787841796875,-63.63935852050781,17.87342071533203,5.7251200675964355,0.9425530433654785,-0.9227057695388794,-0.05037780851125717,-0.028769582509994507
43.50849151611328,-51.51605987548828,11.767199516296387,6.80653190612793,1.4462072849273682,-1.4273104667663574,-0.07916513085365295,-0.057539165019989014
47.992919921875,-54.029815673828125,5.819993019104004,-0.44528713822364807,1.7771801948547363,-1.744490623474121,-0.08636195957660675,-0.057539165019989014
47.388633728027344,-46.87038803100586,-0.1590162068605423,0.7315431237220764,2.1944937705993652,-2.177008867263794,-0.10075561702251434,-0.07192395627498627
55.59418487548828,-49.06594467163086,-5.056715488433838,2.4808855056762695,2.5830271244049072,-2.573484182357788,-0.10075561702251434,-0.10069353878498077
58.42477798461914,-48.97048568725586,-10.177037239074707,-1.2086365222930908,2.985950469970703,-2.969959259033203,-0.11514927446842194,-0.09350114315748215
53.33606719970703,-36.24261474609375,-16.53768539428711,1.145024061203003,3.410459041595459,-3.3952689170837402,-0.14393658936023712,-0.11507833003997803
55.94403076171875,-35.86077880859375,-20.417680740356445,-0.5725120306015015,3.784602165222168,-3.777326822280884,-0.13673976063728333,-0.12946312129497528
53.24065399169922,-28.096776962280273,-24.933740615844727,0.2544497847557068,4.137160301208496,-4.108924388885498,-0.1511334329843521,-0.12227072566747665
55.72140121459961,-24.97844886779785,-29.577014923095703,2.0037920475006104,4.482522964477539,-4.469356060028076,-0.1655270904302597,-0.14384791254997253
55.24433517456055,-20.173677444458008,-32.97996139526367,3.4986846446990967,4.770325660705566,-4.772119045257568,-0.1583302617073059,-0.14384791254997253
60.55567932128906,-20.969167709350586,-38.100284576416016,2.32185435295105,5.086908340454102,-5.074881553649902,-0.1727239191532135,-0.15104030072689056
58.1385383605957,-14.350675582885742,-41.69404983520508,3.403265953063965,5.403491020202637,-5.384853363037109,-0.1799207478761673,-0.15104030072689056
62.08229064941406,-13.459724426269531,-47.13240432739258,2.226435661315918,5.648123264312744,-5.629947185516357,-0.1799207478761673,-0.15104030072689056
63.95875549316406,-10.850510597229004,-51.01239776611328,3.371459722518921,5.8999505043029785,-5.911083698272705,-0.1727239191532135,-0.1582327038049698
61.82785415649414,-3.722902536392212,-55.49665451049805,4.103003025054932,6.122997283935547,-6.112926006317139,-0.1799207478761673,-0.16542509198188782
65.00830078125,-3.245607376098633,-60.55337142944336,1.7493423223495483,6.338849067687988,-6.321976184844971,-0.1799207478761673,-0.15104030072689056
61.06454849243164,4.422935485839844,-64.5923843383789,1.145024061203003,6.518725395202637,-6.5166096687316895,-0.1871175765991211,-0.16542509198188782
63.354469299316406,5.695722579956055,-68.9176254272461,-0.03180622309446335,6.677016735076904,-6.675199508666992,-0.1727239191532135,-0.1582327038049698
59.21989059448242,12.823330879211426,-72.03433990478516,-0.34986844658851624,6.835308074951172,-6.833789825439453,-0.1655270904302597,-0.15104030072689056
58.74282455444336,16.832611083984375,-75.59630584716797,-0.3816746771335602,6.957624435424805,-6.963545322418213,-0.1799207478761673,-0.1582327038049698
55.753204345703125,21.414644241333008,-77.56810760498047,-1.0177991390228271,7.072745323181152,-7.0644659996032715,-0.1727239191532135,-0.15104030072689056
52.28651809692383,26.98308753967285,-80.08055877685547,-1.7493423223495483,7.159086227416992,-7.150969982147217,-0.1655270904302597,-0.15104030072689056
50.5690803527832,30.133235931396484,-81.4480972290039,-1.5903111696243286,7.202256202697754,-7.194221496582031,-0.1655270904302597,-0.14384791254997253
48.05652618408203,34.015235900878906,-82.46580505371094,-0.9223805069923401,7.223841667175293,-7.215847492218018,-0.1583302617073059,-0.14384791254997253
47.1660041809082,36.30625534057617,-83.83334350585938,-0.7951555848121643,7.23103666305542,-7.223056316375732,-0.1511334329843521,-0.12946312129497528
43.699317932128906,40.12461471557617,-83.92875671386719,-0.47709333896636963,7.216646671295166,-7.201430320739746,-0.1511334329843521,-0.12227072566747665
43.699317932128906,40.951927185058594,-84.81924438476562,-0.47709333896636963,7.180671215057373,-7.165387153625488,-0.1511334329843521,-0.12227072566747665
39.08767318725586,44.929386138916016,-84.34219360351562,-0.7951555848121643,7.115915775299072,-7.086091995239258,-0.14393658936023712,-0.1078859344124794
