龙厂甲线电压_A相_1,龙厂甲线电压_B相_2,龙厂甲线电压_C相_3,龙厂甲线电压_3U0_4,龙厂甲线电流_A相_9,龙厂甲线电流_B相_10,龙厂甲线电流_C相_11,龙厂甲线电流_3I0_12
83.98406982421875,-63.84303665161133,-19.64588737487793,0.669914186000824,0.2810361385345459,-0.19413530826568604,-0.06463582813739777,0.0057019381783902645
87.32416534423828,-45.99489212036133,-41.14398193359375,0.21811158955097198,0.2848339080810547,-0.131326824426651,-0.13497480750083923,0.003801292274147272
84.6646499633789,-24.887434005737305,-59.68687057495117,0.26484978199005127,0.2772383391857147,-0.05900190770626068,-0.1939074844121933,0.001900646137073636
76.8641128540039,-2.530395984649658,-74.47331237792969,0.09347639977931976,0.25255274772644043,0.013323011808097363,-0.23953276872634888,0.003801292274147272
63.608428955078125,19.837055206298828,-83.8280029296875,-0.26484978199005127,0.20508041977882385,0.08564793318510056,-0.25474119186401367,0.003801292274147272
45.59912872314453,41.21525573730469,-87.27227783203125,-0.4050644040107727,0.13292250037193298,0.15416628122329712,-0.26994961500167847,0.0
24.480083465576172,59.96934509277344,-84.80613708496094,-0.3427467942237854,0.0645623579621315,0.21697476506233215,-0.25854331254959106,0.003801292274147272
2.1150457859039307,74.90180206298828,-77.18919372558594,-0.031158799305558205,-0.011393357068300247,0.25694379210472107,-0.23763170838356018,0.001900646137073636
-20.22905158996582,84.30487823486328,-63.82832336425781,0.6075965762138367,-0.07785460352897644,0.28358981013298035,-0.1901053637266159,0.007602584548294544
-41.46327209472656,87.67874145507812,-46.128292083740234,0.3583261966705322,-0.14241695404052734,0.2950095534324646,-0.12546955049037933,0.0057019381783902645
-60.205509185791016,85.09628295898438,-24.97358512878418,0.15579399466514587,-0.20887820422649384,0.28358981013298035,-0.05513055622577667,0.011403876356780529
-74.93753814697266,77.22393798828125,-2.455735921859741,-0.07789699733257294,-0.24495716392993927,0.262653648853302,0.015208429656922817,0.013304522261023521
-84.03642272949219,63.65559768676758,19.906028747558594,-0.5920171737670898,-0.2620472013950348,0.21126490831375122,0.07794319838285446,0.007602584548294544
-87.30322265625,45.880348205566406,41.33128356933594,-0.06231759861111641,-0.27344056963920593,0.1465531289577484,0.14828218519687653,0.015205169096589088
-84.57041931152344,24.710411071777344,59.74930191040039,-0.18695279955863953,-0.2601483166217804,0.07613149285316467,0.2091159075498581,0.013304522261023521
-76.74893951416016,2.467916965484619,74.46290588378906,0.12463519722223282,-0.2354627102613449,0.003806574735790491,0.25854331254959106,0.019006460905075073
-63.52466583251953,-19.95159912109375,83.79678344726562,0.42064380645751953,-0.18229371309280396,-0.06280848383903503,0.27565279603004456,0.009503230452537537
-45.45254135131836,-41.35062789916992,87.1161880493164,0.4518025815486908,-0.11583246290683746,-0.13703669607639313,0.27945488691329956,0.015205169096589088
-24.34396743774414,-60.094303131103516,84.6916732788086,0.5608583688735962,-0.043674536049366,-0.1979418843984604,0.27375173568725586,0.011403876356780529
-1.957987904548645,-75.11006927490234,76.9810791015625,0.07789699733257294,0.020887820050120354,-0.24362078309059143,0.25093910098075867,0.013304522261023521
20.39657974243164,-84.38818359375,63.630615234375,-0.4050644040107727,0.09304574877023697,-0.2607503831386566,0.2053138017654419,0.009503230452537537
41.56797790527344,-87.86618041992188,46.013832092285156,-0.26484978199005127,0.16330477595329285,-0.27597668766975403,0.13687586784362793,0.0057019381783902645
60.34162521362305,-85.14834594726562,24.848716735839844,-0.07789699733257294,0.22596824169158936,-0.26646023988723755,0.06843793392181396,0.0057019381783902645
75.03176879882812,-77.24476623535156,2.46614146232605,0.24927039444446564,0.2620472013950348,-0.24362078309059143,0.0019010537071153522,0.003801292274147272
84.12018585205078,-63.64518737792969,-20.020490646362305,0.6543347835540771,0.2791372537612915,-0.1960386037826538,-0.06463582813739777,0.003801292274147272
87.29275512695312,-45.70332336425781,-41.414527893066406,0.2804291844367981,0.2829350233078003,-0.12942354381084442,-0.13497480750083923,0.0057019381783902645
84.62277221679688,-24.585453033447266,-59.93660354614258,0.24927039444446564,0.2791372537612915,-0.05329204723238945,-0.1882043182849884,0.007602584548294544
76.69658660888672,-2.165935754776001,-74.66061401367188,0.07789699733257294,0.25255274772644043,0.009516436606645584,-0.24143381416797638,0.0
63.409488677978516,20.149450302124023,-83.9216537475586,-0.2804291844367981,0.20318153500556946,0.0818413570523262,-0.25854331254959106,0.001900646137073636
45.358306884765625,41.54847717285156,-87.35552215576172,-0.4050644040107727,0.1272258162498474,0.15416628122329712,-0.26804858446121216,0.003801292274147272
24.186908721923828,60.21925735473633,-84.75410461425781,-0.37390559911727905,0.05886567756533623,0.21507146954536438,-0.25854331254959106,0.001900646137073636
1.8114005327224731,75.06841278076172,-77.05391693115234,-0.015579399652779102,-0.011393357068300247,0.2607503831386566,-0.23382960259914398,0.007602584548294544
-20.543167114257812,84.37776947021484,-63.588993072509766,0.6231759786605835,-0.07785460352897644,0.2778799533843994,-0.1939074844121933,0.003801292274147272
-41.76691818237305,87.67874145507812,-45.84733963012695,0.3427467942237854,-0.14431585371494293,0.29120296239852905,-0.12166743725538254,0.0057019381783902645
-60.5091552734375,85.03379821777344,-24.619792938232422,0.14021459221839905,-0.21267598867416382,0.2854931056499481,-0.05513055622577667,0.007602584548294544
-75.07365417480469,77.0364990234375,-2.1539716720581055,-0.10905579477548599,-0.24685606360435486,0.2607503831386566,0.013307375833392143,0.013304522261023521
-84.14112854003906,63.426509857177734,20.218198776245117,-0.5920171737670898,-0.26584500074386597,0.21126490831375122,0.07794319838285446,0.009503230452537537
