1-七松二回电压Ua_1,2-七松二回电压Ub_2,3-七松二回电压Uc_3,4-七松二回电压3Uo_4,9-七松二回电流Ia_9,10-七松二回电流Ib_10,11-七松二回电流Ic_11,12-七松二回电流3Io_12
-63.614219665527344,79.07839965820312,-15.406139373779297,0.06339596211910248,-0.10639730840921402,0.08505618572235107,0.028364714235067368,0.0
-67.23841857910156,77.42961120605469,-10.20736026763916,0.0,-0.11349046230316162,0.07796817272901535,0.0425470732152462,0.007100301794707775
-70.51290893554688,75.59058380126953,-5.10368013381958,-0.12679192423820496,-0.10639730840921402,0.08505618572235107,0.0425470732152462,0.007100301794707775
-73.46949768066406,73.4344711303711,-0.12679950892925262,-0.2535838484764099,-0.11349046230316162,0.07088015228509903,0.0425470732152462,0.007100301794707775
-53.8861083984375,46.03923034667969,5.420678615570068,-6.244502067565918,-0.5887317657470703,0.5316011905670166,0.07091178745031357,0.02130090445280075
-47.84577560424805,36.49528503417969,10.112260818481445,-1.5215030908584595,-1.2271156311035156,1.1482585668563843,0.11345885694026947,0.0284012071788311
-36.24198532104492,23.114736557006836,15.025741577148438,4.659603118896484,-1.6030527353286743,1.5097472667694092,0.13473239541053772,0.0426018089056015
-38.944236755371094,20.673263549804688,19.27352523803711,3.011308193206787,-1.9293378591537476,1.8357959985733032,0.14891475439071655,0.0568024143576622
-35.03391647338867,10.082971572875977,24.123605728149414,-0.475469708442688,-2.191784620285034,2.083876609802246,0.1701882928609848,0.0568024143576622
-35.98765563964844,5.643927574157715,27.86419105529785,-3.993945598602295,-2.5464422702789307,2.4311892986297607,0.19146181643009186,0.06390271335840225
-34.970333099365234,1.331713318824768,33.094669342041016,-0.34867778420448303,-3.014590263366699,2.8706462383270264,0.2127353549003601,0.0710030198097229
-22.285640716552734,-13.570792198181152,37.405853271484375,3.962247610092163,-3.369248151779175,3.2250471115112305,0.22691771388053894,0.085203617811203
-25.750883102416992,-13.09518051147461,41.938934326171875,6.719971656799316,-3.5891358852386475,3.4447755813598633,0.24110007286071777,0.085203617811203
-29.53403663635254,-15.092750549316406,46.12331771850586,3.8354556560516357,-3.8657689094543457,3.7141201496124268,0.26237359642982483,0.0994042232632637
-31.091806411743164,-20.13423728942871,49.57860565185547,-2.060368776321411,-4.177867412567139,4.0047287940979,0.27655595541000366,0.10650452226400375
-36.36914825439453,-19.151304244995117,54.93588638305664,-0.44377171993255615,-4.426127910614014,4.252809524536133,0.2907383143901825,0.10650452226400375
-36.55989456176758,-23.336688995361328,59.08856964111328,-0.6656575798988342,-4.695667743682861,4.515066146850586,0.30492067337036133,0.1136048287153244
-38.72169876098633,-24.922061920166016,63.653350830078125,0.8241474628448486,-4.8588104248046875,4.6780900955200195,0.31201186776161194,0.1136048287153244
-45.90651321411133,-21.40253448486328,66.79164123535156,-0.09509394317865372,-4.951021194458008,4.756058692932129,0.32619422674179077,0.1136048287153244
-52.26475524902344,-19.087890625,69.61293029785156,-2.1871607303619385,-5.1212568283081055,4.933259010314941,0.32619422674179077,0.1278054267168045
-56.047908782958984,-19.626916885375977,73.60710906982422,-3.043006181716919,-5.27730655670166,5.075019359588623,0.3403765857219696,0.12070512771606445
-55.69820785522461,-22.670833587646484,76.2698974609375,-3.074704170227051,-5.383703708648682,5.181339263916016,0.3403765857219696,0.12070512771606445
-56.65194320678711,-23.97083854675293,79.43988800048828,-1.4898051023483276,-5.47591495513916,5.266395568847656,0.35455894470214844,0.1278054267168045
-54.712677001953125,-27.331829071044922,82.00757598876953,0.44377171993255615,-5.497194290161133,5.294747829437256,0.3474677503108978,0.1278054267168045
-53.631778717041016,-29.836719512939453,83.21217346191406,-0.03169798105955124,-5.5184736251831055,5.316011905670166,0.3474677503108978,0.1278054267168045
-52.773414611816406,-31.7708740234375,84.06806945800781,-0.38037577271461487,-5.546846389770508,5.344363689422607,0.3403765857219696,0.12070512771606445
-46.22442626953125,-38.52456283569336,84.51187133789062,-0.19018788635730743,-5.546846389770508,5.358539581298828,0.3474677503108978,0.12070512771606445
-40.97887420654297,-43.21726608276367,84.89226531982422,1.4581071138381958,-5.5184736251831055,5.316011905670166,0.3403765857219696,0.1136048287153244
-36.5916862487793,-47.05386734008789,85.0190658569336,2.5358383655548096,-5.426262855529785,5.230955600738525,0.333285391330719,0.1136048287153244
-31.536884307861328,-51.8734016418457,84.79716491699219,2.630932331085205,-5.3198652267456055,5.131723403930664,0.32619422674179077,0.1136048287153244
-29.820158004760742,-52.76121139526367,83.9095687866211,2.3773484230041504,-5.17800235748291,4.989963054656982,0.31910303235054016,0.10650452226400375
-27.054323196411133,-54.314876556396484,82.60987854003906,2.2188587188720703,-5.050325393676758,4.869466781616211,0.31201186776161194,0.0994042232632637
-24.860729217529297,-55.42463684082031,81.0882797241211,1.426409125328064,-4.9084625244140625,4.734794616699219,0.2978295087814331,0.09230392426252365
-24.28848648071289,-54.63195037841797,79.12288665771484,0.19018788635730743,-4.716947078704834,4.550506114959717,0.2836471498012543,0.085203617811203
-24.034156799316406,-53.52219009399414,76.90390014648438,-1.3947111368179321,-4.525432109832764,4.373305797576904,0.26946479082107544,0.085203617811203
-24.98789405822754,-50.985591888427734,75.12870788574219,-1.711690902709961,-4.319730758666992,4.174841403961182,0.2552824318408966,0.07810331881046295
-25.242223739624023,-48.95631790161133,73.03651428222656,-2.3139524459838867,-4.09274959564209,3.9480247497558594,0.24110007286071777,0.0710030198097229
-26.29133415222168,-45.88069152832031,70.62732696533203,-3.011308193206787,-3.844489336013794,3.721208095550537,0.22691771388053894,0.06390271335840225
