500kV仁铜甲线_A_5,500kV仁铜甲线_B_6,500kV仁铜甲线_C_7,500kV仁铜甲线_N_8,500kV仁铜甲线保护电流Ia_53,500kV仁铜甲线保护电流Ib_54,500kV仁铜甲线保护电流Ic_55,500kV仁铜甲线保护自产零序电流3I0_56
-83.14886474609375,18.443294525146484,63.929447174072266,0.015752000734210014,0.2509920001029968,-0.006943999789655209,-0.23316000401973724,-0.003488000016659498
-71.2344970703125,-9.21639347076416,80.49947357177734,0.015752000734210014,0.19521600008010864,0.07464800029993057,-0.26100000739097595,-0.003488000016659498
-52.47146224975586,-34.62715530395508,87.65637969970703,0.015752000734210014,0.1220100000500679,0.1666560024023056,-0.2818799912929535,-0.001744000008329749
-27.16391944885254,-58.17782211303711,85.7884521484375,0.03150400146842003,0.04183200001716614,0.21873599290847778,-0.26100000739097595,-0.003488000016659498
0.23073600232601166,-76.98893737792969,76.49076843261719,0.015752000734210014,-0.04531800001859665,0.2621360123157501,-0.2175000011920929,-0.003488000016659498
27.24782371520996,-86.99349975585938,59.56394577026367,0.015752000734210014,-0.13246800005435944,0.2847039997577667,-0.14963999390602112,-0.001744000008329749
51.37022399902344,-88.14949035644531,36.69751739501953,0.047256000339984894,-0.2004449963569641,0.2725520133972168,-0.06611999869346619,0.001744000008329749
71.05619812011719,-80.53046417236328,9.507563591003418,0.015752000734210014,-0.2509920001029968,0.23956799507141113,0.017400000244379044,0.003488000016659498
84.48084259033203,-65.85990142822266,-18.280548095703125,0.015752000734210014,-0.26667898893356323,0.1701280027627945,0.09917999804019928,0.005231999792158604
88.25652313232422,-44.96800994873047,-42.658111572265625,0.0,-0.2788800001144409,0.09548000246286392,0.1826999932527542,0.005231999792158604
83.09642028808594,-18.1595516204834,-64.14981842041016,0.015752000734210014,-0.24576300382614136,0.006943999789655209,0.23837999999523163,0.005231999792158604
71.14010620117188,9.521154403686523,-80.56243896484375,0.03150400146842003,-0.18824400007724762,-0.07291200011968613,0.26273998618125916,0.006976000033318996
52.32463073730469,34.900390625,-87.63539123535156,0.0,-0.11678099632263184,-0.16492000222206116,0.28883999586105347,0.006976000033318996
26.90172004699707,58.440547943115234,-85.73597717285156,0.03150400146842003,-0.034860000014305115,-0.21699999272823334,0.26273998618125916,0.005231999792158604
-0.45098400115966797,77.11504364013672,-76.2913818359375,0.047256000339984894,0.050547000020742416,-0.25866401195526123,0.2175000011920929,0.005231999792158604
-27.415632247924805,87.08808135986328,-59.343570709228516,0.047256000339984894,0.1376969963312149,-0.28123199939727783,0.14963999390602112,0.005231999792158604
-51.548519134521484,88.11796569824219,-36.4351692199707,0.03150400146842003,0.20218800008296967,-0.265608012676239,0.06960000097751617,0.001744000008329749
-71.2344970703125,80.42537689208984,-9.182250022888184,0.03150400146842003,0.25447800755500793,-0.23609599471092224,-0.01565999910235405,0.001744000008329749
-84.5123062133789,65.75481414794922,18.55339241027832,0.047256000339984894,0.2719079852104187,-0.1631840020418167,-0.09917999804019928,-0.001744000008329749
-88.22505950927734,44.81037521362305,42.86798858642578,0.015752000734210014,0.2788800001144409,-0.09200800210237503,-0.17922000586986542,-0.001744000008329749
-82.9810562133789,17.97039031982422,64.24427032470703,0.03150400146842003,0.2509920001029968,-0.00520800007507205,-0.23489999771118164,-0.001744000008329749
-70.93034362792969,-9.699807167053223,80.69886016845703,0.03150400146842003,0.19172999262809753,0.07812000066041946,-0.26100000739097595,-0.001744000008329749
-52.10438537597656,-35.06853485107422,87.7403335571289,0.03150400146842003,0.11852400004863739,0.1666560024023056,-0.2836199998855591,-0.003488000016659498
-26.66049575805664,-58.598182678222656,85.69400024414062,0.03150400146842003,0.04008900001645088,0.21873599290847778,-0.26100000739097595,-0.001744000008329749
0.7341600060462952,-77.30420684814453,76.27039337158203,0.015752000734210014,-0.047061000019311905,0.2621360123157501,-0.2140199989080429,-0.001744000008329749
27.68832015991211,-87.07757568359375,59.207149505615234,0.015752000734210014,-0.13595399260520935,0.2847039997577667,-0.14790000021457672,-0.001744000008329749
51.768768310546875,-88.04440307617188,36.20429992675781,0.015752000734210014,-0.19870199263095856,0.2725520133972168,-0.06611999869346619,0.001744000008329749
71.40230560302734,-80.33079528808594,8.961875915527344,0.03150400146842003,-0.2509920001029968,0.2378319948911667,0.019139999523758888,0.003488000016659498
84.62767028808594,-65.52361297607422,-18.742284774780273,0.015752000734210014,-0.26667898893356323,0.16839200258255005,0.10091999918222427,0.005231999792158604
57.74692916870117,-13.220321655273438,-41.881553649902344,0.03150400146842003,0.36428698897361755,-0.5503119826316833,0.19314000010490417,0.010463999584317207
63.44191360473633,2.490633010864258,-65.37761688232422,0.015752000734210014,0.9011309742927551,-1.1509679555892944,0.254040002822876,0.003488000016659498
49.975318908691406,30.349992752075195,-79.78588104248047,0.03150400146842003,1.2532169818878174,-1.5190000534057617,0.2801400125026703,0.015696000307798386
52.922447204589844,35.341766357421875,-88.78973388671875,0.047256000339984894,1.397886037826538,-1.6839200258255005,0.3010199964046478,0.006976000033318996
35.386512756347656,53.40673828125,-88.41194915771484,0.015752000734210014,1.2201000452041626,-1.492959976196289,0.2784000039100647,0.001744000008329749
10.72922420501709,65.55514526367188,-74.3814697265625,0.047256000339984894,0.9429630041122437,-1.1804800033569336,0.22968000173568726,-0.006976000033318996
4.8559441566467285,54.39458465576172,-60.12012481689453,0.03150400146842003,0.48281100392341614,-0.6405839920043945,0.15834000706672668,0.005231999792158604
