17-七常线电压Ua_17,18-七常线电压Ub_18,19-七常线电压Uc_19,20-七常线电压3Uo_20,9-七松二回电流Ia_9,10-七松二回电流Ib_10,11-七松二回电流Ic_11,12-七松二回电流3Io_12
-74.77074432373047,3.6058461666107178,70.96033477783203,-0.3796970248222351,0.007093153893947601,0.0,0.0,0.0
-72.54826354980469,-1.5498813390731812,74.06208038330078,-0.06328283995389938,0.0,-0.007088015787303448,0.0,0.0
-69.88127899169922,-6.610718250274658,76.5941162109375,0.25313135981559753,0.0,0.007088015787303448,-0.007091178558766842,0.0
-66.86505126953125,-11.766446113586426,78.93624877929688,0.6011869311332703,-0.007093153893947601,0.0,0.007091178558766842,-0.007100301794707775
-63.40432357788086,-16.98543357849121,80.8985824584961,0.9176011085510254,-0.007093153893947601,0.007088015787303448,0.0,0.0
-59.53084945678711,-21.983009338378906,82.16459655761719,1.2340153455734253,0.0,0.007088015787303448,0.0,0.0
-55.33987808227539,-26.917325973510742,83.08246612548828,1.4555052518844604,0.0,0.0,0.0,0.0
-50.926658630371094,-31.725120544433594,83.55722045898438,1.5504294633865356,0.0,0.014176031574606895,0.0,-0.007100301794707775
-46.38644027709961,-36.438026428222656,83.74712371826172,1.5820709466934204,0.0,0.0,0.0,0.0
-41.782718658447266,-41.087669372558594,83.74712371826172,1.4871466159820557,0.0,0.0,0.0,0.0
-37.0202522277832,-45.768943786621094,83.46226501464844,1.2340153455734253,0.0,0.007088015787303448,0.0,0.0
-32.09903335571289,-50.450218200683594,82.98751068115234,0.8543183207511902,0.0,0.007088015787303448,0.0,0.0
-27.050817489624023,-54.751930236816406,82.1012954711914,0.6011869311332703,0.0,0.007088015787303448,0.0,0.0
-22.002601623535156,-58.990379333496094,81.08848571777344,0.22148993611335754,0.0,0.0,0.0,0.0
-16.922636032104492,-62.880897521972656,79.82246398925781,0.0,0.0,0.0,0.0,0.0
-11.874420166015625,-66.4234848022461,78.17664337158203,-0.15820708870887756,0.0,0.007088015787303448,0.0,0.0
-6.762704372406006,-69.74465942382812,76.34091186523438,-0.18984851241111755,0.0,0.0,0.0,0.0
-1.7144885063171387,-72.68627166748047,74.2203369140625,-0.22148993611335754,0.0,0.0,0.0,0.0
3.460726737976074,-75.53298950195312,71.90985107421875,-0.22148993611335754,0.0,0.007088015787303448,0.0,-0.007100301794707775
8.731191635131836,-78.0001449584961,69.1246109008789,-0.25313135981559753,-0.007093153893947601,0.007088015787303448,0.0,0.0
13.90640640258789,-80.05611419677734,65.9912109375,-0.18984851241111755,0.0,0.007088015787303448,0.0,0.0
19.14512062072754,-81.76414489746094,62.50966262817383,-0.22148993611335754,0.0,0.0,0.0,0.0
24.161588668823242,-82.8395767211914,58.458404541015625,-0.3796970248222351,0.0,0.0,0.0,0.0
28.892305374145508,-83.5038070678711,54.28054428100586,-0.5379041433334351,0.007093153893947601,0.007088015787303448,0.007091178558766842,-0.007100301794707775
33.623023986816406,-83.91500091552734,49.78617858886719,-0.7277526259422302,0.0,0.007088015787303448,0.0,0.0
38.0997428894043,-83.91500091552734,45.260162353515625,-0.8859597444534302,0.0,0.0,0.0,-0.007100301794707775
42.70346450805664,-83.88336944580078,40.57589340209961,-0.9492425322532654,0.0,0.0,0.0,-0.007100301794707775
47.18018341064453,-83.47217559814453,35.73337173461914,-0.9808839559555054,0.0,0.0,0.0,0.007100301794707775
51.529903411865234,-82.90283203125,30.764249801635742,-0.9808839559555054,0.0,0.0,-0.007091178558766842,0.0
55.84787368774414,-82.0171890258789,25.605224609375,-0.8543183207511902,0.007093153893947601,0.007088015787303448,0.0,0.0
59.81659698486328,-80.78360748291016,20.509498596191406,-0.7593940496444702,-0.007093153893947601,0.0,0.0,0.0
63.563072204589844,-79.36024475097656,15.445425033569336,-0.5379041433334351,0.0,0.0,0.0,-0.007100301794707775
67.0873031616211,-77.55732727050781,10.286399841308594,-0.28477275371551514,-0.007093153893947601,0.0,0.0,0.0
70.23052978515625,-75.62788391113281,5.317277431488037,-0.09492425620555878,0.0,0.007088015787303448,0.0,0.0
73.21501159667969,-73.3188705444336,0.18990276753902435,0.18984851241111755,0.0,0.0,0.0,0.0
75.88198852539062,-70.75682830810547,-4.937471866607666,0.4429798722267151,0.0,0.0,0.0,-0.007100301794707775
78.39022064208984,-67.91010284423828,-10.128148078918457,0.7277526259422302,0.0,0.0,0.0,-0.007100301794707775
80.39045715332031,-64.62055969238281,-15.2871732711792,0.9176011085510254,0.0,0.0,0.0,0.0
81.88269805908203,-60.98308563232422,-20.382898330688477,1.0125254392623901,0.0,0.007088015787303448,0.0,0.0
82.96219635009766,-56.997676849365234,-25.383670806884766,1.0441668033599854,0.0,0.0,0.007091178558766842,0.0
83.37493896484375,-52.790855407714844,-30.03628921508789,1.0441668033599854,0.0,0.007088015787303448,0.0,0.0
83.72418975830078,-48.33099365234375,-34.84716033935547,0.9808839559555054,0.0,0.0,0.0,-0.007100301794707775
83.56543731689453,-43.71297836303711,-39.34152603149414,0.9176011085510254,0.0,0.007088015787303448,0.0,0.0
83.40669250488281,-38.93681335449219,-43.994140625,0.8543183207511902,0.0,0.0,0.0,-0.007100301794707775
82.9304428100586,-33.8759765625,-48.55180740356445,0.9176011085510254,0.0,0.0,0.0,0.0
82.1366958618164,-28.815139770507812,-52.85626983642578,0.8543183207511902,0.0,0.0,0.0,0.0
81.2477035522461,-23.691041946411133,-57.0657844543457,0.8226768970489502,0.0,0.0,0.0,0.0
80.04121398925781,-18.535314559936523,-61.022090911865234,0.7910354733467102,0.0,0.007088015787303448,0.0,0.0
