1-七松二回电压Ua_1,2-七松二回电压Ub_2,3-七松二回电压Uc_3,4-七松二回电压3Uo_4,9-七松二回电流Ia_9,10-七松二回电流Ib_10,11-七松二回电流Ic_11,12-七松二回电流3Io_12
-81.83058166503906,62.4002799987793,18.98822593688965,-0.6973555684089661,-0.11349046230316162,0.04961610957980156,0.07091178745031357,0.01420060358941555
-82.847900390625,58.59538269042969,23.743206024169922,-0.7607515454292297,-0.10639730840921402,0.04252809286117554,0.07800296694040298,0.01420060358941555
-83.45193481445312,54.505123138427734,28.43478775024414,-0.8241474628448486,-0.09930415451526642,0.02835206314921379,0.07800296694040298,0.007100301794707775
-83.70626831054688,50.129493713378906,33.094669342041016,-0.8241474628448486,-0.09221100062131882,0.02835206314921379,0.0850941464304924,0.01420060358941555
-83.7380599975586,45.56361770629883,37.659454345703125,-0.8241474628448486,-0.09930415451526642,0.02126404643058777,0.0850941464304924,0.01420060358941555
-83.48372650146484,40.744083404541016,42.22423553466797,-0.8241474628448486,-0.09221100062131882,0.014176031574606895,0.09218531847000122,0.0
-83.07044219970703,35.639183044433594,46.979217529296875,-0.7290535569190979,-0.09221100062131882,0.014176031574606895,0.09218531847000122,0.007100301794707775
-82.2756576538086,30.248916625976562,51.54399871826172,-0.6973555684089661,-0.09221100062131882,0.0,0.09218531847000122,0.0
-81.25833892822266,24.8586483001709,55.98197937011719,-0.6339595913887024,-0.07802469283342361,0.0,0.09218531847000122,0.007100301794707775
-80.11386108398438,19.341548919677734,60.38826370239258,-0.5388656854629517,-0.07802469283342361,-0.014176031574606895,0.10636767745018005,0.007100301794707775
-78.65145874023438,14.014697074890137,64.35074615478516,-0.4120737314224243,-0.07093153893947601,-0.014176031574606895,0.09927649796009064,0.0
-76.99832153320312,8.719551086425781,68.05963134765625,-0.28528180718421936,-0.07093153893947601,-0.02126404643058777,0.09927649796009064,0.007100301794707775
