5-220kV七屯Ⅱ回线电压Ua_5,6-220kV七屯Ⅱ回线电压Ub_6,7-220kV七屯Ⅱ回线电压Uc_7,8-220kV七屯Ⅱ回线电压3Uo_8,9-220kV七屯Ⅰ回线路电流Ia_9,10-220kV七屯Ⅰ回线路电流Ib_10,11-220kV七屯Ⅰ回线路电流Ic_11,12-220kV七屯Ⅰ回线路电流3Io_12
85.20183563232422,-57.43476486206055,-28.482589721679688,-1.2397009134292603,0.0,0.0,0.0,0.0
85.93276977539062,-53.08027267456055,-33.982017517089844,-1.9390194416046143,-0.007188638672232628,-0.007179274223744869,-0.007196622435003519,0.0
86.15522766113281,-48.312583923339844,-39.06819534301758,-2.161529779434204,0.0,-0.007179274223744869,0.0,-0.007182457484304905
86.21878814697266,-43.19526290893555,-44.15436935424805,-1.875445008277893,0.0,0.0,0.0,0.0
85.93276977539062,-37.7918815612793,-48.85908508300781,-1.1125521659851074,-0.007188638672232628,0.0,0.0,-0.007182457484304905
85.29717254638672,-32.13422393798828,-53.182334899902344,-0.0635744035243988,-0.007188638672232628,0.0,-0.007196622435003519,0.0
84.2484359741211,-26.4765682220459,-57.25127410888672,1.0171904563903809,0.0,-0.007179274223744869,0.0,0.0
82.91368103027344,-20.882478713989258,-60.843387603759766,2.1297426223754883,-0.007188638672232628,0.0,0.007196622435003519,0.0
81.19757080078125,-15.574451446533203,-64.05403900146484,2.797273874282837,-0.007188638672232628,-0.007179274223744869,0.0,0.0
79.19544219970703,-10.425347328186035,-67.0739517211914,3.0197842121124268,0.0,-0.007179274223744869,-0.007196622435003519,-0.007182457484304905
77.09796905517578,-5.62587308883667,-69.99850463867188,2.574763536453247,0.0,0.0,-0.007196622435003519,0.0
74.77803802490234,-0.794614851474762,-73.11378479003906,1.6211473941802979,0.0,0.0,0.0,-0.007182457484304905
72.29920959472656,4.068428039550781,-76.22907257080078,0.2542976140975952,0.0,0.0,0.0,0.0
69.59791564941406,8.963255882263184,-79.21720123291016,-1.0489777326583862,0.0,0.0,-0.007196622435003519,0.0
66.48348999023438,14.04879093170166,-81.95101928710938,-2.4794018268585205,0.0,-0.007179274223744869,-0.007196622435003519,0.0
63.083045959472656,19.261465072631836,-84.30337524414062,-3.401230812072754,0.0,0.0,-0.007196622435003519,0.0
59.301239013671875,24.442354202270508,-85.92459869384766,-3.8462514877319336,-0.007188638672232628,0.0,-0.007196622435003519,0.0
55.10629653930664,29.62324333190918,-86.94183349609375,-3.782677173614502,0.0,0.0,0.0,0.0
50.72067642211914,34.86770248413086,-87.38687133789062,-3.146933078765869,0.0,-0.007179274223744869,0.0,0.0
45.9854736328125,39.9532356262207,-87.2279281616211,-2.1297426223754883,0.007188638672232628,0.0,0.0,-0.007182457484304905
40.96425247192383,45.10234069824219,-86.62394714355469,-0.890041708946228,-0.007188638672232628,0.0,-0.007196622435003519,0.007182457484304905
35.78413391113281,50.18787384033203,-85.7338638305664,0.4768080413341522,0.0,0.0,0.0,0.0
30.286216735839844,54.98735046386719,-84.46231842041016,1.4304240942001343,0.0,0.0,0.0,0.0
24.788299560546875,59.4054069519043,-83.00004577636719,2.0979554653167725,0.0,0.0,-0.007196622435003519,0.0
19.226821899414062,63.378482818603516,-81.41061401367188,2.19331693649292,-0.007188638672232628,0.0,0.0,0.0
13.856023788452148,66.74765014648438,-79.5668716430664,1.8436577320098877,0.0,0.0,0.0,0.0
8.612344741821289,69.92610931396484,-77.9456558227539,1.1125521659851074,0.0,0.0,-0.007196622435003519,-0.007182457484304905
3.6546852588653564,72.69136810302734,-76.3562240600586,0.0317872017621994,-0.007188638672232628,-0.007179274223744869,0.0,-0.007182457484304905
-1.5572136640548706,75.48841094970703,-74.60784912109375,-1.176126480102539,-0.007188638672232628,-0.007179274223744869,0.0,-0.007182457484304905
-6.578433513641357,78.0947494506836,-72.7005386352539,-2.002593755722046,-0.007188638672232628,0.0,-0.007196622435003519,0.0
-11.599653244018555,80.47859191894531,-70.28459930419922,-2.4476146697998047,-0.014377277344465256,-0.007179274223744869,-0.007196622435003519,-0.01436491496860981
-16.77977180480957,82.60816192626953,-67.26468658447266,-2.4476146697998047,-0.007188638672232628,-0.007179274223744869,0.0,0.0
-21.83277130126953,84.41988372802734,-63.70436096191406,-1.875445008277893,0.0,-0.007179274223744869,-0.007196622435003519,-0.007182457484304905
-26.82221221923828,85.75483703613281,-59.476478576660156,-0.8582544922828674,0.0,0.0,-0.007196622435003519,-0.007182457484304905
-31.84343147277832,86.7083740234375,-54.64461135864258,0.3814464509487152,-0.007188638672232628,-0.007179274223744869,0.0,0.0
-36.515071868896484,87.0580062866211,-49.62200927734375,1.5893601179122925,-0.007188638672232628,0.0,0.0,0.0
-41.56807327270508,87.24871063232422,-44.15436935424805,2.6701250076293945,0.0,0.0,0.0,0.007182457484304905
-46.493953704833984,86.93087005615234,-38.55957794189453,3.21050763130188,0.0,0.0,0.0,0.0
-51.22915267944336,86.19982147216797,-33.09193801879883,3.2422947883605957,-0.007188638672232628,0.0,-0.007196622435003519,0.0
-55.996131896972656,85.11914825439453,-27.5289306640625,2.7019121646881104,0.0,0.0,0.0,0.0
-60.31819534301758,83.5934829711914,-22.31559944152832,1.684721827507019,-0.007188638672232628,-0.007179274223744869,-0.007196622435003519,0.0
-64.19534301757812,81.84532928466797,-17.420154571533203,0.3814464509487152,-0.007188638672232628,-0.007179274223744869,0.0,0.0
-67.69112396240234,79.71576690673828,-12.620075225830078,-0.985403299331665,-0.007188638672232628,0.0,-0.007196622435003519,-0.007182457484304905
