第一组母线_1,第一组母线_2,第一组母线_3,第一组母线_4,220KV朝黄I回线_9,220KV朝黄I回线_10,220KV朝黄I回线_11,220KV朝黄I回线_12
-15.589428901672363,79.16975402832031,-63.95195770263672,0.03933199867606163,-0.167945995926857,0.03972199931740761,0.039928000420331955,-0.02625099942088127
-20.825489044189453,80.8034439086914,-60.14683532714844,0.42481499910354614,-0.17678600549697876,0.057374000549316406,0.057684000581502914,-0.021877000108361244
-25.980579376220703,81.98572540283203,-55.920127868652344,0.7630959749221802,-0.17236599326133728,0.03972199931740761,0.0665619969367981,-0.008755000308156013
-31.070892333984375,82.8778076171875,-51.660987854003906,0.975504994392395,-0.15026600658893585,0.030896000564098358,0.0665619969367981,-0.030625000596046448
-36.037052154541016,83.53881072998047,-47.2883415222168,1.0541750192642212,-0.15026600658893585,0.026482999324798584,0.07100100070238113,-0.021877000108361244
-40.82508087158203,83.83975982666016,-42.72111511230469,1.1171109676361084,-0.14584599435329437,0.026482999324798584,0.07543999701738358,-0.004381000064313412
-45.478153228759766,83.88812255859375,-38.1971321105957,1.0227069854736328,-0.1370059996843338,-0.022059999406337738,0.062123000621795654,-0.004381000064313412
-49.91530990600586,83.56568145751953,-33.56504821777344,0.7630959749221802,-0.12816600501537323,-0.022059999406337738,0.08431799709796906,-0.02625099942088127
-54.10416030883789,82.75421142578125,-28.705951690673828,0.40908101201057434,-0.12816600501537323,-0.017647000029683113,0.062123000621795654,-0.030625000596046448
-58.03390121459961,81.65791320800781,-23.825237274169922,0.09440100193023682,-0.1104860007762909,-0.03529899939894676,0.07543999701738358,-0.030625000596046448
-61.66135787963867,80.15319061279297,-18.912092208862305,-0.2124119997024536,-0.1104860007762909,-0.05295100063085556,0.09763500094413757,-0.02625099942088127
-65.30500793457031,78.5463638305664,-13.853012084960938,-0.44842201471328735,-0.10606600344181061,-0.048537999391555786,0.07987900078296661,-0.017503000795841217
-68.46283721923828,76.66009521484375,-8.783122062683105,-0.5742939710617065,-0.09280599653720856,-0.06177699938416481,0.0887570008635521,-0.017503000795841217
-71.37776184082031,74.44062805175781,-3.6753969192504883,-0.6136289834976196,-0.05744599923491478,-0.048537999391555786,0.07543999701738358,-0.021877000108361244
-74.2332992553711,72.0330810546875,1.551237940788269,-0.6372299790382385,-0.061866000294685364,-0.048537999391555786,0.0887570008635521,-7.000000096013537e-06
-76.58142852783203,69.22785186767578,6.723823070526123,-0.5900279879570007,-0.05744599923491478,-0.09266799688339233,0.07543999701738358,-0.02625099942088127
-78.50312042236328,65.99270629882812,11.891002655029297,-0.6214960217475891,-0.05744599923491478,-0.10149399936199188,0.07543999701738358,-0.008755000308156013
-80.21428680419922,62.402870178222656,17.225738525390625,-0.6922990083694458,-0.044185999780893326,-0.08384200185537338,0.0887570008635521,-0.030625000596046448
-81.49900817871094,58.44760513305664,22.41453742980957,-0.7788360118865967,-0.053025998175144196,-0.10149399936199188,0.0887570008635521,-0.02625099942088127
-82.52462768554688,54.250511169433594,27.479022979736328,-0.9755110144615173,-0.061866000294685364,-0.10590700060129166,0.07543999701738358,-0.01312899962067604
-83.33972930908203,49.99967956542969,32.39216613769531,-1.2508560419082642,-0.03976599872112274,-0.08384200185537338,0.062123000621795654,-0.061243001371622086
-83.8579330444336,45.695106506347656,37.224239349365234,-1.3688609600067139,-0.022086000069975853,-0.10590700060129166,0.07100100070238113,-0.021877000108361244
-84.09544372558594,41.266929626464844,41.91037368774414,-1.3688609600067139,-0.022086000069975853,-0.10590700060129166,0.08431799709796906,-0.021877000108361244
-84.1170425415039,36.83875274658203,46.41273880004883,-1.337393045425415,0.013274000026285648,-0.10590700060129166,0.07100100070238113,-0.021877000108361244
-83.73377990722656,32.16874694824219,50.77997970581055,-1.0935159921646118,-0.008825999684631824,-0.12797200679779053,0.07100100070238113,-0.02625099942088127
-82.78372955322266,27.3321475982666,54.81751251220703,-0.7709689736366272,0.026534000411629677,-0.16327600181102753,0.048806000500917435,-0.021877000108361244
-81.56918334960938,22.447181701660156,58.66587448120117,-0.47988998889923096,0.04863400012254715,-0.1323850005865097,0.0665619969367981,-0.017503000795841217
-80.14411163330078,17.352628707885742,62.42234802246094,-0.2674809992313385,0.04863400012254715,-0.1676889955997467,0.044367000460624695,-0.021877000108361244
-78.21702575683594,12.258076667785645,65.77344512939453,-0.17307700216770172,0.035374000668525696,-0.1676889955997467,0.026611000299453735,-0.021877000108361244
-76.1387939453125,7.066792964935303,68.89213562011719,-0.16520999372005463,0.03979400172829628,-0.15886299312114716,0.048806000500917435,-0.017503000795841217
-73.89862823486328,1.8647609949111938,71.87028503417969,-0.14160899817943573,0.07073400169610977,-0.15886299312114716,0.044367000460624695,-0.021877000108361244
-71.21041870117188,-3.3050270080566406,74.34037017822266,-0.11014100164175034,0.07957399636507034,-0.1676889955997467,0.013294000178575516,-0.021877000108361244
-68.1065673828125,-8.507059097290039,76.5942611694336,-0.031470999121665955,0.05747399851679802,-0.1676889955997467,0.017733000218868256,-0.030625000596046448
-64.82998657226562,-13.730587005615234,78.5724868774414,0.1652040034532547,0.07073400169610977,-0.1676889955997467,0.008855000138282776,-0.04374700039625168
-60.97041320800781,-18.873504638671875,80.16156005859375,0.38547998666763306,0.10167399793863297,-0.15444999933242798,0.017733000218868256,-0.02625099942088127
-56.992088317871094,-24.075536727905273,81.4911880493164,0.6293569803237915,0.07073400169610977,-0.15444999933242798,0.008855000138282776,-0.01312899962067604
