1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV小开Ⅱ回线273Ia_9,10-220kV小开Ⅱ回线273Ib_10,11-220kV小开Ⅱ回线273Ic_11,12-220kV小开Ⅱ回线2733Io_12
53.29901885986328,32.000282287597656,-86.12589263916016,-1.6147805452346802,-0.07051364332437515,0.17662250995635986,-0.14131680130958557,0.035198360681533813
48.473854064941406,37.191226959228516,-86.53736877441406,-1.583118200302124,-0.07051364332437515,0.17662250995635986,-0.14131680130958557,0.035198360681533813
43.23601150512695,41.685829162597656,-85.71440887451172,-1.3614816665649414,-0.035256821662187576,0.17662250995635986,-0.10598760098218918,0.035198360681533813
37.839447021484375,46.30703353881836,-84.79649353027344,-1.171507477760315,-0.07051364332437515,0.2119470238685608,-0.14131680130958557,-0.035198360681533813
32.188926696777344,50.643375396728516,-83.24553680419922,-0.6965720057487488,-0.10577046126127243,0.2119470238685608,-0.10598760098218918,0.035198360681533813
26.7606143951416,54.758148193359375,-81.69457244873047,-0.25329890847206116,-0.10577046126127243,0.2119470238685608,-0.10598760098218918,0.035198360681533813
21.618005752563477,58.208229064941406,-79.6688232421875,0.25329890847206116,-0.10577046126127243,0.2119470238685608,-0.07065840065479279,0.0
16.697608947753906,61.59500503540039,-77.89629364013672,0.6965720057487488,-0.10577046126127243,0.17662250995635986,-0.07065840065479279,0.035198360681533813
11.935933113098145,64.7918701171875,-76.28202819824219,0.8232214450836182,-0.10577046126127243,0.17662250995635986,-0.03532920032739639,0.0
7.3964691162109375,67.8304672241211,-74.73106384277344,0.9498708844184875,-0.17628410458564758,0.2119470238685608,-0.03532920032739639,0.035198360681533813
2.793516159057617,70.80577087402344,-73.08514404296875,0.9182085394859314,-0.1410272866487503,0.17662250995635986,-0.07065840065479279,0.0
-1.8729256391525269,73.55950164794922,-71.3126220703125,0.6649096608161926,-0.10577046126127243,0.17662250995635986,-0.03532920032739639,0.035198360681533813
-7.0155348777771,76.56645202636719,-69.35017395019531,0.4116107225418091,-0.1410272866487503,0.17662250995635986,0.0,0.0
-12.221632957458496,79.38349151611328,-67.07121276855469,0.18997418880462646,-0.17628410458564758,0.17662250995635986,0.0,0.035198360681533813
-17.64994239807129,81.91565704345703,-64.22250366210938,0.0,-0.21154092252254486,0.17662250995635986,0.03532920032739639,0.035198360681533813
-23.173486709594727,83.9730453491211,-60.772403717041016,-0.031662363559007645,-0.17628410458564758,0.14129801094532013,0.0,0.0
-28.76051902770996,85.20747375488281,-56.49934387207031,-0.031662363559007645,-0.1410272866487503,0.14129801094532013,0.0,0.035198360681533813
-33.966617584228516,85.90382385253906,-51.68819808959961,0.3482860028743744,-0.17628410458564758,0.14129801094532013,0.03532920032739639,0.0
-38.98225021362305,85.84052276611328,-46.40226364135742,0.791559100151062,-0.17628410458564758,0.14129801094532013,0.03532920032739639,0.035198360681533813
-43.68043518066406,85.17582702636719,-40.799808502197266,1.2348321676254272,-0.17628410458564758,0.1059735119342804,0.10598760098218918,0.035198360681533813
-48.156410217285156,84.28956604003906,-35.102394104003906,1.7414300441741943,-0.21154092252254486,0.14129801094532013,0.07065840065479279,0.035198360681533813
-52.3784294128418,83.08678436279297,-29.563241958618164,1.899741768836975,-0.17628410458564758,0.14129801094532013,0.07065840065479279,0.035198360681533813
-56.060791015625,81.50418090820312,-24.308961868286133,1.899741768836975,-0.21154092252254486,0.1059735119342804,0.10598760098218918,0.035198360681533813
-59.298728942871094,79.85826873779297,-19.497812271118164,1.7730923891067505,-0.17628410458564758,0.07064900547266006,0.07065840065479279,0.035198360681533813
-62.37794494628906,78.24401092529297,-15.066492080688477,1.2664945125579834,-0.17628410458564758,0.1059735119342804,0.10598760098218918,0.035198360681533813
-65.33018493652344,76.62975311279297,-10.76177978515625,0.7598967552185059,-0.17628410458564758,0.07064900547266006,0.10598760098218918,0.035198360681533813
-68.25067901611328,74.8888931274414,-6.425415515899658,0.18997418880462646,-0.21154092252254486,0.07064900547266006,0.10598760098218918,0.035198360681533813
-71.1394271850586,72.98976135253906,-1.9624422788619995,-0.4432730972766876,-0.21154092252254486,0.07064900547266006,0.14131680130958557,0.0
-74.09166717529297,70.90072631835938,2.817054271697998,-0.8548838496208191,-0.17628410458564758,0.03532450273633003,0.14131680130958557,0.035198360681533813
-77.01216125488281,68.52681732177734,7.849769115447998,-1.2348321676254272,-0.17628410458564758,0.0,0.14131680130958557,0.035198360681533813
-79.93265533447266,65.6781234741211,13.388920783996582,-1.6781052350997925,-0.17628410458564758,0.03532450273633003,0.14131680130958557,0.0
-82.44047546386719,62.44961166381836,19.0546817779541,-1.7414300441741943,-0.17628410458564758,0.0,0.14131680130958557,0.0
-84.44037628173828,58.68301010131836,24.910354614257812,-1.6781052350997925,-0.17628410458564758,0.0,0.14131680130958557,0.035198360681533813
-85.51969146728516,54.409976959228516,30.259593963623047,-1.5197935104370117,-0.1410272866487503,0.0,0.14131680130958557,0.035198360681533813
-86.12283325195312,49.50389862060547,35.95700454711914,-1.1398451328277588,-0.1410272866487503,-0.03532450273633003,0.14131680130958557,0.0
-85.80538940429688,44.502864837646484,40.799808502197266,-0.7598967552185059,-0.1410272866487503,-0.03532450273633003,0.17664599418640137,0.0
-84.78956604003906,39.122005462646484,45.51599884033203,-0.25329890847206116,-0.1410272866487503,-0.03532450273633003,0.17664599418640137,0.035198360681533813
