1-220kV七屯Ⅰ回线电压Ua_1,2-220kV七屯Ⅰ回线电压Ub_2,3-220kV七屯Ⅰ回线电压Uc_3,4-220kV七屯Ⅰ回线电压3Uo_4,9-220kV七屯Ⅰ回线路电流Ia_9,10-220kV七屯Ⅰ回线路电流Ib_10,11-220kV七屯Ⅰ回线路电流Ic_11,12-220kV七屯Ⅰ回线路电流3Io_12
77.03218078613281,-72.86376190185547,-4.320760726928711,-0.2224310338497162,0.0,0.021537821739912033,-0.028786489740014076,0.0
79.51811981201172,-70.2580795288086,-9.435778617858887,-0.1906551718711853,0.0,0.014358548447489738,-0.021589867770671844,0.0
81.65347290039062,-67.3028564453125,-14.519026756286621,-0.1906551718711853,0.0,0.028717096894979477,-0.021589867770671844,0.0
83.53386688232422,-63.839202880859375,-19.69758415222168,0.0,0.0,0.028717096894979477,-0.021589867770671844,0.007182457484304905
84.96806335449219,-59.93068313598633,-24.93968391418457,0.28598275780677795,-0.007188638672232628,0.028717096894979477,-0.021589867770671844,-0.007182457484304905
85.79670715332031,-55.67261505126953,-29.86408042907715,0.5401896834373474,-0.014377277344465256,0.028717096894979477,-0.021589867770671844,-0.007182457484304905
86.306640625,-51.09678649902344,-34.788475036621094,0.8897241353988647,-0.007188638672232628,0.021537821739912033,-0.021589867770671844,0.0
86.62535095214844,-46.26673889160156,-39.77641296386719,1.2074828147888184,-0.007188638672232628,0.028717096894979477,-0.014393244870007038,-0.007182457484304905
86.33850860595703,-40.991825103759766,-44.63726806640625,1.3663620948791504,-0.021565916016697884,0.021537821739912033,-0.021589867770671844,-0.007182457484304905
85.95606231689453,-35.526248931884766,-49.65697479248047,1.3981379270553589,-0.014377277344465256,0.021537821739912033,-0.014393244870007038,-0.007182457484304905
85.15928649902344,-29.965341567993164,-54.54960250854492,1.2710344791412354,-0.014377277344465256,0.028717096894979477,-0.014393244870007038,0.0
83.8207015991211,-24.34088134765625,-58.933902740478516,1.0486035346984863,-0.021565916016697884,0.028717096894979477,-0.014393244870007038,0.0
82.2908935546875,-18.843528747558594,-63.191123962402344,0.667293131351471,-0.021565916016697884,0.021537821739912033,-0.014393244870007038,0.0
80.47425079345703,-13.663941383361816,-66.7176284790039,0.28598275780677795,-0.021565916016697884,0.021537821739912033,-0.007196622435003519,-0.007182457484304905
78.30702209472656,-8.579684257507324,-69.86288452148438,-0.1906551718711853,-0.014377277344465256,0.021537821739912033,-0.014393244870007038,0.0
76.1397933959961,-3.717863082885742,-72.81752014160156,-0.6355172395706177,-0.021565916016697884,0.021537821739912033,0.0,0.0
73.8132095336914,1.0804046392440796,-75.51799774169922,-1.0168275833129883,-0.021565916016697884,0.021537821739912033,-0.007196622435003519,-0.007182457484304905
71.32727813720703,6.069332122802734,-78.1549301147461,-1.1757069826126099,-0.02875455468893051,0.021537821739912033,0.0,-0.01436491496860981
68.58637237548828,11.185365676879883,-80.56947326660156,-1.3028104305267334,-0.02875455468893051,0.014358548447489738,0.0,-0.007182457484304905
65.4630126953125,16.269622802734375,-82.53923797607422,-1.2392586469650269,-0.02875455468893051,0.021537821739912033,0.0,-0.007182457484304905
61.95720291137695,21.60809326171875,-84.25482940673828,-1.1121551990509033,-0.02875455468893051,0.014358548447489738,0.0,0.0
58.00520324707031,26.851232528686523,-85.33502197265625,-0.826172411441803,-0.02875455468893051,0.021537821739912033,0.007196622435003519,-0.007182457484304905
53.766361236572266,32.030818939208984,-86.12928009033203,-0.5719655156135559,-0.02875455468893051,0.014358548447489738,0.0,-0.007182457484304905
49.08132553100586,37.11507797241211,-86.44698333740234,-0.3813103437423706,-0.02875455468893051,0.014358548447489738,0.007196622435003519,-0.007182457484304905
44.14132308959961,42.2946662902832,-86.63760375976562,-0.25420689582824707,-0.02875455468893051,0.007179274223744869,0.007196622435003519,-0.01436491496860981
39.07383346557617,47.25181579589844,-86.5105209350586,-0.2224310338497162,-0.02875455468893051,0.014358548447489738,0.007196622435003519,-0.007182457484304905
33.49641036987305,52.30429458618164,-85.97042846679688,-0.15887930989265442,-0.02875455468893051,0.007179274223744869,0.007196622435003519,0.0
28.07834243774414,56.911903381347656,-85.14440155029297,-0.1906551718711853,-0.02875455468893051,0.014358548447489738,0.007196622435003519,0.0
22.596532821655273,61.106414794921875,-83.9688949584961,-0.3495344817638397,-0.02875455468893051,0.014358548447489738,0.014393244870007038,-0.007182457484304905
17.050979614257812,64.95138549804688,-82.31684112548828,-0.4448620676994324,-0.021565916016697884,0.014358548447489738,0.014393244870007038,-0.007182457484304905
11.887879371643066,68.25614929199219,-80.44239807128906,-0.47663792967796326,-0.02875455468893051,0.0,0.014393244870007038,-0.007182457484304905
6.884133815765381,71.21138000488281,-78.37732696533203,-0.4448620676994324,-0.02875455468893051,0.007179274223744869,0.014393244870007038,-0.007182457484304905
1.8803883790969849,74.1030502319336,-76.18517303466797,-0.31775861978530884,-0.02875455468893051,0.0,0.014393244870007038,-0.007182457484304905
-3.059615135192871,76.77228546142578,-73.8659439086914,-0.12710344791412354,-0.02875455468893051,-0.007179274223744869,0.021589867770671844,-0.007182457484304905
-8.158973693847656,79.44152069091797,-71.22901153564453,0.15887930989265442,-0.02875455468893051,0.0,0.021589867770671844,-0.007182457484304905
-13.258332252502441,81.72943115234375,-68.21083068847656,0.5084137916564941,-0.02875455468893051,0.0,0.021589867770671844,0.0
-18.38956069946289,83.66780853271484,-64.84317779541016,0.7626206874847412,-0.02875455468893051,0.0,0.021589867770671844,-0.007182457484304905
