110kV II 母电压_A相_5,110kV II 母电压_B相_6,110kV II 母电压_C相_7,110kV II 母电压_3U0_8,110kV黎腊I线137_A相_25,110kV黎腊I线137_B相_26,110kV黎腊I线137_C相_27,110kV黎腊I线137_3I0_28
30.45391273498535,-84.07280731201172,52.532798767089844,-1.4790817499160767,0.07727048546075821,-0.07375996559858322,0.03015005588531494,0.011350255459547043
51.25905990600586,-84.48870086669922,33.14854049682617,0.17126210033893585,0.11496339738368988,-0.07943381369113922,-0.0056531354784965515,0.013241964392364025
67.56214904785156,-81.22393798828125,12.86051082611084,-1.0898497104644775,0.11873269081115723,-0.07375996559858322,-0.011306270956993103,0.018917091190814972
65.95055389404297,-64.75457000732422,-2.4100472927093506,-1.2455425262451172,0.9442076086997986,-0.16643273830413818,0.2713505029678345,1.0347648859024048
54.77337646484375,-41.56852340698242,-8.622152328491211,8.531966209411621,1.7527207136154175,-0.18723684549331665,-0.35614752769470215,1.1804265975952148
63.68392562866211,-31.982187271118164,-36.483131408691406,-7.955903053283691,2.600811243057251,-0.17021530866622925,-0.8027452230453491,1.5795772075653076
52.72509002685547,-7.985149383544922,-45.43770217895508,-1.323388934135437,3.5883657932281494,-0.31584396958351135,-1.5131559371948242,1.715780258178711
46.76739501953125,8.224287986755371,-45.45847702026367,16.908239364624023,4.406301975250244,-0.22127990424633026,-2.432732582092285,1.698754906654358
35.12233352661133,29.382854461669922,-60.438167572021484,7.5511016845703125,5.001850128173828,-0.18534556031227112,-3.4239156246185303,1.3355467319488525
16.79176139831543,46.372093200683594,-61.54970169067383,2.942594289779663,5.359932899475098,-0.08321636915206909,-4.324648857116699,0.8947784304618835
9.045717239379883,59.483123779296875,-63.98052215576172,8.127164840698242,5.442857265472412,0.020804092288017273,-5.117971897125244,0.28564807772636414
-9.336843490600586,70.98257446289062,-55.51419448852539,10.696096420288086,5.226122856140137,0.1456286460161209,-5.743585586547852,-0.4010423421859741
-23.227737426757812,75.3182601928711,-45.261104583740234,11.926070213317871,4.7342305183410645,0.27045321464538574,-6.126114368438721,-1.144484043121338
-35.45505142211914,75.60938262939453,-37.26224136352539,5.075585842132568,3.9615256786346436,0.4066254496574402,-6.190183162689209,-1.81982421875
-45.34295654296875,73.37395477294922,-22.292938232421875,10.011048316955566,2.996587038040161,0.5371238589286804,-5.996092319488525,-2.4421966075897217
-50.073760986328125,63.38212203979492,-8.383224487304688,8.43855094909668,1.8563761711120605,0.6184489727020264,-5.474119663238525,-2.9775502681732178
-54.13913345336914,48.014869689941406,7.271694660186768,1.9461601972579956,0.6445488929748535,0.6846438050270081,-4.693986892700195,-3.32373309135437
-54.73178482055664,31.2647705078125,24.204355239868164,1.0742805004119873,-0.47116148471832275,0.6978827714920044,-3.6858444213867188,-3.4107515811920166
-51.0615119934082,14.992949485778809,35.018402099609375,-2.0240066051483154,-1.5623714923858643,0.6827524900436401,-2.498685836791992,-3.335083246231079
-41.49592590332031,-6.124027252197266,45.572750091552734,-3.8456125259399414,-2.5046944618225098,0.60521000623703,-1.2342679500579834,-3.0872693061828613
-29.882057189941406,-26.01412010192871,51.79524230957031,-7.333131790161133,-3.2359371185302734,0.5219936370849609,0.04334070533514023,-2.6332592964172363
-16.9061336517334,-44.67732620239258,57.571044921875,-7.052884578704834,-3.678828716278076,0.36690855026245117,1.187158465385437,-2.086555242538452
-4.200539588928223,-59.94060516357422,58.879947662353516,-9.18587589263916,-3.880486011505127,0.240192711353302,2.1877634525299072,-1.4263486862182617
10.93803882598877,-69.04866790771484,51.41088104248047,-11.536837577819824,-3.7768304347991943,0.07186868786811829,2.9867398738861084,-0.6923655867576599
24.537805557250977,-74.24732971191406,43.86909484863281,-9.902063369750977,-3.381054639816284,-0.07943381369113922,3.5162503719329834,0.08134349435567856
36.73392868041992,-75.70295715332031,32.66029739379883,-10.664958000183105,-2.7082362174987793,-0.2345188707113266,3.74426007270813,0.8172183632850647
46.341102600097656,-72.8228988647461,20.984033584594727,-9.310430526733398,-1.8149139881134033,-0.36690855026245117,3.6858444213867188,1.5039088726043701
52.42356872558594,-63.13258743286133,6.3471503257751465,-7.301993370056152,-0.7670508623123169,-0.45579877495765686,3.325927972793579,2.086555242538452
57.102386474609375,-48.430763244628906,-10.65822696685791,-3.0982871055603027,0.2977740466594696,-0.5182110667228699,2.685239315032959,2.438413143157959
56.436954498291016,-32.086158752441406,-24.9315242767334,-0.809602677822113,1.3531757593154907,-0.5238848924636841,1.786390781402588,2.5840747356414795
51.602176666259766,-14.369110107421875,-37.096031188964844,0.45150917768478394,2.3859617710113525,-0.5068633556365967,0.7198325991630554,2.5575907230377197
42.99314880371094,6.072040557861328,-47.07902908325195,3.7210583686828613,3.2811684608459473,-0.43310338258743286,-0.4409445822238922,2.370311737060547
31.867956161499023,26.450807571411133,-55.929718017578125,4.45281457901001,3.955871820449829,-0.3461044728755951,-1.528230905532837,2.0487210750579834
18.38256072998047,44.94765853881836,-58.983829498291016,7.784640789031982,4.385571002960205,-0.2174973338842392,-2.5778298377990723,1.5530931949615479
5.209084987640381,58.75531005859375,-58.81761932373047,9.139168739318848,4.553304672241211,-0.07186868786811829,-3.533209800720215,0.9023452997207642
-9.555188179016113,68.95509338378906,-53.613162994384766,10.182310104370117,4.423264026641846,0.0945640578866005,-4.294498443603516,0.19295433163642883
-23.498069763183594,73.99779510498047,-44.357337951660156,10.773942947387695,4.0067572593688965,0.24397528171539307,-4.776899337768555,-0.5542708039283752
-35.78776550292969,75.33905029296875,-33.9899787902832,9.559538841247559,3.30755352973938,0.400951623916626,-4.969106197357178,-1.2598782777786255
-45.20779037475586,72.93727111816406,-22.16827964782715,9.684093475341797,2.3991541862487793,0.5182110667228699,-4.863580703735352,-1.937110185623169
-51.352638244628906,62.695899963378906,-7.271694660186768,6.959468841552734,1.326790690422058,0.6146664023399353,-4.460323810577393,-2.498947858810425
-54.73178482055664,48.45155715942383,8.476717948913574,3.580934762954712,0.19600316882133484,0.6714048385620117,-3.7744102478027344,-2.871614456176758
-55.573970794677734,31.867816925048828,24.256296157836914,0.7940333485603333,-0.882014274597168,0.6827524900436401,-2.8472959995269775,-3.0059258937835693
-51.0615119934082,14.701824188232422,35.724796295166016,-1.323388934135437,-1.9317620992660522,0.6638396978378296,-1.733628273010254,-2.962416648864746
-41.724666595458984,-5.427406311035156,45.27149200439453,-3.5497963428497314,-2.8476998805999756,0.5862971544265747,-0.5295103788375854,-2.7467617988586426
-30.141992568969727,-25.86855697631836,52.78211212158203,-5.729495525360107,-3.5563268661499023,0.49362438917160034,0.6821449995040894,-2.341935873031616
-17.46759033203125,-44.562957763671875,57.8930778503418,-7.317562580108643,-3.9954493045806885,0.34799572825431824,1.7675470113754272,-1.8368496894836426
-4.200539588928223,-59.11921691894531,57.851524353027344,-9.497262001037598,-4.185798645019531,0.2061496526002884,2.751192569732666,-1.189885139465332
10.73009204864502,-68.39363861083984,51.70174789428711,-10.275726318359375,-4.068950653076172,0.03404306247830391,3.538862705230713,-0.4691438674926758
24.319461822509766,-73.84183502197266,43.37046432495117,-10.524834632873535,-3.6731748580932617,-0.12671583890914917,4.055182456970215,0.2818646728992462
36.59876251220703,-75.08951568603516,32.52524948120117,-10.135601997375488,-2.9928176403045654,-0.28747475147247314,4.2624640464782715,0.9931473135948181
45.77964401245117,-72.20945739746094,21.129467010498047,-8.983475685119629,-2.1013801097869873,-0.4141905903816223,4.192742347717285,1.6665958166122437
52.0804557800293,-62.633514404296875,6.191328525543213,-7.301993370056152,-1.0610556602478027,-0.5106459259986877,3.8139820098876953,2.22843337059021
55.28284454345703,-47.786128997802734,-9.640189170837402,-3.5030884742736816,0.03392362594604492,-0.5692756175994873,3.161987066268921,2.6048836708068848
55.60516357421875,-31.41033363342285,-24.848419189453125,-0.809602677822113,1.1119410991668701,-0.5844058990478516,2.255601167678833,2.754328489303589
51.155086517333984,-14.348315238952637,-36.524681091308594,0.7784640789031982,2.1428422927856445,-0.5711669325828552,1.1796209812164307,2.7221696376800537
42.182151794433594,5.916080474853516,-46.22719955444336,3.4875190258026123,3.0474724769592285,-0.49362438917160034,0.0056531354784965515,2.531106948852539
31.17133140563965,25.86855697631836,-54.4338264465332,4.779769420623779,3.7410221099853516,-0.40473416447639465,-1.1343958377838135,2.1754655838012695
17.893882751464844,44.68772506713867,-58.44364929199219,7.504394054412842,4.170721530914307,-0.2723444998264313,-2.195301055908203,1.6760543584823608
4.751600742340088,58.765708923339844,-58.17355728149414,9.48169231414795,4.353531837463379,-0.13617224991321564,-3.1506807804107666,1.0309815406799316
-9.815122604370117,68.02973175048828,-52.615901947021484,9.948771476745605,4.227260589599609,0.04539074748754501,-3.9195072650909424,0.3234822750091553
-23.591644287109375,73.59230041503906,-43.858707427978516,10.664958000183105,3.814523220062256,0.19669324159622192,-4.413214683532715,-0.41806772351264954
-35.93333053588867,74.79839324951172,-33.169315338134766,9.870924949645996,3.120973587036133,0.3612346947193146,-4.609189987182617,-1.1331337690353394
-45.124610900878906,72.1470718383789,-21.783918380737305,9.1235990524292,2.218228340148926,0.4860592782497406,-4.518739700317383,-1.8009071350097656
-51.4774055480957,62.36318588256836,-6.710735321044922,7.146300315856934,1.1703650951385498,0.5919710397720337,-4.130557537078857,-2.3513946533203125
-54.50304412841797,47.786128997802734,8.871467590332031,3.643211841583252,0.06030866876244545,0.641144335269928,-3.465372085571289,-2.727844715118408
-55.043704986572266,31.38953971862793,24.204355239868164,0.809602677822113,-1.0158241987228394,0.6581658720970154,-2.5476796627044678,-2.879181385040283
-50.71839904785156,14.26513671875,35.90139389038086,-1.1676961183547974,-2.0580332279205322,0.6430355906486511,-1.4585089683532715,-2.8394556045532227
-41.693477630615234,-5.676942348480225,45.468868255615234,-3.5497963428497314,-2.964548110961914,0.5673843622207642,-0.27323487401008606,-2.6294758319854736
-30.225170135498047,-25.754186630249023,52.94832229614258,-5.449248790740967,-3.658097743988037,0.47660285234451294,0.9026172757148743,-2.2492423057556152
-17.519577026367188,-44.355010986328125,57.5814323425293,-7.613379001617432,-4.087797164916992,0.3309742212295532,1.9804818630218506,-1.7346973419189453
