1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,25-110kV朋勒T 132线路电流Ia_25,26-110kV朋勒T 132线路电流Ib_26,27-110kV朋勒T 132线路电流Ic_27,28-110kV朋勒T 132线路电流3Io_28
-75.60487365722656,3.9622745513916016,71.53812408447266,-0.06339360028505325,-0.20157794654369354,-0.00718780979514122,0.1944732666015625,0.0
-72.93309783935547,-1.6483062505722046,74.45545959472656,-0.09509039670228958,-0.18717952072620392,-0.01437561959028244,0.20887869596481323,0.007200772408396006
-69.78421783447266,-7.163792133331299,77.08740234375,0.31696799397468567,-0.18717952072620392,-0.02875123918056488,0.2160814106464386,0.007200772408396006
-66.63534545898438,-12.393994331359863,79.1802749633789,0.3803615868091583,-0.1727810949087143,-0.05031466856598854,0.22328412532806396,0.0
-63.48646545410156,-17.529102325439453,81.27314758300781,0.5705423951148987,-0.15838266909122467,-0.05750247836112976,0.22328412532806396,0.0
-59.574222564697266,-22.537418365478516,82.47813415527344,0.7290263772010803,-0.15118345618247986,-0.07906591147184372,0.23048684000968933,0.007200772408396006
-55.75740051269531,-27.609128952026367,83.71482849121094,0.602239191532135,-0.14398424327373505,-0.10062933713197708,0.2376895546913147,0.007200772408396006
-51.813350677490234,-32.64914321899414,84.91981506347656,0.7607231736183167,-0.12958581745624542,-0.1078171506524086,0.23048684000968933,0.0
-47.455814361572266,-37.340476989746094,85.078369140625,0.5388455986976624,-0.12238661199808121,-0.12219277024269104,0.2376895546913147,0.0
-43.034664154052734,-41.683128356933594,84.91981506347656,0.41205838322639465,-0.10798818618059158,-0.13656838238239288,0.24489226937294006,0.0
-38.39086151123047,-46.15257263183594,84.76126098632812,0.348664790391922,-0.09358976036310196,-0.1437561959028244,0.24489226937294006,0.0
-33.55622100830078,-50.84390640258789,84.4124526977539,0.15848399698734283,-0.07919133454561234,-0.15813182294368744,0.24489226937294006,0.0
-28.721582412719727,-54.55259704589844,83.46115112304688,0.348664790391922,-0.07199212163686752,-0.16531962156295776,0.23048684000968933,0.007200772408396006
-23.759714126586914,-58.22958755493164,82.12931823730469,0.28527119755744934,-0.0575936995446682,-0.1796952486038208,0.23048684000968933,0.0
-18.44797134399414,-62.382049560546875,81.01946258544922,0.3803615868091583,-0.043195273727178574,-0.18688306212425232,0.23048684000968933,0.007200772408396006
-13.008999824523926,-65.86885070800781,79.1802749633789,0.443755179643631,-0.0287968497723341,-0.19407086074352264,0.22328412532806396,0.007200772408396006
-7.824483871459961,-69.19715881347656,77.15082550048828,0.31696799397468567,-0.01439842488616705,-0.19407086074352264,0.22328412532806396,0.0
-2.480933904647827,-72.27188873291016,74.86769104003906,0.253574401140213,0.007199212443083525,-0.20844648778438568,0.2160814106464386,0.007200772408396006
3.1806845664978027,-74.83943939208984,71.6966781616211,0.09509039670228958,0.021597636863589287,-0.2156343013048172,0.20887869596481323,0.0
