5-220kV七屯Ⅱ回线电压Ua_5,6-220kV七屯Ⅱ回线电压Ub_6,7-220kV七屯Ⅱ回线电压Uc_7,8-220kV七屯Ⅱ回线电压3Uo_8,13-220kV七屯Ⅱ回线路电流Ia_13,14-220kV七屯Ⅱ回线路电流Ib_14,15-220kV七屯Ⅱ回线路电流Ic_15,16-220kV七屯Ⅱ回线路电流3Io_16
-34.38582229614258,-51.30033493041992,85.28882598876953,-0.7628929018974304,0.02877344749867916,-0.007195841986685991,-0.014398617669939995,0.0
-28.98324203491211,-56.00445556640625,84.04906463623047,-1.684721827507019,0.02877344749867916,0.0,-0.021597925573587418,0.0
-23.580663681030273,-60.07288360595703,82.36427307128906,-2.2568914890289307,0.021580087020993233,-0.007195841986685991,-0.021597925573587418,0.0
-17.860288619995117,-63.982391357421875,80.5205307006836,-2.2886786460876465,0.021580087020993233,0.0,-0.021597925573587418,0.0
-12.553049087524414,-67.38333892822266,78.86752319335938,-1.9072321653366089,0.021580087020993233,0.0,-0.02879723533987999,0.0
-7.37293004989624,-70.37109375,77.21451568603516,-0.9218288660049438,0.01438672374933958,0.007195841986685991,-0.021597925573587418,0.0
-2.224591016769409,-73.26348876953125,75.65687561035156,0.1907232254743576,0.021580087020993233,0.014391683973371983,-0.021597925573587418,0.0
2.8284084796905518,-75.901611328125,73.90850067138672,1.3668497800827026,0.021580087020993233,0.007195841986685991,-0.02879723533987999,0.0
7.786068439483643,-78.44438171386719,71.93760681152344,2.2568914890289307,0.021580087020993233,0.007195841986685991,-0.021597925573587418,0.0
12.839068412780762,-80.79644012451172,69.42630767822266,2.5111889839172363,0.01438672374933958,0.014391683973371983,-0.021597925573587418,0.0
18.019187927246094,-82.92601013183594,66.4063949584961,2.542976140975952,0.00719336187466979,0.014391683973371983,-0.021597925573587418,0.0
23.19930648803711,-84.83308410644531,62.655338287353516,1.780083417892456,0.01438672374933958,0.007195841986685991,-0.021597925573587418,0.0
28.22052574157715,-86.1362533569336,58.332088470458984,0.6993184685707092,0.00719336187466979,0.014391683973371983,-0.021597925573587418,0.007194661069661379
33.178184509277344,-87.0262222290039,53.46842956542969,-0.6039568781852722,0.00719336187466979,0.021587524563074112,-0.021597925573587418,0.0
37.97694778442383,-87.34407043457031,48.31867599487305,-1.875445008277893,0.0,0.028783367946743965,-0.021597925573587418,0.007194661069661379
42.61680603027344,-87.21692657470703,42.94640350341797,-2.8290610313415527,0.0,0.021587524563074112,-0.021597925573587418,0.007194661069661379
47.3837890625,-86.77194213867188,37.319820404052734,-3.528379440307617,0.0,0.021587524563074112,-0.021597925573587418,0.0
52.08720779418945,-85.91375732421875,31.788602828979492,-3.4648051261901855,0.00719336187466979,0.021587524563074112,-0.021597925573587418,0.0
56.50461196899414,-84.64237976074219,26.47990608215332,-2.797273874282837,0.0,0.021587524563074112,-0.021597925573587418,0.0
60.85845184326172,-83.0213623046875,21.139421463012695,-1.684721827507019,0.0,0.021587524563074112,-0.021597925573587418,0.0
64.76737976074219,-81.14607238769531,16.18039894104004,-0.317872017621994,-0.00719336187466979,0.021587524563074112,-0.021597925573587418,0.0
68.00892639160156,-79.0165023803711,11.634629249572754,1.080764889717102,0.0,0.021587524563074112,-0.021597925573587418,-0.007194661069661379
71.1551284790039,-77.01407623291016,7.088858604431152,2.3204658031463623,-0.01438672374933958,0.028783367946743965,-0.021597925573587418,-0.007194661069661379
73.9835433959961,-74.85272216796875,2.54308819770813,3.0197842121124268,-0.01438672374933958,0.021587524563074112,-0.014398617669939995,0.0
76.49414825439453,-72.59601593017578,-2.0980477333068848,3.21050763130188,-0.00719336187466979,0.028783367946743965,-0.014398617669939995,0.0
78.97297668457031,-70.14859771728516,-7.247801780700684,2.765486717224121,-0.01438672374933958,0.021587524563074112,-0.014398617669939995,0.0
81.19757080078125,-67.38333892822266,-12.77901840209961,1.9390194416046143,-0.00719336187466979,0.03597920760512352,-0.014398617669939995,0.0
83.00902557373047,-64.23666381835938,-18.342023849487305,0.7946800589561462,-0.01438672374933958,0.028783367946743965,-0.014398617669939995,-0.007194661069661379
84.40734100341797,-60.45429992675781,-24.19112777709961,-0.3814464509487152,-0.021580087020993233,0.021587524563074112,-0.014398617669939995,0.0
85.5514144897461,-56.41765594482422,-29.913076400756836,-1.3668497800827026,-0.021580087020993233,0.021587524563074112,-0.007199308834969997,0.0
86.02811431884766,-51.90424346923828,-35.317138671875,-2.0343809127807617,-0.021580087020993233,0.021587524563074112,-0.007199308834969997,-0.007194661069661379
86.21878814697266,-47.04119873046875,-40.46689224243164,-2.19331693649292,-0.02877344749867916,0.028783367946743965,0.0,0.0
86.05989074707031,-41.764957427978516,-45.394126892089844,-1.9072321653366089,-0.021580087020993233,0.028783367946743965,0.0,0.0
85.67853546142578,-36.361576080322266,-49.971683502197266,-1.0171904563903809,-0.021580087020993233,0.028783367946743965,0.0,0.0
84.72513580322266,-30.767488479614258,-53.97705078125,-0.0635744035243988,-0.021580087020993233,0.021587524563074112,0.0,0.0
83.64462280273438,-25.109830856323242,-57.95062255859375,1.1125521659851074,-0.02877344749867916,0.028783367946743965,0.0,0.007194661069661379
82.18274688720703,-19.57931137084961,-61.35200500488281,2.225104331970215,-0.02877344749867916,0.021587524563074112,0.0,0.0
80.14883422851562,-14.112360000610352,-64.46728515625,2.8290610313415527,-0.02877344749867916,0.021587524563074112,0.007199308834969997,0.0
78.17848205566406,-8.899686813354492,-67.55078125,3.0197842121124268,-0.02877344749867916,0.021587524563074112,0.007199308834969997,0.0
