1-220kV母线电压Ua_1,2-220kV母线电压Ub_2,3-220kV母线电压Uc_3,4-220kV母线电压3Uo_4,5-220kV苏腾线线路电流Ia_5,6-220kV苏腾线线路电流Ib_6,7-220kV苏腾线线路电流Ic_7,8-220kV苏腾线线路电流3Io_8
-83.81084442138672,32.17695236206055,51.83597183227539,0.31632187962532043,-0.5059583783149719,0.13349369168281555,0.36542120575904846,0.0
-75.56299591064453,5.410284042358398,70.34881591796875,0.2530575096607208,-0.44974079728126526,-0.028103936463594437,0.46380385756492615,0.0
-61.00236511230469,-20.217376708984375,81.5831069946289,0.6326437592506409,-0.33730560541152954,-0.19672755897045135,0.5270498394966125,0.0
-39.90690612792969,-44.61111068725586,84.71605682373047,0.28468969464302063,-0.18973439931869507,-0.33724722266197205,0.5270498394966125,-0.007030300796031952
-13.894454956054688,-65.01832580566406,78.98814392089844,0.0,-0.03513599932193756,-0.449662983417511,0.4848858416080475,0.0
12.308329582214355,-79.06607818603516,66.67789459228516,-0.2530575096607208,0.12648959457874298,-0.5269488096237183,0.39353054761886597,0.0
37.0518798828125,-85.36225891113281,47.84859085083008,-0.8540691137313843,0.2810879945755005,-0.5410007834434509,0.2529839277267456,0.0
59.194183349609375,-82.32490539550781,22.816688537597656,-0.6326437592506409,0.40055039525032043,-0.5058708786964417,0.09135530143976212,0.0
75.3726577758789,-71.97891998291016,-3.7658612728118896,-0.6326437592506409,0.49190402030944824,-0.4356110095977783,-0.056218646466732025,0.0
84.12806701660156,-55.55823516845703,-28.607887268066406,0.0316321887075901,0.5340672135353088,-0.29509133100509644,-0.23190192878246307,0.0
83.90601348876953,-32.01875686645508,-52.08913803100586,-0.31632187962532043,0.5059583783149719,-0.14754566550254822,-0.37244853377342224,0.0
75.34093475341797,-5.220449447631836,-70.34881591796875,-0.34795406460762024,0.44974079728126526,0.021077951416373253,-0.4708311855792999,0.007030300796031952
61.00236511230469,20.217376708984375,-81.61475372314453,-0.7591724991798401,0.34433281421661377,0.18970157206058502,-0.5270498394966125,0.0
39.93862533569336,44.67438888549805,-84.87428283691406,-0.5061150193214417,0.20378880202770233,0.33724722266197205,-0.5340771675109863,0.007030300796031952
13.86273193359375,65.334716796875,-79.20967102050781,-0.0632643774151802,0.049190402030944824,0.44263699650764465,-0.49191316962242126,0.0
-12.371774673461914,79.19263458251953,-66.67789459228516,0.2530575096607208,-0.11243519932031631,0.5058708786964417,-0.40055787563323975,0.007030300796031952
-37.0518798828125,85.52045440673828,-48.00681686401367,0.7908046841621399,-0.27406081557273865,0.5410007834434509,-0.2600112557411194,0.007030300796031952
-59.1307373046875,82.54637908935547,-23.10150146484375,0.5693793892860413,-0.3935232162475586,0.49884486198425293,-0.10540996491909027,0.0
-75.59471893310547,72.2953109741211,3.639277696609497,0.6010115742683411,-0.4778496026992798,0.428585022687912,0.056218646466732025,0.0
-84.19151306152344,55.87462615966797,28.291427612304688,-0.0316321887075901,-0.5200127959251404,0.30211731791496277,0.2248745858669281,0.0
-83.8742904663086,32.36678695678711,51.67774200439453,0.28468969464302063,-0.5059583783149719,0.14754566550254822,0.36542120575904846,0.0
-75.65815734863281,5.600118160247803,70.22223663330078,0.2530575096607208,-0.4427136182785034,-0.021077951416373253,0.4708311855792999,0.007030300796031952
-61.19270324707031,-19.964263916015625,81.48817443847656,0.6326437592506409,-0.34433281421661377,-0.18970157206058502,0.5270498394966125,0.0
-40.160682678222656,-44.3896369934082,84.71605682373047,0.28468969464302063,-0.1967616081237793,-0.33724722266197205,0.5270498394966125,0.0
-14.179957389831543,-64.8601303100586,79.05143737792969,-0.0632643774151802,-0.04216320067644119,-0.449662983417511,0.4848858416080475,-0.007030300796031952
12.054550170898438,-78.90788269042969,66.67789459228516,-0.31632187962532043,0.11946240067481995,-0.5199228525161743,0.39353054761886597,0.0
36.86154556274414,-85.33061981201172,48.00681686401367,-0.9489656686782837,0.2810879945755005,-0.5339747667312622,0.2600112557411194,-0.007030300796031952
58.97212600708008,-82.38818359375,23.069854736328125,-0.6959081292152405,0.40055039525032043,-0.5058708786964417,0.09838263690471649,-0.007030300796031952
75.18232727050781,-72.07383728027344,-3.481048107147217,-0.6326437592506409,0.484876811504364,-0.428585022687912,-0.07027330994606018,0.0
84.06462097167969,-55.81134796142578,-28.291427612304688,-0.0316321887075901,0.5270400047302246,-0.30211731791496277,-0.23190192878246307,0.0
83.8742904663086,-32.17695236206055,-51.867618560791016,-0.28468969464302063,0.5059583783149719,-0.14754566550254822,-0.37244853377342224,0.0
75.43610382080078,-5.441923141479492,-70.15894317626953,-0.31632187962532043,0.44974079728126526,0.014051968231797218,-0.4708311855792999,0.0
61.160980224609375,19.964263916015625,-81.51982116699219,-0.6959081292152405,0.3513599932193756,0.1826755851507187,-0.5270498394966125,0.0
40.160682678222656,44.484554290771484,-84.90592956542969,-0.44285064935684204,0.1967616081237793,0.33724722266197205,-0.5340771675109863,0.0
14.084789276123047,65.14488220214844,-79.30460357666016,-0.09489656239748001,0.04216320067644119,0.44263699650764465,-0.49191316962242126,0.007030300796031952
-12.181439399719238,79.12935638427734,-66.80448150634766,0.18979312479496002,-0.11243519932031631,0.5199228525161743,-0.40055787563323975,0.007030300796031952
-36.86154556274414,85.55209350585938,-48.259986877441406,0.6959081292152405,-0.27406081557273865,0.5339747667312622,-0.2600112557411194,0.007030300796031952
-58.9086799621582,82.48310089111328,-23.323022842407227,0.5061150193214417,-0.3935232162475586,0.5128968358039856,-0.10540996491909027,0.0
