220kV I段母线电压_A_1,220kV I段母线电压_B_2,220kV I段母线电压_C_3,220kV I段母线电压_N_4,220kV苏腾线电流_A_21,220kV苏腾线电流_B_22,220kV苏腾线电流_C_23,220kV苏腾线电流_N_24
-85.20687866210938,48.33537292480469,36.039432525634766,-1.4789960384368896,0.399834007024765,-0.1753000020980835,-0.22075200080871582,0.0034940000623464584
-82.86827087402344,22.33037757873535,59.61417770385742,-1.5576659440994263,0.37364399433135986,-0.05784900113940239,-0.31010401248931885,0.0
-71.30110931396484,-3.5489909648895264,74.24207305908203,-0.8339020013809204,0.3055500090122223,0.056095998734235764,-0.3836880028247833,-0.010482000187039375
-55.24551773071289,-28.528024673461914,83.2519302368164,-0.6608279943466187,0.20951999723911285,0.17705300450325012,-0.4187279939651489,-0.01572299934923649
-32.037784576416016,-52.721885681152344,84.26002502441406,-0.692296028137207,0.09952200204133987,0.2804799973964691,-0.39770400524139404,-0.012229000218212605
-3.880189895629883,-70.68669128417969,74.63060760498047,0.17307400703430176,-0.010475999675691128,0.36111798882484436,-0.343392014503479,-0.0034940000623464584
20.449649810791016,-82.06649017333984,61.37834548950195,-0.3776159882545471,-0.13444200158119202,0.40494298934936523,-0.254040002822876,-0.0034940000623464584
44.297088623046875,-85.10250091552734,40.470855712890625,-0.4562860131263733,-0.2461860030889511,0.40143701434135437,-0.14191199839115143,-0.0034940000623464584
66.60293579101562,-78.72688293457031,12.643203735351562,1.0069760084152222,-0.3265019953250885,0.362870991230011,-0.022776000201702118,-0.0034940000623464584
79.19782257080078,-67.15863800048828,-11.656109809875488,0.7552319765090942,-0.38062798976898193,0.2874920070171356,0.10336799919605255,-0.0034940000623464584
85.24882507324219,-48.32490539550781,-36.06043243408203,1.5261980295181274,-0.3980880081653595,0.1753000020980835,0.21899999678134918,-0.006988000124692917
83.01509094238281,-22.424598693847656,-59.64567947387695,1.6835379600524902,-0.3771359920501709,0.05259000137448311,0.3030959963798523,-0.006988000124692917
71.19624328613281,3.224452018737793,-74.06355285644531,0.5978919863700867,-0.3177720010280609,-0.07011999934911728,0.37142398953437805,-0.0017470000311732292
55.329410552978516,28.4233341217041,-83.2624282836914,0.7552319765090942,-0.21650399267673492,-0.18581800162792206,0.4082159996032715,0.006988000124692917
32.29996109008789,52.48109817504883,-84.3020248413086,0.692296028137207,-0.09777600318193436,-0.2787269949913025,0.3994559943675995,0.012229000218212605
3.8592159748077393,70.69715881347656,-74.53609466552734,-0.04720199853181839,0.015714000910520554,-0.35410600900650024,0.3486480116844177,0.010482000187039375
-20.355266571044922,82.11883544921875,-61.38884735107422,0.5349559783935547,0.13618800044059753,-0.40143701434135437,0.25754401087760925,0.0034940000623464584
-44.055885314941406,84.93499755859375,-40.63887023925781,0.3461480140686035,0.24269400537014008,-0.4031899869441986,0.1401599943637848,0.0017470000311732292
-66.56098937988281,78.92578887939453,-12.706210136413574,-0.7394980192184448,0.324755996465683,-0.3646239936351776,0.021023999899625778,0.0034940000623464584
-79.2607421875,67.0853500366211,11.656109809875488,-0.928305983543396,0.3788819909095764,-0.29099801182746887,-0.10512000322341919,0.0017470000311732292
-85.1963882446289,48.51334762573242,35.77690887451172,-1.5734000205993652,0.39459601044654846,-0.17880600690841675,-0.22250400483608246,0.0
-82.92070770263672,22.59210205078125,59.44615936279297,-1.4789960384368896,0.37364399433135986,-0.056095998734235764,-0.308351993560791,0.0017470000311732292
-71.39549255371094,-3.2872660160064697,74.17906188964844,-0.7867000102996826,0.3177720010280609,0.06836699694395065,-0.37142398953437805,0.0017470000311732292
-55.413307189941406,-28.224424362182617,83.346435546875,-0.5034880042076111,0.22698000073432922,0.19633600115776062,-0.39770400524139404,0.0017470000311732292
-32.237037658691406,-52.4392204284668,84.37553405761719,-0.5349559783935547,0.10999800264835358,0.29099801182746887,-0.38894400000572205,-0.0017470000311732292
-4.079442977905273,-70.58200073242188,74.651611328125,0.03146800026297569,-0.015714000910520554,0.35410600900650024,-0.35040000081062317,-0.010482000187039375
20.187475204467773,-82.06649017333984,61.48335647583008,-0.4877539873123169,-0.1431719958782196,0.3909189999103546,-0.26630398631095886,-0.01572299934923649
44.013938903808594,-85.16531372070312,40.73337936401367,-0.5034880042076111,-0.25142401456832886,0.3909189999103546,-0.15242399275302887,-0.013976000249385834
66.4246597290039,-78.83157348632812,12.84272289276123,0.9125720262527466,-0.328247994184494,0.35936498641967773,-0.026280000805854797,-0.008735000155866146
79.1453857421875,-67.27379608154297,-11.435588836669922,0.8339020013809204,-0.38237398862838745,0.2874920070171356,0.10161600261926651,-0.005241000093519688
85.1963882446289,-48.54475402832031,-35.77690887451172,1.5261980295181274,-0.396342009305954,0.17880600690841675,0.22075200080871582,-0.0034940000623464584
83.13044738769531,-22.602571487426758,-59.48816680908203,1.6992720365524292,-0.37189799547195435,0.05784900113940239,0.308351993560791,-0.0017470000311732292
71.33257293701172,3.0464789867401123,-73.91654205322266,0.692296028137207,-0.3160260021686554,-0.06661400198936462,0.37142398953437805,0.0
55.4972038269043,28.151140213012695,-83.29393005371094,0.5821580290794373,-0.2234880030155182,-0.19282999634742737,0.3994559943675995,0.0
32.53067398071289,52.2193717956543,-84.52255249023438,0.4877539873123169,-0.11349000036716461,-0.298009991645813,0.38018399477005005,-0.005241000093519688
4.027008056640625,70.49824523925781,-74.7461166381836,-0.20454199612140656,0.0,-0.37338900566101074,0.33112800121307373,-0.008735000155866146
-20.281858444213867,81.99320983886719,-61.5988655090332,0.29894599318504333,0.12571200728416443,-0.41370800137519836,0.24703200161457062,-0.005241000093519688
