110kV I母电压A相_1,110kV I母电压B相_2,110kV I母电压C相_3,110kV I母电压3U0_4,110kV响平格凤线194A相_9,110kV响平格凤线194B相_10,110kV响平格凤线194C相_11,110kV响平格凤线1943I0_12
84.86907196044922,-56.57899475097656,-27.710403442382812,0.9343799948692322,-1.235437035560608,0.19437600672245026,1.055184006690979,0.027824999764561653
83.85648345947266,-35.5372200012207,-48.40485763549805,-0.2024489939212799,-1.20756995677948,-0.09256000071763992,1.3421200513839722,0.009274999611079693
81.09014892578125,-16.365825653076172,-64.44280242919922,0.5762010216712952,-1.086812973022461,-0.26842400431632996,1.3791439533233643,0.0
71.0060806274414,6.265772819519043,-77.435302734375,-0.12458399683237076,-0.743120014667511,-0.5090799927711487,1.3050960302352905,-0.009274999611079693
56.276649475097656,26.97503662109375,-83.95233917236328,-0.9188070297241211,-0.3158259987831116,-0.6849439740180969,1.0644400119781494,0.0
37.643035888671875,47.79859924316406,-85.49064636230469,0.32703301310539246,0.13004599511623383,-0.9441120028495789,0.8515520095825195,-0.018549999222159386
17.610593795776367,63.39549255371094,-81.68644714355469,-0.7786499857902527,0.39942699670791626,-1.055184006690979,0.6849439740180969,-0.018549999222159386
-2.453165054321289,74.30603790283203,-72.1447525024414,-0.12458399683237076,0.86387699842453,-1.203279972076416,0.3887520134449005,-0.03709999844431877
-23.769603729248047,80.59259796142578,-56.78242111206055,0.3426060080528259,1.2633039951324463,-1.3236080408096313,0.09256000071763992,-0.03709999844431877
-49.06330108642578,85.48675537109375,-36.68042755126953,-0.12458399683237076,1.3747719526290894,-1.055184006690979,-0.3147040009498596,-0.04637499898672104
-62.466976165771484,78.774169921875,-16.380943298339844,0.1557299941778183,1.4490840435028076,-0.8237839937210083,-0.5923839807510376,-0.009274999611079693
-75.63055419921875,70.60684204101562,4.625329971313477,-0.4204710125923157,1.6348639726638794,-0.5738720297813416,-0.9996479749679565,-0.009274999611079693
-84.7229232788086,56.329612731933594,27.741586685180664,-0.8720880150794983,1.486240029335022,-0.2313999980688095,-1.2217919826507568,-0.018549999222159386
-83.57463073730469,35.60995864868164,47.781219482421875,-0.015572999604046345,1.216858983039856,0.055535998195409775,-1.249559998512268,0.018549999222159386
-81.13190460205078,16.428171157836914,64.46358489990234,-0.2647410035133362,1.0125010013580322,0.17586399614810944,-1.1847679615020752,0.009274999611079693
-70.99563598632812,-6.795713901519775,77.7055435180664,0.04671899974346161,0.6780970096588135,0.47205600142478943,-1.1662559509277344,0.027824999764561653
-56.48542785644531,-26.912689208984375,83.96273040771484,1.1056829690933228,0.3158259987831116,0.6479200124740601,-0.9811360239982605,0.018549999222159386
-37.31942367553711,-47.746646881103516,84.78385925292969,-0.32703301310539246,-0.1579129993915558,0.9070879817008972,-0.8145279884338379,0.027824999764561653
-17.48532485961914,-63.55135726928711,81.29147338867188,0.669638991355896,-0.436583012342453,0.9626240134239197,-0.5923839807510376,0.04637499898672104
2.724579095840454,-74.52425384521484,71.82254028320312,0.18687599897384644,-0.9010329842567444,1.203279972076416,-0.3147040009498596,0.018549999222159386
24.249797821044922,-81.41348266601562,56.761634826660156,-0.5139089822769165,-1.3747719526290894,1.4346799850463867,-0.09256000071763992,0.04637499898672104
48.75012969970703,-85.39323425292969,36.70121383666992,0.24916799366474152,-1.4026390314102173,1.0829520225524902,0.2961919903755188,0.03709999844431877
62.35214614868164,-78.81573486328125,16.15227508544922,-0.4048979878425598,-1.3840609788894653,0.8052719831466675,0.5553600192070007,0.03709999844431877
75.6201171875,-70.82505798339844,-4.510995864868164,0.5294820070266724,-1.5326850414276123,0.5275920033454895,0.9626240134239197,0.04637499898672104
85.07785034179688,-56.57899475097656,-27.95985984802246,0.8565149903297424,-1.4119280576705933,0.27768000960350037,1.1384880542755127,0.018549999222159386
83.47024536132812,-35.27744674682617,-48.19697952270508,-0.10901100188493729,-1.3097490072250366,-0.018511999398469925,1.2958400249481201,0.009274999611079693
80.87093353271484,-16.11644172668457,-64.55713653564453,0.4671899974346161,-1.0217900276184082,-0.2221439927816391,1.2310479879379272,0.0
70.66159057617188,6.546329975128174,-77.37293243408203,-0.17130300402641296,-0.5944960117340088,-0.462799996137619,1.101464033126831,-0.018549999222159386
56.276649475097656,27.380285263061523,-84.38888549804688,-0.949953019618988,-0.25080299377441406,-0.7219679951667786,1.055184006690979,-0.009274999611079693
37.52820587158203,47.86094665527344,-85.48025512695312,0.24916799366474152,0.06502299755811691,-1.0366719961166382,1.0274159908294678,-0.009274999611079693
17.391374588012695,63.4162712097168,-81.33305358886719,-0.5294820070266724,0.33440399169921875,-1.101464033126831,0.8052719831466675,-0.027824999764561653
-2.6828229427337646,74.06704711914062,-71.7913589477539,-0.4048979878425598,0.7802760004997253,-1.1107200384140015,0.3794960081577301,-0.027824999764561653
-24.3228702545166,80.71728515625,-56.25232696533203,0.5450549721717834,1.2540149688720703,-1.2125359773635864,-0.009255999699234962,-0.03709999844431877
-49.3555908203125,85.73613739013672,-36.76357650756836,-0.38932499289512634,1.4397950172424316,-0.9718800187110901,-0.3887520134449005,-0.027824999764561653
-62.21643829345703,78.5040054321289,-16.225034713745117,0.37375199794769287,1.458372950553894,-0.8145279884338379,-0.6108959913253784,-0.027824999764561653
-75.3173828125,70.46137237548828,4.438238143920898,-0.4671899974346161,1.5512629747390747,-0.5923839807510376,-0.9163439869880676,-0.03709999844431877
-84.96302032470703,56.34000015258789,27.887102127075195,-0.9188070297241211,1.4212169647216797,-0.3147040009498596,-1.0829520225524902,0.0
