17-110kV_II母Ua_17,18-110kV_II母Ub_18,19-110kV_II母Uc_19,20-110kV_II母3Uo_20,37-110kV新河II回线Ia_37,38-110kV新河II回线Ib_38,39-110kV新河II回线Ic_39,40-110kV新河II回线3Io_40
-22.282798767089844,82.85347747802734,-59.949119567871094,0.5904785990715027,-0.15538911521434784,0.44890186190605164,-0.293512761592865,-0.03453091159462929
-27.34848403930664,83.94120025634766,-56.002235412597656,0.5594007968902588,-0.18992002308368683,0.4661673307418823,-0.258981853723526,0.0
-32.3209342956543,84.65599060058594,-51.77565002441406,0.4972451627254486,-0.22445093095302582,0.44890186190605164,-0.258981853723526,0.0
-37.29338836669922,85.05999755859375,-47.36260223388672,0.37293386459350586,-0.258981853723526,0.44890186190605164,-0.22445093095302582,-0.017265455797314644
-42.04829406738281,85.12215423583984,-42.700927734375,0.21754474937915802,-0.258981853723526,0.4661673307418823,-0.20718547701835632,-0.03453091159462929
-46.678890228271484,84.8113784790039,-37.91494369506836,0.09323346614837646,-0.293512761592865,0.44890186190605164,-0.18992002308368683,-0.03453091159462929
-51.02978515625,84.2519760131836,-33.00464630126953,0.062155645340681076,-0.293512761592865,0.44890186190605164,-0.15538911521434784,-0.03453091159462929
-55.132057189941406,83.44395446777344,-28.125429153442383,0.062155645340681076,-0.34530913829803467,0.4661673307418823,-0.12085819989442825,-0.017265455797314644
-58.954627990722656,82.26299285888672,-23.18405532836914,0.12431129068136215,-0.36257457733154297,0.44890186190605164,-0.08632728457450867,0.0
-62.59073257446289,80.7712631225586,-18.118370056152344,0.15538911521434784,-0.37984004616737366,0.43163642287254333,-0.06906182318925858,-0.017265455797314644
-66.00929260253906,79.06198120117188,-12.990530014038086,0.18646693229675293,-0.36257457733154297,0.41437095403671265,-0.05179636925458908,-0.03453091159462929
-69.24138641357422,76.97976684570312,-7.769455432891846,0.062155645340681076,-0.39710551500320435,0.39710551500320435,-0.017265455797314644,0.0
-72.22486114501953,74.55569458007812,-2.4862258434295654,-0.15538911521434784,-0.43163642287254333,0.37984004616737366,0.017265455797314644,-0.03453091159462929
-75.02186584472656,71.82084655761719,2.8280818462371826,-0.37293386459350586,-0.43163642287254333,0.36257457733154297,0.03453091159462929,-0.017265455797314644
-77.44593048095703,68.86845397949219,8.111311912536621,-0.5594007968902588,-0.43163642287254333,0.328043669462204,0.08632728457450867,0.0
-79.5592269897461,65.54312896728516,13.332386016845703,-0.6837120652198792,-0.43163642287254333,0.3107782304286957,0.08632728457450867,0.0
-81.2374267578125,62.09348678588867,18.522382736206055,-0.7458677291870117,-0.43163642287254333,0.3107782304286957,0.13812364637851715,-0.03453091159462929
-82.63592529296875,58.333072662353516,23.68130111694336,-0.6837120652198792,-0.44890186190605164,0.258981853723526,0.15538911521434784,0.0
-83.5993423461914,54.29295349121094,28.71590805053711,-0.4972451627254486,-0.43163642287254333,0.2417163997888565,0.18992002308368683,-0.017265455797314644
-84.28305053710938,49.97313690185547,33.688358306884766,-0.43508949875831604,-0.44890186190605164,0.20718547701835632,0.22445093095302582,0.0
-84.62490844726562,45.49793243408203,38.598655700683594,-0.3107782304286957,-0.43163642287254333,0.18992002308368683,0.258981853723526,0.0
-84.65599060058594,40.74302291870117,43.229251861572266,-0.3107782304286957,-0.43163642287254333,0.15538911521434784,0.2762472927570343,0.0
-84.40736389160156,35.8948860168457,47.73553466796875,-0.40401169657707214,-0.4661673307418823,0.13812364637851715,0.293512761592865,0.0
-83.78580474853516,30.984588623046875,52.02427291870117,-0.43508949875831604,-0.43163642287254333,0.12085819989442825,0.328043669462204,0.0
-82.88455200195312,25.981060028076172,56.12654495239258,-0.43508949875831604,-0.43163642287254333,0.06906182318925858,0.36257457733154297,0.0
-81.67251586914062,20.977529525756836,59.98019790649414,-0.43508949875831604,-0.43163642287254333,0.06906182318925858,0.37984004616737366,-0.017265455797314644
-80.14970397949219,15.818611145019531,63.58522415161133,-0.37293386459350586,-0.43163642287254333,0.03453091159462929,0.39710551500320435,-0.03453091159462929
-78.31610870361328,10.628615379333496,66.97270965576172,-0.18646693229675293,-0.41437095403671265,0.0,0.43163642287254333,0.0
-76.07850646972656,5.345385551452637,70.17372131347656,-0.062155645340681076,-0.39710551500320435,-0.03453091159462929,0.41437095403671265,0.0
-73.59228515625,0.031077822670340538,73.09503936767578,0.12431129068136215,-0.36257457733154297,-0.05179636925458908,0.43163642287254333,0.0
-70.85743713378906,-5.314307689666748,75.76773071289062,0.3107782304286957,-0.36257457733154297,-0.06906182318925858,0.43163642287254333,-0.03453091159462929
-67.81180572509766,-10.628615379333496,78.12964630126953,0.3418560326099396,-0.328043669462204,-0.10359273850917816,0.43163642287254333,0.0
-64.5175552368164,-15.880766868591309,80.11862182617188,0.43508949875831604,-0.3107782304286957,-0.12085819989442825,0.4661673307418823,0.0
-60.943607330322266,-21.10184097290039,81.7657470703125,0.43508949875831604,-0.293512761592865,-0.13812364637851715,0.4661673307418823,0.0
-57.05887985229492,-26.198604583740234,83.0399398803711,0.37293386459350586,-0.258981853723526,-0.20718547701835632,0.4661673307418823,0.017265455797314644
-52.956607818603516,-31.233211517333984,83.91011810302734,0.40401169657707214,-0.22445093095302582,-0.20718547701835632,0.4661673307418823,0.0
-48.543556213378906,-36.14350891113281,84.43844604492188,0.37293386459350586,-0.20718547701835632,-0.2417163997888565,0.4661673307418823,0.0
-43.88188552856445,-40.9605712890625,84.59383392333984,0.3418560326099396,-0.18992002308368683,-0.258981853723526,0.4661673307418823,0.0
