220kV I母电压_Ua_1,220kV I母电压_Ub_2,220kV I母电压_Uc_3,220kV I母电压_3U0_4,220kV普开I回线_Ia_5,220kV普开I回线_Ib_6,220kV普开I回线_Ic_7,220kV普开I回线_3I0_8
50.993324279785156,-86.19204711914062,33.93548583984375,-1.784129023551941,0.43022099137306213,-0.03522900119423866,0.25540199875831604,0.0781790018081665
54.96775817871094,-84.6054458618164,28.378660202026367,-1.9789040088653564,0.41266098618507385,-0.03522900119423866,0.1849460005760193,0.05211799964308739
58.82319641113281,-82.84432220458984,22.97244644165039,-1.706218957901001,0.482901006937027,-0.008808000013232231,0.1849460005760193,0.1216140016913414
62.06779479980469,-80.8927993774414,17.891239166259766,-1.1998039484024048,0.47412100434303284,-0.02642199955880642,0.1497180014848709,0.060805000364780426
65.2409896850586,-79.01268005371094,13.261871337890625,-0.6855980157852173,0.47412100434303284,0.026419999077916145,0.10568299889564514,0.05211799964308739
68.3507308959961,-77.33882141113281,8.814824104309082,0.007801000028848648,0.5180209875106812,-9.999999974752427e-07,0.14091099798679352,0.05211799964308739
71.57946014404297,-75.63322448730469,4.3915581703186035,0.5531709790229797,0.5531409978866577,0.008806000463664532,0.1497180014848709,0.05211799964308739
74.78439331054688,-73.8800277709961,-0.38049599528312683,1.0362130403518677,0.5268009901046753,0.026419999077916145,0.10568299889564514,0.06949199736118317
77.8386001586914,-71.61119079589844,-5.4458489418029785,1.5504189729690552,0.570701003074646,0.06164800003170967,0.05284100025892258,0.06949199736118317
80.63894653320312,-69.15989685058594,-10.653887748718262,1.4491360187530518,0.5531409978866577,0.06164800003170967,0.04403400048613548,0.02605699934065342
83.3837661743164,-66.20088958740234,-16.313766479492188,1.558210015296936,0.5180209875106812,0.10568299889564514,0.04403400048613548,0.0781790018081665
85.68433380126953,-62.76589584350586,-22.17181968688965,1.2465699911117554,0.5443609952926636,0.10568299889564514,0.11449000239372253,0.05211799964308739
87.15987396240234,-58.442413330078125,-28.14877700805664,0.9193480014801025,0.570701003074646,0.1673319935798645,-9.999999974752427e-07,0.060805000364780426
88.04837036132812,-53.83333969116211,-33.85621643066406,0.5921260118484497,0.5268009901046753,0.1761389970779419,-0.03522900119423866,0.0781790018081665
88.42121887207031,-49.06560516357422,-39.246578216552734,0.3194409906864166,0.509240984916687,0.08806899935007095,-0.07045699656009674,0.05211799964308739
88.23876190185547,-43.806026458740234,-44.264366149902344,0.2571130096912384,0.5443609952926636,0.1585250049829483,-0.10568500310182571,0.060805000364780426
87.23920440673828,-38.31639099121094,-48.8144645690918,0.18699400126934052,0.5443609952926636,0.1497180014848709,-0.11449199914932251,0.01737000048160553
85.7081298828125,-32.92195129394531,-52.666988372802734,0.05454700067639351,0.570701003074646,0.19375300407409668,-0.07045699656009674,0.11292699724435806
84.34365844726562,-27.590974807739258,-56.70183181762695,0.07791999727487564,0.5180209875106812,0.20255999267101288,-0.11449199914932251,0.04343099892139435
82.28107452392578,-22.41072654724121,-59.72201919555664,0.37397798895835876,0.482901006937027,0.24659499526023865,-0.09687799960374832,0.06949199736118317
80.2898941040039,-17.103548049926758,-62.92452621459961,0.24932199716567993,0.47412100434303284,0.26420900225639343,-0.09687799960374832,0.060805000364780426
78.36217498779297,-12.319950103759766,-65.80995178222656,0.27269500494003296,0.5180209875106812,0.3346650004386902,-0.10568500310182571,0.06949199736118317
76.53758239746094,-7.266629219055176,-69.09172821044922,0.27269500494003296,0.482901006937027,0.36108601093292236,-0.07045699656009674,0.13030099868774414
74.92718505859375,-2.2767720222473145,-72.41314697265625,0.2571130096912384,0.482901006937027,0.3170509934425354,-0.1409129947423935,0.05211799964308739
72.94393920898438,2.9272758960723877,-75.5443115234375,0.2882770001888275,0.4916810095310211,0.3346650004386902,-0.09687799960374832,0.05211799964308739
70.64336395263672,8.083725929260254,-78.73096466064453,0.03117400035262108,0.4916810095310211,0.36108601093292236,-0.09687799960374832,0.060805000364780426
67.97787475585938,13.644759178161621,-81.6560287475586,-0.19476500153541565,0.5004609823226929,0.36108601093292236,-0.10568500310182571,0.0781790018081665
65.11406707763672,19.055065155029297,-84.3829116821289,-0.6310610175132751,0.41266098618507385,0.4491559863090515,-0.1232990026473999,0.05211799964308739
61.59974670410156,24.6319637298584,-86.68174743652344,-0.9972379803657532,0.36876100301742554,0.41392800211906433,-0.09687799960374832,0.0781790018081665
57.07793426513672,30.097801208496094,-87.88665008544922,-1.2309679985046387,0.30730101466178894,0.4403490126132965,-0.11449199914932251,0.0781790018081665
52.50852966308594,35.254249572753906,-88.65557098388672,-1.4413249492645264,0.333640992641449,0.4931910037994385,-0.11449199914932251,0.13030099868774414
47.288612365722656,40.46623229980469,-88.63179016113281,-1.4880709648132324,0.3160809874534607,0.5196120142936707,-0.1321060061454773,0.0781790018081665
41.83864212036133,45.337093353271484,-87.95006561279297,-1.3478330373764038,0.28974100947380066,0.4843840003013611,-0.08807100355625153,0.14767499268054962
36.198280334472656,49.62884521484375,-86.404296875,-1.1141029596328735,0.2809610068798065,0.528419017791748,-0.08807100355625153,0.06949199736118317
30.780040740966797,53.801605224609375,-84.7713394165039,-0.46744999289512634,0.2721810042858124,0.4843840003013611,-0.11449199914932251,0.08686599880456924
25.266605377197266,57.799835205078125,-83.06703186035156,-0.015572000294923782,0.2721810042858124,0.5108050107955933,-0.09687799960374832,0.11292699724435806
20.01495933532715,61.31415557861328,-80.95052337646484,0.5687530040740967,0.23706099390983582,0.5019980072975159,-0.10568500310182571,0.06949199736118317
