110kV I母_1,110kV I母_2,110kV I母_3,110kV I母_4,110kV东迁线 I回_17,110kV东迁线 I回_18,110kV东迁线 I回_19,110kV东迁线 I回_20
-79.78258514404297,64.99056243896484,14.633072853088379,-0.19452400505542755,-0.20317000150680542,0.1383499950170517,0.04757300019264221,0.0346050001680851
-81.44085693359375,61.67931365966797,19.904582977294922,0.3268029987812042,-0.19020099937915802,0.13402700424194336,0.06054199859499931,0.030282000079751015
-82.95608520507812,57.63164138793945,24.895299911499023,-0.45129698514938354,-0.21613900363445282,0.11673499643802643,0.06918799877166748,-0.0043020001612603664
-83.70840454101562,53.34026336669922,29.71647834777832,-0.9415000081062317,-0.17290900647640228,0.1253809928894043,0.07783400267362595,2.099999983329326e-05
-83.88853454589844,49.017093658447266,34.43699645996094,-0.5135449767112732,-0.18155500292778015,0.10808899998664856,0.09080299735069275,0.030282000079751015
-83.7295913696289,44.46611022949219,39.162811279296875,-0.02334200032055378,-0.17290900647640228,0.06053600087761879,0.12538699805736542,-0.008624999783933163
-83.33224487304688,39.7191047668457,43.79326629638672,0.4357370138168335,-0.17723199725151062,0.06053600087761879,0.15132500231266022,0.004344000015407801
-82.93489074707031,34.84494400024414,48.16941452026367,0.21008799970149994,-0.21613900363445282,0.02595200017094612,0.14267900586128235,2.099999983329326e-05
-82.36801147460938,29.965486526489258,52.48198318481445,0.35014599561691284,-0.1858779937028885,0.03892099857330322,0.18590900301933289,0.02595899999141693
-81.36138916015625,24.995962142944336,56.50846481323242,0.4279560148715973,-0.17723199725151062,0.01298299990594387,0.18590900301933289,2.099999983329326e-05
-80.67264556884766,19.89398765563965,60.619712829589844,-0.031122999265789986,-0.1858779937028885,1.4000000192027073e-05,0.22049300372600555,0.021635999903082848
-79.42761993408203,14.564200401306152,64.27003479003906,-0.8247849941253662,-0.17290900647640228,-0.02592400088906288,0.20752400159835815,-0.0043020001612603664
-77.6421890258789,9.377457618713379,67.92565155029297,-0.4123919904232025,-0.1858779937028885,-0.03889299929141998,0.21616999804973602,2.099999983329326e-05
-75.45411682128906,3.9734981060028076,71.08856201171875,-0.4201729893684387,-0.14697100222110748,-0.021601000800728798,0.22049300372600555,0.030282000079751015
-73.0912094116211,-1.313905954360962,74.03424835205078,-0.5135449767112732,-0.17290900647640228,-0.030246999114751816,0.22049300372600555,-0.0043020001612603664
-70.32035827636719,-6.4847540855407715,76.6567611694336,-0.07002799957990646,-0.14264799654483795,-0.030246999114751816,0.21616999804973602,0.0346050001680851
-67.0832748413086,-11.459575653076172,78.72827911376953,0.5602329969406128,-0.12967899441719055,-0.07779999822378159,0.21184700727462769,0.03892799839377403
-63.67666244506836,-16.344331741333008,80.78919982910156,1.439486026763916,-0.13400200009346008,-0.06915400177240372,0.21616999804973602,0.008666999638080597
-60.24885940551758,-21.541669845581055,82.24614715576172,0.9259399771690369,-0.12103299796581268,-0.10806100070476532,0.21184700727462769,0.0346050001680851
-56.42900085449219,-26.728412628173828,83.06204223632812,-0.08558999747037888,-0.11670999974012375,-0.12103000283241272,0.22049300372600555,-0.008624999783933163
-52.148216247558594,-31.60787010192871,83.65011596679688,-0.08558999747037888,-0.08212599903345108,-0.12535299360752106,0.21616999804973602,0.043251000344753265
-47.4700813293457,-36.35487747192383,83.85674285888672,0.05446799844503403,-0.06915699690580368,-0.142645001411438,0.19455499947071075,0.0346050001680851
-42.6912841796875,-41.18665313720703,83.6554183959961,-0.3579249978065491,-0.04321900010108948,-0.15993699431419373,0.22049300372600555,0.030282000079751015
-37.705867767333984,-45.92836380004883,83.19979095458984,-0.6847270131111145,-0.038895998150110245,-0.1556140035390854,0.21184700727462769,0.05621999874711037
-32.6038932800293,-50.267425537109375,82.69117736816406,-0.2723340094089508,-0.008635000325739384,-0.15129099786281586,0.22913900017738342,0.043251000344753265
-27.51781463623047,-54.53231430053711,82.02363586425781,-0.015561000443994999,-0.008635000325739384,-0.1556140035390854,0.22049300372600555,0.06486599892377853
-22.62775993347168,-58.389259338378906,81.0911865234375,0.12449699640274048,-0.012958000414073467,-0.1556140035390854,0.22049300372600555,0.05621999874711037
-17.73240852355957,-62.304481506347656,80.06867218017578,0.015562999993562698,0.004333999939262867,-0.1685830056667328,0.21616999804973602,0.06486599892377853
-12.799969673156738,-65.88593292236328,78.5693359375,-0.3890489935874939,0.05188700184226036,-0.15129099786281586,0.22049300372600555,0.08215799927711487
-7.862234115600586,-69.31903076171875,76.65145874023438,-0.9103760123252869,0.0691789984703064,-0.15129099786281586,0.21184700727462769,0.10377299785614014
-2.972179889678955,-72.37068176269531,74.45278930664062,-1.618446946144104,0.09944000095129013,-0.15129099786281586,0.23346200585365295,0.177264004945755
1.6953580379486084,-75.39054107666016,71.44352722167969,-4.007214069366455,0.1729310005903244,-0.142645001411438,0.31992200016975403,0.3199230134487152
-20.76816177368164,-67.92036437988281,13.239699363708496,-136.60324096679688,4.253842830657959,-0.7565109729766846,6.415351867675781,10.24120807647705
2.368204116821289,-40.76811218261719,5.541705131530762,-54.350284576416016,4.941199779510498,-0.37176400423049927,10.180685043334961,14.525300979614258
28.842309951782227,-55.883304595947266,41.446250915527344,24.564617156982422,2.3690149784088135,-0.8429710268974304,8.576851844787598,10.15907096862793
-0.7258279919624329,-80.96403503417969,-5.361578941345215,-147.7689666748047,4.301395893096924,-0.7824490070343018,10.794550895690918,14.361026763916016
15.761548042297363,-84.4607162475586,9.557588577270508,-104.148681640625,3.6788840293884277,-0.246397003531456,11.278726577758789,14.767389297485352
