1-110kV_Ⅰ母电压Ua_1,2-110kV_Ⅰ母电压Ub_2,3-110kV_Ⅰ母电压Uc_3,4-110kV_Ⅰ母电压3Uo_4,5-110kV唐西线电流Ia_5,6-110kV唐西线电流Ib_6,7-110kV唐西线电流Ic_7,8-110kV唐西线电流3Io_8
-74.67808532714844,-1.9325928688049316,75.35448455810547,-1.551969051361084,0.04307468980550766,0.01436332706362009,-0.04312694072723389,0.0
-71.1522445678711,-6.716552257537842,78.42694854736328,1.805351734161377,0.02871645987033844,0.021544991061091423,-0.04312694072723389,-0.007183155044913292
-68.10285949707031,-12.134148597717285,80.13739013671875,0.285055547952652,0.02871645987033844,0.021544991061091423,-0.0503147654235363,-0.007183155044913292
-64.8628921508789,-17.013153076171875,82.10123443603516,1.298586368560791,0.02871645987033844,0.021544991061091423,-0.04312694072723389,0.0
-61.24174880981445,-22.272340774536133,83.05147552490234,-0.3167283833026886,0.02871645987033844,0.02872665412724018,-0.04312694072723389,0.0
-56.921791076660156,-26.83452796936035,84.63522338867188,1.8686974048614502,0.02153734490275383,0.021544991061091423,-0.04312694072723389,0.007183155044913292
-52.69712829589844,-32.03034973144531,84.983642578125,0.6017839312553406,0.01435822993516922,0.02872665412724018,-0.04312694072723389,0.0
-48.02776336669922,-36.941036224365234,85.58546447753906,0.98185795545578,0.02153734490275383,0.043089982122182846,-0.04312694072723389,0.0
-43.48545455932617,-41.82004165649414,85.5221176147461,0.41174688935279846,0.0,0.03590831533074379,-0.04312694072723389,0.007183155044913292
-38.65726852416992,-46.445594787597656,85.3637466430664,0.25338271260261536,0.01435822993516922,0.03590831533074379,-0.03593911975622177,0.007183155044913292
-33.670257568359375,-51.00777816772461,84.82527160644531,-0.22170986235141754,0.00717911496758461,0.050271645188331604,-0.04312694072723389,0.0
-28.524425506591797,-55.31651306152344,84.25511932373047,0.12669135630130768,0.0,0.043089982122182846,-0.03593911975622177,0.0
-23.315065383911133,-59.34010696411133,83.30487823486328,0.41174688935279846,0.0,0.043089982122182846,-0.03593911975622177,0.0
-18.07394027709961,-63.015201568603516,82.00621032714844,0.8551666140556335,0.0,0.050271645188331604,-0.028751295059919357,0.0
-12.769286155700684,-66.59525299072266,80.39079284667969,0.98185795545578,-0.00717911496758461,0.043089982122182846,-0.03593911975622177,0.0
-7.401103496551514,-70.04856872558594,78.39527130126953,0.8234937787055969,-0.00717911496758461,0.050271645188331604,-0.028751295059919357,0.007183155044913292
-2.064685583114624,-73.3434829711914,76.05133819580078,0.38007405400276184,-0.00717911496758461,0.050271645188331604,-0.021563470363616943,0.007183155044913292
3.081146240234375,-76.19485473632812,73.42231750488281,-0.09501851350069046,-0.01435822993516922,0.043089982122182846,-0.028751295059919357,0.007183155044913292
8.004627227783203,-78.6660385131836,70.44488525390625,-0.8551666140556335,-0.01435822993516922,0.050271645188331604,-0.021563470363616943,0.0
12.864579200744629,-80.66199493408203,67.30907440185547,-1.298586368560791,-0.02153734490275383,0.050271645188331604,-0.021563470363616943,0.007183155044913292
17.85158920288086,-82.18272399902344,63.79316329956055,-1.2352406978607178,-0.02153734490275383,0.050271645188331604,-0.014375647529959679,0.007183155044913292
22.870363235473633,-83.48167419433594,59.865482330322266,-1.551969051361084,-0.02153734490275383,0.050271645188331604,-0.014375647529959679,0.007183155044913292
27.952665328979492,-84.30540466308594,55.77942657470703,-1.140222191810608,-0.02153734490275383,0.050271645188331604,-0.007187823764979839,0.007183155044913292
32.87614822387695,-85.09745025634766,51.34494400024414,-1.4886233806610107,-0.02153734490275383,0.050271645188331604,-0.007187823764979839,0.007183155044913292
37.7043342590332,-85.44595336914062,46.8154411315918,-1.5202962160110474,-0.02153734490275383,0.05745330825448036,0.0,0.021549465134739876
42.37369918823242,-85.28754425048828,41.9375114440918,-1.8686974048614502,-0.02153734490275383,0.05745330825448036,0.007187823764979839,0.028732620179653168
-4.859951972961426,-99.54437255859375,-5.448075771331787,-183.44908142089844,0.495358943939209,-0.07899829745292664,0.5103355050086975,0.9194438457489014
22.870363235473633,-79.07789611816406,3.230835437774658,-90.26758575439453,0.3445975184440613,-0.11490661650896072,0.32345205545425415,0.5459197759628296
35.73494338989258,-78.03240203857422,9.945905685424805,-54.857357025146484,0.40203043818473816,-0.06463497132062912,0.27313730120658875,0.5962018966674805
40.467838287353516,-79.67985534667969,11.878071784973145,-47.12918472290039,0.5168963074684143,-0.06463497132062912,0.2515738308429718,0.7039492130279541
47.74188232421875,-67.60906982421875,25.846683502197266,9.81857967376709,0.6891950368881226,-0.15799659490585327,0.28751295804977417,0.8116965293884277
53.1735954284668,-65.42301940917969,25.08648681640625,22.804443359375,0.8614938259124756,-0.16517825424671173,0.3090764284133911,1.0128248929977417
44.37485885620117,-56.488739013671875,8.55221176147461,-7.221406936645508,1.0337926149368286,-0.1867232471704483,0.28751295804977417,1.1205722093582153
45.391319274902344,-59.72028732299805,7.982064247131348,-9.375160217285156,1.1917331218719482,-0.19390490651130676,0.23001036047935486,1.228319525718689
47.71011734008789,-59.59355926513672,9.85088062286377,-2.4388084411621094,1.3712109327316284,-0.24417655169963837,0.17969559133052826,1.307334303855896
50.25127029418945,-74.86421203613281,6.683394908905029,-31.736183166503906,1.5578680038452148,-0.31599318981170654,0.12938082218170166,1.3647994995117188
46.05836868286133,-53.478965759277344,4.339455604553223,-5.194345474243164,1.7158085107803345,-0.2513582110404968,0.04312694072723389,1.5012794733047485
