21-500kV思墨乙线电压Ua_21,22-500kV思墨乙线电压Ub_22,23-500kV思墨乙线电压Uc_23,24-500kV思墨乙线电压3Uo_24,29-500kV思墨乙线电流Ia_29,30-500kV思墨乙线电流Ib_30,31-500kV思墨乙线电流Ic_31,32-500kV思墨乙线电流3Io_32
87.57730102539062,-35.83272933959961,-50.56361770629883,0.7147899270057678,-0.2693411111831665,0.05870255082845688,0.20373238623142242,-0.0069061825051903725
85.30862426757812,-23.059743881225586,-61.285465240478516,0.40401169657707214,-0.2624349296092987,0.010359274223446846,0.23481020331382751,-0.0069061825051903725
80.89556884765625,-9.727357864379883,-70.23587799072266,0.2797003984451294,-0.2486225664615631,-0.03107782080769539,0.2658880352973938,-0.0034530912525951862
73.93413543701172,3.8225722312927246,-77.44593048095703,-0.7458677291870117,-0.19682620465755463,-0.07596801221370697,0.2762472927570343,0.013812365010380745
57.866905212402344,14.886277198791504,-85.12215423583984,-24.14746856689453,0.041437096893787384,-0.12085819244384766,0.2727942168712616,0.20027929544448853
36.76506423950195,25.204113006591797,-91.33772277832031,-53.547088623046875,0.293512761592865,-0.18301384150981903,0.2486225664615631,0.36602768301963806
17.99405860900879,38.443267822265625,-92.17681884765625,-63.58522415161133,0.4799796938896179,-0.2555287480354309,0.20718547701835632,0.43163642287254333
8.23562240600586,56.157623291015625,-85.80587005615234,-37.26231002807617,0.5973848104476929,-0.3418560326099396,0.16920147836208344,0.42473024129867554
6.246642112731934,74.43138122558594,-75.7988052368164,10.442148208618164,0.6422749757766724,-0.39365240931510925,0.15538911521434784,0.40055859088897705
3.605027437210083,85.30862426757812,-68.77522277832031,36.516441345214844,0.6215564608573914,-0.40055859088897705,0.15538911521434784,0.36948075890541077
-4.661673545837402,87.54622650146484,-65.94713592529297,29.150997161865234,0.5421353578567505,-0.37638694047927856,0.16920147836208344,0.328043669462204
-15.103821754455566,86.30310821533203,-61.75163269042969,15.35244369506836,0.42127713561058044,-0.3245905935764313,0.16574838757514954,0.258981853723526
-21.754474639892578,87.29759979248047,-51.77565002441406,23.961000442504883,0.2866065800189972,-0.2831534743309021,0.13467055559158325,0.12776437401771545
-24.085311889648438,88.75826263427734,-38.50542068481445,46.27487564086914,0.13812364637851715,-0.258981853723526,0.08978037536144257,-0.037984006106853485
-26.602615356445312,86.58280944824219,-26.94447135925293,57.92906188964844,-0.02417163923382759,-0.22099784016609192,0.05524946004152298,-0.19337311387062073
-30.953510284423828,79.62138366699219,-17.714359283447266,54.10648727416992,-0.19682620465755463,-0.17956075072288513,0.04489018768072128,-0.3349498510360718
-35.70841598510742,70.88851165771484,-7.489755153656006,48.48140335083008,-0.39365240931510925,-0.12431128323078156,0.04489018768072128,-0.4799796938896179
-39.90392303466797,61.907020568847656,5.562930107116699,48.48140335083008,-0.6077440977096558,-0.06560873240232468,0.03107782080769539,-0.6526342630386353
-45.062843322753906,51.837806701660156,19.51687240600586,46.337032318115234,-0.832194983959198,-0.02762473002076149,0.0034530912525951862,-0.8667259216308594
-50.6568489074707,40.805179595947266,32.84925842285156,40.432247161865234,-1.0911768674850464,0.03107782080769539,-0.017265455797314644,-1.084270715713501
-52.956607818603516,31.419677734375,46.337032318115234,43.81972885131836,-1.3777834177017212,0.12085819244384766,-0.017265455797314644,-1.2810968160629272
-49.040802001953125,23.308366775512695,60.04235076904297,60.7260627746582,-1.671296238899231,0.23481020331382751,0.0069061825051903725,-1.439939022064209
-42.04829406738281,12.928374290466309,71.32360076904297,74.0584487915039,-1.9406373500823975,0.33840295672416687,0.037984006106853485,-1.5711565017700195
