220kVⅡ段母线电压_A相_5,220kVⅡ段母线电压_B相_6,220kVⅡ段母线电压_C相_7,220kVⅡ段母线电压_3U0_8,三沾Ⅱ回280_A相_41,三沾Ⅱ回280_B相_42,三沾Ⅱ回280_C相_43,三沾Ⅱ回280_3I0_44
79.80818176269531,-60.60528564453125,-19.322654724121094,-0.2797579765319824,0.03742045536637306,0.38432812690734863,-0.0468459390103817,-0.17783765494823456
82.60629272460938,-43.863319396972656,-39.20538330078125,-0.6061422824859619,0.0,0.3562065660953522,0.03747675195336342,-0.24335679411888123
79.18638610839844,-23.68577766418457,-57.8538703918457,-3.263843297958374,0.04677556827664375,0.29996341466903687,0.1405378133058548,-0.32759568095207214
71.40350341796875,-1.7956352233886719,-70.64229583740234,-2.206979751586914,0.5706619620323181,0.22497256100177765,0.1873837560415268,-0.8236691355705261
60.905426025390625,20.136024475097656,-79.67613220214844,1.833968997001648,0.5706619620323181,0.14060784876346588,0.3185524046421051,-0.8236691355705261
44.33442687988281,39.784217834472656,-82.94324493408203,2.2846901416778564,0.1964573860168457,0.018747713416814804,0.3653983175754547,-0.4586339592933655
23.369361877441406,58.04157257080078,-81.01409149169922,0.29530009627342224,-0.16839204728603363,-0.05624314025044441,0.38413670659065247,-0.037439506500959396
2.829195499420166,71.8357925415039,-72.44699096679688,2.4867377281188965,-0.16839204728603363,-0.14060784876346588,0.38413670659065247,0.06551913917064667
-20.177448272705078,80.77244567871094,-60.311988830566406,0.3263843059539795,-0.08419602364301682,-0.2155987024307251,0.3747675120830536,0.10295864194631577
-39.67091751098633,83.61640167236328,-43.5719108581543,0.24867376685142517,-0.07484091073274612,-0.28121569752693176,0.3747675120830536,0.14039814472198486
-57.319705963134766,81.40559387207031,-23.035757064819336,0.5906001925468445,-0.028065340593457222,-0.31871113181114197,0.3185524046421051,0.17783765494823456
-70.74024963378906,73.68331909179688,-1.846179485321045,1.5386688709259033,-0.009355113841593266,-0.29996341466903687,0.26233726739883423,0.22463703155517578
-79.90145111083984,60.698699951171875,19.61306381225586,0.37301063537597656,0.07484091073274612,-0.31871113181114197,0.15927620232105255,0.29951605200767517
-82.80319213867188,43.97749328613281,39.267616271972656,-0.23313166201114655,0.0935511365532875,-0.29996341466903687,0.07495350390672684,0.3088759183883667
-80.69943237304688,23.37439727783203,57.34565353393555,0.17096321284770966,0.12161648273468018,-0.24372027814388275,-0.02810756489634514,0.33695554733276367
-72.84400939941406,2.501434087753296,70.74600982666016,0.5906001925468445,0.11226136237382889,-0.14998170733451843,-0.0936918780207634,0.33695554733276367
-60.27326202392578,-19.367950439453125,80.225830078125,-0.04662632942199707,0.14968182146549225,-0.03749542683362961,-0.1780145764350891,0.29951605200767517
-43.21518325805664,-39.40018081665039,82.94324493408203,0.45072120428085327,0.16839204728603363,0.04686928167939186,-0.26233726739883423,0.21527716517448425
-23.379724502563477,-57.574501037597656,80.52661895751953,-0.5906001925468445,0.22452272474765778,0.13123399019241333,-0.3091832101345062,0.1591179072856903
-2.0519440174102783,-70.99505615234375,73.23524475097656,-0.6061422824859619,0.17774716019630432,0.2155987024307251,-0.29044482111930847,0.07487901300191879
20.10490608215332,-80.84510040283203,60.42607879638672,-0.4040948748588562,0.12161648273468018,0.3093372583389282,-0.29044482111930847,0.037439506500959396
39.2771110534668,-83.60602569580078,43.42670440673828,-0.7149370908737183,0.07484091073274612,0.36558040976524353,-0.2717064619064331,0.0
56.977718353271484,-80.68941497802734,23.543973922729492,-0.4662633240222931,0.06548579782247543,0.3749542534351349,-0.24359889328479767,-0.07487901300191879
70.41898345947266,-73.38231658935547,2.2610511779785156,-1.150116205215454,0.01871022768318653,0.3749542534351349,-0.15927620232105255,-0.09359876811504364
79.41437530517578,-60.74021530151367,-19.602691650390625,-0.699394941329956,-0.028065340593457222,0.38432812690734863,-0.0468459390103817,-0.14975802600383759
82.04666900634766,-43.71800994873047,-39.34021759033203,-1.678547978401184,0.009355113841593266,0.36558040976524353,0.03747675195336342,-0.24335679411888123
77.91168975830078,-23.64426040649414,-57.79164123535156,-6.279012680053711,0.11226136237382889,0.3093372583389282,0.10306106507778168,-0.37439507246017456
