1-220kV I段母线电压Ua_1,2-220kV I段母线电压Ub_2,3-220kV I段母线电压Uc_3,4-220kV I段母线电压3Uo_4,41-朝潞I回线路电流Ia_41,42-朝潞I回线路电流Ib_42,43-朝潞I回线路电流Ic_43,44-朝潞I回线路电流3Io_44
-74.73396301269531,5.598116397857666,69.06597137451172,0.0,1.0593880414962769,-0.03532978519797325,-0.9888501763343811,0.035290077328681946
-73.46514129638672,3.036266565322876,70.42578125,0.0,1.0593880414962769,0.03532978519797325,-1.024166226387024,0.035290077328681946
-72.1963119506836,0.537672221660614,71.65910339355469,0.0,1.0240751504898071,0.0706595703959465,-1.0594823360443115,0.035290077328681946
-70.9592056274414,-1.9925498962402344,72.9240493774414,0.0,1.0240751504898071,0.10598935186862946,-1.0594823360443115,0.035290077328681946
-69.56349182128906,-4.617655277252197,74.1573715209961,0.0,0.9887621998786926,0.141319140791893,-1.0594823360443115,0.035290077328681946
-68.16778564453125,-7.179505348205566,75.32744598388672,0.031628455966711044,0.9534492492675781,0.17664891481399536,-1.0947983264923096,0.07058015465736389
-66.7720718383789,-9.70972728729248,76.49752044677734,0.0,0.9181363582611084,0.2119787037372589,-1.1301144361495972,0.035290077328681946
-65.28119659423828,-12.334832191467285,77.6359634399414,0.0,0.9181363582611084,0.24730849266052246,-1.1301144361495972,0.035290077328681946
-63.69516372680664,-14.959938049316406,78.6795425415039,0.031628455966711044,0.8828234076499939,0.282638281583786,-1.1301144361495972,0.035290077328681946
-62.109127044677734,-17.49015998840332,79.62825775146484,0.0,0.8475104570388794,0.31796807050704956,-1.1301144361495972,0.035290077328681946
-60.3644905090332,-20.115264892578125,80.54534149169922,0.031628455966711044,0.8475104570388794,0.3532978296279907,-1.1654305458068848,0.035290077328681946
-58.55641174316406,-22.740371704101562,81.33592987060547,0.031628455966711044,0.8121975064277649,0.3886276185512543,-1.1654305458068848,0.035290077328681946
-56.716609954833984,-25.270593643188477,82.06327056884766,0.031628455966711044,0.7768846154212952,0.4239574074745178,-1.1654305458068848,0.035290077328681946
-54.781646728515625,-27.80081558227539,82.69574737548828,0.031628455966711044,0.7062587141990662,0.4946169853210449,-1.1654305458068848,0.035290077328681946
-52.592918395996094,-30.3942928314209,83.13847351074219,0.031628455966711044,0.7415716648101807,0.4946169853210449,-1.2007466554641724,0.035290077328681946
-50.4359130859375,-32.92451477050781,83.4547119140625,0.06325691193342209,0.6356328725814819,0.5299467444419861,-1.2007466554641724,0.035290077328681946
-48.27890396118164,-35.3914794921875,83.77095031738281,0.031628455966711044,0.6356328725814819,0.565276563167572,-1.1654305458068848,0.035290077328681946
-45.83641052246094,-37.89007568359375,83.89744567871094,0.031628455966711044,0.5650069713592529,0.6006063222885132,-1.1654305458068848,0.035290077328681946
-43.3621940612793,-40.32541275024414,83.83419799804688,0.06325691193342209,0.5650069713592529,0.6359361410140991,-1.2007466554641724,0.035290077328681946
-40.919700622558594,-42.7291259765625,83.83419799804688,0.031628455966711044,0.5296940207481384,0.7065956592559814,-1.1654305458068848,0.035290077328681946
-38.38204574584961,-45.132835388183594,83.67607879638672,0.031628455966711044,0.4943810999393463,0.7065956592559814,-1.2007466554641724,0.035290077328681946
-35.780948638916016,-47.47329330444336,83.39146423339844,0.031628455966711044,0.4590681791305542,0.7419254779815674,-1.1654305458068848,0.035290077328681946
-33.24329376220703,-49.68723678588867,83.13847351074219,0.031628455966711044,0.4237552285194397,0.7419254779815674,-1.2007466554641724,0.035290077328681946
-30.705636978149414,-51.901180267333984,82.79061889648438,0.06325691193342209,0.3884423077106476,0.7772552371025085,-1.1654305458068848,0.035290077328681946
-28.04109764099121,-54.08349609375,82.37950897216797,0.06325691193342209,0.3531293570995331,0.8125850558280945,-1.1301144361495972,0.035290077328681946
-25.503442764282227,-56.170928955078125,81.87352752685547,0.031628455966711044,0.31781643629074097,0.8479148149490356,-1.1301144361495972,0.035290077328681946
-22.997507095336914,-58.13185119628906,81.3675537109375,0.031628455966711044,0.28250348567962646,0.8479148149490356,-1.1301144361495972,0.035290077328681946
-20.459850311279297,-60.029518127441406,80.70346069335938,0.031628455966711044,0.28250348567962646,0.8832446336746216,-1.1301144361495972,0.035290077328681946
-17.953914642333984,-61.73741912841797,79.9128646850586,0.06325691193342209,0.21187761425971985,0.9185743927955627,-1.0947983264923096,0.035290077328681946
-15.57486343383789,-63.35043716430664,79.12227630615234,0.06325691193342209,0.17656467854976654,0.9185743927955627,-1.1301144361495972,0.035290077328681946
-13.132369041442871,-64.99507904052734,78.36331176757812,0.0,0.14125174283981323,0.9539041519165039,-1.0947983264923096,0.035290077328681946
-10.689875602722168,-66.48158264160156,77.44622802734375,0.031628455966711044,0.10593880712985992,0.9892339706420898,-1.1301144361495972,0.035290077328681946
-8.342543601989746,-67.96809387207031,76.52914428710938,0.031628455966711044,0.07062587141990662,0.9892339706420898,-1.0594823360443115,0.035290077328681946
-5.900050163269043,-69.32808685302734,75.48555755615234,0.0,0.07062587141990662,1.0245637893676758,-1.0594823360443115,0.035290077328681946
-3.4575562477111816,-70.65644836425781,74.37873840332031,0.031628455966711044,0.03531293570995331,1.0598934888839722,-1.024166226387024,0.035290077328681946
-1.0785037279129028,-71.95319366455078,73.27191162109375,0.031628455966711044,0.0,1.095223307609558,-0.9888501763343811,0.035290077328681946
1.332269310951233,-73.21829986572266,72.10183715820312,0.031628455966711044,-0.07062587141990662,1.0598934888839722,-0.9888501763343811,0.035290077328681946
