17-220kVⅡ母电压Ua_17,18-220kVⅡ母电压Ub_18,19-220kVⅡ母电压Uc_19,20-220kVⅡ母电压3Uo_20,25-220kV轿翠Ⅱ线电流Ia_25,26-220kV轿翠Ⅱ线电流Ib_26,27-220kV轿翠Ⅱ线电流Ic_27,28-220kV轿翠Ⅱ线电流3Io_28
-33.92583084106445,-48.737274169921875,83.10328674316406,0.7283409237861633,-0.021513311192393303,-0.12907452881336212,0.1505412608385086,0.0
-28.970373153686523,-53.36082458496094,82.5013198852539,0.31666994094848633,-0.007171103730797768,-0.12907452881336212,0.1505412608385086,0.0
-24.30080795288086,-57.73102951049805,81.9310302734375,-0.0950009897351265,0.0,-0.13624532520771027,0.1505412608385086,0.0
-19.154754638671875,-62.03789520263672,80.8221435546875,-0.601672887802124,0.007171103730797768,-0.1434161365032196,0.1505412608385086,0.0
-13.976934432983398,-65.4263916015625,79.04792022705078,-0.4750049412250519,0.021513311192393303,-0.1434161365032196,0.13620400428771973,0.007180544547736645
-8.672052383422852,-68.6882095336914,77.14697265625,-0.2850029468536377,0.021513311192393303,-0.15058694779872894,0.13620400428771973,0.007180544547736645
-3.557765245437622,-71.79168701171875,74.89751434326172,-0.6650068759918213,0.03585552051663399,-0.15058694779872894,0.12186673283576965,0.0
1.4612250328063965,-74.45181274414062,72.6480484008789,-0.5066719055175781,0.043026622384786606,-0.15775775909423828,0.11469810456037521,0.007180544547736645
6.734341144561768,-77.01692962646484,69.9867172241211,-0.34833696484565735,0.06453993171453476,-0.16492855548858643,0.10752946883440018,0.007180544547736645
12.070988655090332,-78.94868469238281,66.50164031982422,-0.4750049412250519,0.07171104103326797,-0.16492855548858643,0.10036084055900574,0.0
17.05821418762207,-80.27874755859375,62.921512603759766,-0.34833696484565735,0.0788821429014206,-0.17209936678409576,0.0931922122836113,0.0
21.91837501525879,-81.83049011230469,59.34138870239258,-0.8550089001655579,0.09322435408830643,-0.16492855548858643,0.08602357655763626,0.0
26.619707107543945,-82.55885314941406,55.190975189208984,-1.1400117874145508,0.10039545595645905,-0.16492855548858643,0.07885494828224182,0.0
31.82929229736328,-83.50889587402344,50.94551467895508,-1.1083447933197021,0.10039545595645905,-0.16492855548858643,0.07168631255626678,0.007180544547736645
36.46709442138672,-84.20559692382812,46.89015197753906,-1.3300137519836426,0.10756655782461166,-0.16492855548858643,0.06451768428087234,0.0
40.97783279418945,-84.01558685302734,42.13777160644531,-1.4566818475723267,0.1219087690114975,-0.16492855548858643,0.05018042027950287,0.007180544547736645
45.583866119384766,-84.20559692382812,37.70221710205078,-1.520015835762024,0.12907986342906952,-0.15775775909423828,0.028674526140093803,0.0
50.31696701049805,-83.95225524902344,32.886470794677734,-1.2666797637939453,0.13625097274780273,-0.15775775909423828,0.028674526140093803,0.0
54.95476531982422,-83.3822250366211,27.880630493164062,-0.8550089001655579,0.14342208206653595,-0.15058694779872894,0.021505894139409065,0.007180544547736645
59.21138000488281,-82.52718353271484,22.938154220581055,-0.6333398818969727,0.15059317648410797,-0.15775775909423828,0.014337263070046902,0.007180544547736645
62.959739685058594,-81.07044982910156,17.67885398864746,-0.6650068759918213,0.15059317648410797,-0.15058694779872894,-0.007168631535023451,0.007180544547736645
66.10454559326172,-78.94868469238281,12.704696655273438,-0.31666994094848633,0.1577642858028412,-0.1434161365032196,-0.014337263070046902,0.007180544547736645
69.63054656982422,-77.08026885986328,7.223618030548096,-0.34833696484565735,0.1577642858028412,-0.12907452881336212,-0.021505894139409065,0.007180544547736645
72.74359130859375,-74.92683410644531,1.9009521007537842,-0.380003958940506,0.1577642858028412,-0.12907452881336212,-0.03584315627813339,0.0
74.93543243408203,-72.29837799072266,-2.8197455406188965,-0.22166897356510162,0.1649353951215744,-0.12190371751785278,-0.04301178827881813,0.007180544547736645
77.00020599365234,-69.09989166259766,-8.110729217529297,-0.4116709530353546,0.1649353951215744,-0.1075621023774147,-0.04301178827881813,0.0
78.74732208251953,-65.86974334716797,-13.30666446685791,-0.6650068759918213,0.17210648953914642,-0.1075621023774147,-0.06451768428087234,0.0
80.30384063720703,-62.449581146240234,-18.12240982055664,-0.44333794713020325,0.17927759885787964,-0.09322048723697662,-0.07168631255626678,0.007180544547736645
81.82859802246094,-58.61773681640625,-23.381710052490234,-0.34833696484565735,0.17210648953914642,-0.08604968339204788,-0.07885494828224182,0.01436108909547329
82.27332305908203,-54.4058723449707,-27.880630493164062,-0.0950009897351265,0.1649353951215744,-0.07887887954711914,-0.08602357655763626,0.0
82.90863800048828,-50.09900665283203,-32.75973892211914,0.0,0.1649353951215744,-0.0717080682516098,-0.0931922122836113,0.0
83.73454284667969,-46.013816833496094,-37.797264099121094,-0.15833497047424316,0.1577642858028412,-0.05736645683646202,-0.10752946883440018,0.007180544547736645
83.48042297363281,-41.35859680175781,-42.042724609375,0.190001979470253,0.1577642858028412,-0.04302484169602394,-0.11469810456037521,0.0
83.38512420654297,-36.545040130615234,-46.70005416870117,0.15833497047424316,0.1649353951215744,-0.02868322841823101,-0.11469810456037521,0.007180544547736645
83.16276550292969,-31.636476516723633,-51.5474853515625,-0.12666797637939453,0.1577642858028412,-0.02151242084801197,-0.12186673283576965,0.0
82.4321517944336,-26.537906646728516,-55.919673919677734,-0.03166699409484863,0.15059317648410797,-0.02151242084801197,-0.13620400428771973,0.007180544547736645
81.2568130493164,-21.40766716003418,-59.87998962402344,-0.15833497047424316,0.15059317648410797,-0.007170807104557753,-0.13620400428771973,0.0
