33-110kV 母线电压Ua_33,34-110kV 母线电压Ub_34,35-110kV 母线电压Uc_35,36-110kV 母线电压3Uo_36,41-110kV小小线路电流Ia_41,42-110kV小小线路电流Ib_42,43-110kV小小线路电流Ic_43,44-110kV小小线路电流3Io_44
70.68423461914062,-75.90167999267578,4.960161209106445,-0.31797462701797485,0.49370765686035156,-0.6700154542922974,0.21166814863681793,0.0
72.78850555419922,-73.6767578125,0.7313058376312256,-0.22258223593235016,0.5642372965812683,-0.7052794098854065,0.14111210405826569,0.0
74.797119140625,-70.97506713867188,-4.324243068695068,-0.4769619107246399,0.6347669959068298,-0.6700154542922974,0.10583407431840897,0.0
76.45502471923828,-68.11444854736328,-8.394119262695312,-0.06359492242336273,0.6347669959068298,-0.7052794098854065,0.03527802601456642,0.03527015075087547
77.76222229003906,-64.93598937988281,-13.227096557617188,-0.34977206587791443,0.6347669959068298,-0.7052794098854065,0.03527802601456642,0.0
79.2926025390625,-60.96290969848633,-18.346237182617188,-0.031797461211681366,0.6700317859649658,-0.6700154542922974,0.03527802601456642,0.03527015075087547
81.42874908447266,-56.449493408203125,-25.27774429321289,-0.12718984484672546,0.7052966356277466,-0.7052794098854065,-0.07055605202913284,0.0
81.87510681152344,-52.12678527832031,-30.07892608642578,-0.2543796896934509,0.7052966356277466,-0.6700154542922974,-0.07055605202913284,0.0
83.34172058105469,-48.50333786010742,-34.752925872802734,0.1907847672700882,0.7405614852905273,-0.6700154542922974,-0.10583407431840897,0.03527015075087547
83.46925354003906,-43.60850524902344,-40.09463882446289,-0.0953923836350441,0.7758262753486633,-0.6347514390945435,-0.14111210405826569,0.0
83.88372802734375,-39.12687301635742,-44.64145278930664,0.1907847672700882,0.8110911250114441,-0.6347514390945435,-0.21166814863681793,0.0
83.34172058105469,-34.073116302490234,-49.56981658935547,0.031797461211681366,0.8463559746742249,-0.5642235279083252,-0.21166814863681793,0.0
15.782001495361328,-12.20529556274414,-30.492273330688477,-36.694271087646484,2.8211865425109863,-0.17631985247135162,0.10583407431840897,2.715801477432251
11.222756385803223,5.62587833404541,-36.53349685668945,-24.16607093811035,4.584428310394287,-0.21158382296562195,0.03527802601456642,4.408768653869629
16.61095428466797,-6.420494079589844,-38.85459518432617,-46.80586242675781,6.665053367614746,0.1410558819770813,0.3527802526950836,7.1598405838012695
10.48945140838623,4.545201301574707,-36.50170135498047,-31.892854690551758,8.393030166625977,0.1410558819770813,0.1763901263475418,8.746996879577637
13.677734375,15.828742980957031,-60.15785217285156,-45.47037124633789,10.297330856323242,0.24684779345989227,0.28222420811653137,10.827936172485352
2.0723838806152344,13.730957984924316,-35.99296569824219,-33.101158142089844,11.884247779846191,0.17631985247135162,0.1763901263475418,12.274012565612793
17.854385375976562,15.955881118774414,-57.32801818847656,-35.77214431762695,13.541695594787598,0.21158382296562195,0.03527802601456642,13.755358695983887
5.260666847229004,28.542593002319336,-54.593570709228516,-33.16475296020508,15.093347549438477,0.1410558819770813,-0.10583407431840897,15.16616439819336
11.573467254638672,26.38123893737793,-59.90348815917969,-31.956449508666992,16.43341064453125,0.035263970494270325,-0.28222420811653137,16.259538650512695
6.791042804718018,33.50099563598633,-59.394752502441406,-31.16151237487793,17.844005584716797,0.07052794098854065,-0.3527802526950836,17.599803924560547
11.127107620239258,37.315147399902344,-65.4677734375,-26.96424674987793,19.07827377319336,0.035263970494270325,-0.4938923418521881,18.622638702392578
9.724263191223145,39.15865707397461,-69.25148010253906,-30.843538284301758,20.277278900146484,0.07052794098854065,-0.5644484162330627,19.78655433654785
8.321418762207031,43.8627815246582,-69.12429809570312,-26.582677841186523,21.370487213134766,0.10579191148281097,-0.5997264385223389,20.84465789794922
9.150372505187988,47.2955207824707,-73.38494873046875,-25.883132934570312,22.3226375579834,0.10579191148281097,-0.635004460811615,21.796953201293945
7.364933967590332,50.791831970214844,-71.9223403930664,-21.654071807861328,23.133729934692383,0.10579191148281097,-0.6702824831008911,22.608165740966797
8.289535522460938,54.25635528564453,-77.0414810180664,-21.495084762573242,23.839025497436523,0.17631985247135162,-0.6702824831008911,23.27829933166504
6.599745750427246,57.14875411987305,-75.07013702392578,-17.488603591918945,24.403263092041016,0.17631985247135162,-0.6702824831008911,23.842620849609375
7.5562310218811035,59.40546417236328,-78.50408935546875,-17.42500877380371,24.896970748901367,0.17631985247135162,-0.7408385276794434,24.336402893066406
5.515729904174805,62.96533966064453,-78.02715301513672,-15.008401870727539,25.249618530273438,0.21158382296562195,-0.7055605053901672,24.724374771118164
6.376565933227539,64.87242126464844,-79.14000701904297,-12.273819923400879,25.46120834350586,0.24684779345989227,-0.7055605053901672,24.97126579284668
4.909955978393555,67.22447967529297,-78.47229766845703,-10.206985473632812,25.56700325012207,0.24684779345989227,-0.7055605053901672,25.112346649169922
4.846190452575684,68.33694458007812,-78.50408935546875,-8.585314750671387,25.46120834350586,0.31737571954727173,-0.6702824831008911,25.14761734008789
3.921588182449341,70.49829864501953,-77.10507202148438,-4.801416873931885,25.284883499145508,0.31737571954727173,-0.5997264385223389,25.041807174682617
3.8897054195404053,71.00685119628906,-76.53274536132812,-3.2751386165618896,25.03803062438965,0.35263970494270325,-0.5291703939437866,24.830184936523438
2.77380633354187,72.94571685791016,-75.03833770751953,-0.1907847672700882,24.614852905273438,0.3879036605358124,-0.458614319562912,24.512754440307617
2.327446699142456,73.39070129394531,-72.74903106689453,3.370530843734741,24.085880279541016,0.3879036605358124,-0.42333629727363586,23.983701705932617
