110kV II母电压A相_5,110kV II母电压B相_6,110kV II母电压C相_7,110kV II母电压3U0_8,110kV响平格凤线194A相_9,110kV响平格凤线194B相_10,110kV响平格凤线194C相_11,110kV响平格凤线1943I0_12
11.731659889221191,66.88728332519531,-79.08033752441406,-0.2806920111179352,0.03715600073337555,-1.9530160427093506,1.962272047996521,-0.018549999222159386
-9.821372032165527,77.779052734375,-68.12611389160156,0.0779699981212616,0.5944960117340088,-2.193671941757202,1.6290559768676758,-0.03709999844431877
-33.295074462890625,86.44886016845703,-53.04587173461914,0.5769780278205872,1.1797029972076416,-2.397304058074951,1.2588160037994385,-0.04637499898672104
-52.78208923339844,83.81157684326172,-31.55314826965332,-0.51460200548172,1.6998870372772217,-2.434328079223633,0.7589920163154602,-0.03709999844431877
-67.83599090576172,78.4643325805664,-10.808719635009766,0.0779699981212616,1.876378059387207,-2.212183952331543,0.35172799229621887,-0.03709999844431877
-80.19056701660156,68.37205505371094,11.22443962097168,-0.608165979385376,2.0342910289764404,-1.767896056175232,-0.24991199374198914,-0.03709999844431877
-78.08302307128906,53.2544059753418,32.68598556518555,13.769501686096191,0.03715600073337555,-1.2588160037994385,-0.5368480086326599,1.7344249486923218
-63.41325759887695,24.545412063598633,46.09295654296875,12.724703788757324,-6.130740165710449,0.1573520004749298,-0.25916799902915955,6.177149772644043
-66.29945373535156,8.109123229980469,63.667518615722656,9.808626174926758,-11.815608024597168,1.5179840326309204,0.018511999398469925,10.23960018157959
-57.505897521972656,-12.750324249267578,74.97510528564453,8.358384132385254,-16.822378158569336,3.100759983062744,0.3794960081577301,13.263250350952148
-42.919189453125,-36.41318130493164,82.66592407226562,5.988096237182617,-20.38006591796875,4.183712005615234,0.9718800187110901,15.034774780273438
-29.775575637817383,-53.04674530029297,83.36225128173828,1.2007379531860352,-22.302888870239258,5.044519901275635,1.3421200513839722,15.748950004577637
-11.254088401794434,-67.64524841308594,78.21772003173828,-0.9200459718704224,-22.377201080322266,5.627647876739502,1.2403039932250977,15.285200119018555
3.208038091659546,-77.88288116455078,71.06733703613281,-6.003689765930176,-20.900249481201172,5.720208168029785,1.203279972076416,13.81974983215332
22.81963539123535,-82.11914825439453,54.698360443115234,-7.609871864318848,-17.825590133666992,5.035264015197754,1.147744059562683,11.44534969329834
38.42378234863281,-80.00101470947266,35.30501937866211,-10.619514465332031,-13.60838508605957,4.239247798919678,1.0366719961166382,8.180549621582031
52.52253723144531,-75.22483825683594,14.976312637329102,-13.130147933959961,-8.220765113830566,3.22108793258667,0.6664320230484009,4.164474964141846
62.76957321166992,-62.28761672973633,-7.295886039733887,-11.61752986907959,-2.2293601036071777,1.7956639528274536,0.3702400028705597,-0.07419999688863754
67.20268249511719,-47.43992614746094,-27.167301177978516,-12.646734237670898,4.105738162994385,0.2869360148906708,-0.25916799902915955,-4.257225036621094
69.02991485595703,-27.909503936767578,-47.95330047607422,-11.601936340332031,9.929941177368164,-1.1384880542755127,-0.7219679951667786,-8.19909954071045
66.12295532226562,-7.859930992126465,-64.04166412353516,-9.730655670166016,15.178226470947266,-2.628704071044922,-1.0274159908294678,-11.584474563598633
57.41246032714844,12.760706901550293,-75.3596420288086,-8.639076232910156,19.58121109008789,-4.165200233459473,-1.1662559509277344,-14.264949798583984
46.563270568847656,35.23990249633789,-84.55744934082031,-4.272756099700928,22.618715286254883,-5.238895893096924,-1.4994720220565796,-15.878800392150879
29.121509552001953,51.9565315246582,-81.96958923339844,-1.1227680444717407,24.123533248901367,-5.979375839233398,-1.7864079475402832,-16.37037467956543
12.167703628540039,66.61732482910156,-78.09300231933594,1.6217759847640991,24.123533248901367,-6.395895957946777,-1.9067360162734985,-15.776775360107422
-4.6511359214782715,78.16322326660156,-70.57886505126953,5.48908805847168,22.507247924804688,-6.312592029571533,-2.017807960510254,-14.153650283813477
-22.705434799194336,81.95301818847656,-54.667179107666016,8.32719612121582,19.4604549407959,-5.747975826263428,-2.119623899459839,-11.556650161743164
-38.27843475341797,79.06654357910156,-34.93087387084961,10.354415893554688,15.159647941589355,-4.93344783782959,-1.962272047996521,-8.152725219726562
-52.532920837402344,74.88219451904297,-15.142601013183594,12.771486282348633,9.428335189819336,-3.628351926803589,-1.4994720220565796,-4.238675117492676
-62.167415618896484,62.15263748168945,6.5891618728637695,11.71109390258789,3.3719069957733154,-2.295488119125366,-0.9718800187110901,-0.055649999529123306
-67.35841369628906,46.97269058227539,27.343982696533203,12.475199699401855,-2.916745901107788,-0.8145279884338379,-0.3609839975833893,4.12737512588501
-68.81189727783203,27.255374908447266,48.109195709228516,11.648717880249023,-8.880284309387207,0.7682480216026306,0.06479199975728989,7.985774993896484
-65.88417053222656,7.652270793914795,63.51162338256836,9.481151580810547,-14.2493257522583,2.2399520874023438,0.5646160244941711,11.3618745803833
-57.99385070800781,-12.148110389709473,74.89196014404297,8.451948165893555,-18.53155517578125,3.619096040725708,0.8052719831466675,14.005249977111816
-46.96816635131836,-35.62407302856445,85.22260284423828,4.6626057624816895,-21.578346252441406,4.813119888305664,0.9811360239982605,15.684024810791016
-29.33953285217285,-52.600276947021484,82.4996337890625,1.107174038887024,-23.203922271728516,5.664671897888184,1.147744059562683,16.231250762939453
-12.095029830932617,-66.69001007080078,77.81239318847656,-1.450242042541504,-23.296812057495117,6.044167995452881,1.3883999586105347,15.693300247192383
4.588843822479248,-77.6336898803711,69.73703002929688,-5.48908805847168,-21.73625946044922,5.692440032958984,1.7493840456008911,14.125824928283691
