500kV太德线电压_A相_1,500kV太德线电压_B相_2,500kV太德线电压_C相_3,500kV太德线电压_3U0_4,500kV太德线电流_A相_33,500kV太德线电流_B相_34,500kV太德线电流_C相_35,500kV太德线电流_3I0_36
-5.80244255065918,-62.47976303100586,84.35211181640625,28.435768127441406,0.013324526138603687,0.17626351118087769,-0.1624094694852829,0.0
10.496670722961426,-83.46800994873047,72.9972152709961,0.4320138394832611,-0.057105112820863724,0.21796025335788727,-0.15296706557273865,0.009463135153055191
32.410037994384766,-88.7718276977539,44.40887451171875,-19.502338409423828,-0.047587595880031586,0.18763534724712372,-0.13597071170806885,0.017033642157912254
69.6083984375,-87.2756118774414,33.982173919677734,28.698062896728516,-0.12563125789165497,0.20469310879707336,-0.06987383961677551,0.003785253968089819
60.355857849121094,-83.0449447631836,9.952290534973145,-21.893844604492188,-0.15989431738853455,0.18574005365371704,-0.024550268426537514,0.018926270306110382
81.840576171875,-69.71317291259766,-14.139472007751465,-3.34810733795166,-0.19986790418624878,0.16299636662006378,0.018884822726249695,0.03028203174471855
89.71308135986328,-50.685482025146484,-25.87595558166504,22.94301986694336,-0.24745549261569977,0.1345667690038681,0.10008955746889114,0.028389405459165573
79.15367889404297,-34.81531524658203,-58.28020477294922,-23.77618980407715,-0.2265169471502304,0.08339349180459976,0.13974767923355103,0.011355762369930744
88.88714599609375,-10.184562683105469,-67.95403289794922,18.66916847229004,-0.17892935872077942,0.028429599478840828,0.15107858180999756,0.015141015872359276
65.60419464111328,15.282003402709961,-81.17562866210938,-0.32401037216186523,-0.17702585458755493,-0.00947653315961361,0.19262517988681793,0.007570507936179638
52.26380157470703,30.7703800201416,-90.4472427368164,-12.74440860748291,-0.14466628432273865,-0.054963890463113785,0.20962151885032654,0.0018926269840449095
37.35518264770508,54.978065490722656,-84.27991485595703,14.025020599365234,-0.06281562894582748,-0.11371839791536331,0.18507125973701477,0.011355762369930744
5.363338470458984,69.56871795654297,-82.82575225830078,-13.731868743896484,-0.015228030271828175,-0.15731044113636017,0.18318277597427368,0.013248388655483723
-6.293820381164551,79.34053039550781,-69.23287963867188,6.788788795471191,0.013324526138603687,-0.17815881967544556,0.16996340453624725,0.017033642157912254
-37.48064041137695,90.76333618164062,-51.09186553955078,3.9344117641448975,0.057105112820863724,-0.18763534724712372,0.14730161428451538,0.011355762369930744
-54.09339904785156,85.56270599365234,-34.62159729003906,-5.12244987487793,0.10088570415973663,-0.18384474515914917,0.10386651754379272,0.007570507936179638
-68.81382751464844,82.87984466552734,-10.137929916381836,7.066512107849121,0.15608730912208557,-0.18384474515914917,0.03965812548995018,0.011355762369930744
-84.71566009521484,71.09588623046875,9.426315307617188,-6.850505352020264,0.1827363669872284,-0.15920574963092804,-0.011330893263220787,0.013248388655483723
-82.6978759765625,49.7258415222168,33.32212448120117,1.2497543096542358,0.1808328628540039,-0.10613717138767242,-0.054765984416007996,0.011355762369930744
-89.10669708251953,34.41288375854492,54.12396240234375,-0.5245882272720337,0.19415739178657532,-0.07960287481546402,-0.10575500130653381,0.013248388655483723
-80.8996353149414,8.925680160522461,70.19200897216797,-2.453221321105957,0.18654337525367737,-0.028429599478840828,-0.1454131305217743,0.017033642157912254
-69.15884399414062,-10.989421844482422,82.84637451171875,5.215023994445801,0.15608730912208557,0.028429599478840828,-0.17185187339782715,0.013248388655483723
-56.8743896484375,-32.19436264038086,86.83760833740234,-3.317249059677124,0.12563125789165497,0.07581226527690887,-0.18507125973701477,0.013248388655483723
-30.7581729888916,-54.8748779296875,86.3735122680664,1.8360588550567627,0.06471912562847137,0.1212996244430542,-0.1794058084487915,0.015141015872359276
-13.4867582321167,-67.3708267211914,80.89717102050781,0.540017306804657,0.017131533473730087,0.1611010581254959,-0.17185187339782715,0.018926270306110382
13.277661323547363,-83.6434326171875,68.2840576171875,-2.8698062896728516,-0.024745550006628036,0.18574005365371704,-0.15485553443431854,0.013248388655483723
34.56373977661133,-86.88349914550781,53.65986633300781,2.7772316932678223,-0.0761401504278183,0.20090250670909882,-0.12275134027004242,0.011355762369930744
51.720149993896484,-86.81127166748047,33.71403121948242,-1.8360588550567627,-0.12753476202487946,0.20469310879707336,-0.08309321850538254,0.011355762369930744
70.29841613769531,-82.9830322265625,12.62342357635498,0.27772319316864014,-0.1503767967224121,0.1895306557416916,-0.03399267792701721,0.015141015872359276
78.1709213256836,-67.54624938964844,-9.694459915161133,1.8206297159194946,-0.1827363669872284,0.16489167511463165,0.015107857994735241,0.015141015872359276
86.61843872070312,-53.770774841308594,-33.786224365234375,-1.4040449857711792,-0.20177140831947327,0.13835738599300385,0.06987383961677551,0.015141015872359276
86.26297760009766,-31.275997161865234,-53.70111846923828,2.4377923011779785,-0.20748192071914673,0.08907940983772278,0.11897438019514084,0.011355762369930744
80.70099639892578,-9.771814346313477,-70.68704986572266,0.4937300980091095,-0.1960608959197998,0.036010824143886566,0.1624094694852829,0.011355762369930744
71.04071044921875,10.999740600585938,-82.34102630615234,-0.3857266306877136,-0.16941183805465698,-0.017057759687304497,0.19073669612407684,0.007570507936179638
52.06515884399414,34.77404022216797,-86.32194519042969,1.080034613609314,-0.12753476202487946,-0.06823103874921799,0.20395608246326447,0.003785253968089819
33.07914733886719,52.51189422607422,-86.36319732666016,-1.2188961505889893,-0.08565767109394073,-0.11750900745391846,0.20395608246326447,0.005677881184965372
9.576643943786621,70.02273559570312,-79.75239562988281,-0.24686504900455475,-0.04378058761358261,-0.13835738599300385,0.1982906311750412,0.007570507936179638
