220kV Ⅱ母电压_A相_5,220kV Ⅱ母电压_B相_6,220kV Ⅱ母电压_C相_7,220kV Ⅱ母电压_3U0_8,木东线262_A相_13,木东线262_B相_14,木东线262_C相_15,木东线262_3I0_16
27.65606689453125,-85.84757232666016,54.995574951171875,-4.656853675842285,-0.6409059762954712,0.09301237016916275,-0.6877995133399963,-0.31622403860092163
48.97471618652344,-86.439697265625,35.06045913696289,-3.177251100540161,-0.733790934085846,0.08371113240718842,-0.6227374076843262,-0.33482545614242554
67.2804946899414,-80.22758483886719,14.678645133972168,4.049437999725342,-0.7616564035415649,0.07440989464521408,-0.49261316657066345,-0.3255247473716736
77.68009185791016,-70.48351287841797,-7.406846523284912,0.6852894425392151,-0.8359643220901489,0.01860247366130352,-0.3717835247516632,-0.3255247473716736
84.4746322631836,-57.34252166748047,-29.533891677856445,-3.223975419998169,-0.9009838104248047,0.00930123683065176,-0.29742681980133057,-0.31622403860092163
85.52394104003906,-35.47549057006836,-49.62483215332031,1.666499376296997,-0.9102723002433777,-0.05580741912126541,-0.22307011485099792,-0.33482545614242554
80.45401000976562,-12.694304466247559,-66.69277954101562,2.725583076477051,-0.8638297915458679,-0.20462721586227417,-0.14871340990066528,-0.31622403860092163
69.64923858642578,6.856171131134033,-78.71202850341797,-3.0215036869049072,-0.8545413017272949,-0.2976395785808563,-0.11153505742549896,-0.33482545614242554
55.987430572509766,27.622058868408203,-85.44363403320312,-2.0870180130004883,-0.8173873424530029,-0.3906519412994385,-0.0464729405939579,-0.33482545614242554
35.57263946533203,50.18509292602539,-85.56829833984375,1.7443732023239136,-0.724502444267273,-0.4557605981826782,-0.02788376435637474,-0.3069233298301697
12.467046737670898,66.86844635009766,-81.54802703857422,-2.3050646781921387,-0.6130405068397522,-0.5301705002784729,-0.0929458811879158,-0.31622403860092163
-8.300975799560547,76.7267837524414,-71.61682891845703,-3.9871387481689453,-0.5480210781097412,-0.5952791571617126,-0.11153505742549896,-0.35342687368392944
-28.362531661987305,85.18273162841797,-55.5357666015625,3.7535173892974854,-0.43655914068222046,-0.6510865688323975,-0.139418825507164,-0.31622403860092163
-49.83702087402344,85.86834716796875,-35.3513298034668,2.6632840633392334,-0.3622512221336365,-0.6231828927993774,-0.22307011485099792,-0.31622403860092163
-68.11163330078125,79.63546752929688,-14.969517707824707,-4.812601089477539,-0.3343857228755951,-0.6231828927993774,-0.35319435596466064,-0.3441261649131775
-78.7190170288086,69.93294525146484,7.1263628005981445,-1.4640275239944458,-0.20434683561325073,-0.5673754215240479,-0.4275510609149933,-0.31622403860092163
-85.4927749633789,56.802337646484375,29.243019104003906,2.336214065551758,-0.16719286143779755,-0.5301705002784729,-0.5483806729316711,-0.2976226210594177
-86.42780303955078,35.091129302978516,49.19891357421875,-2.2739150524139404,-0.20434683561325073,-0.4557605981826782,-0.6134428381919861,-0.3441261649131775
-81.32670593261719,12.289167404174805,66.21492004394531,-3.5198960304260254,-0.17648136615753174,-0.3441457748413086,-0.6506211757659912,-0.31622403860092163
-70.53231811523438,-7.250920295715332,78.19261169433594,2.1181674003601074,-0.18576985597610474,-0.24183215200901031,-0.7435670495033264,-0.2976226210594177
