1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,21-220kV砚普Ⅰ回线路电流Ia_21,22-220kV砚普Ⅰ回线路电流Ib_22,23-220kV砚普Ⅰ回线路电流Ic_23,24-220kV砚普Ⅰ回线路电流3Io_24
-84.20809173583984,57.442935943603516,26.13404083251953,-1.0126277208328247,-0.8478245139122009,0.6366459727287292,0.24731357395648956,-0.07056626677513123
-84.90612030029297,53.10702133178711,31.133047103881836,-1.0126277208328247,-0.883150577545166,0.6012767553329468,0.31797459721565247,-0.03528313338756561
-85.31859588623047,48.70781326293945,36.10041427612305,-0.8860493302345276,-0.883150577545166,0.495169073343277,0.3533051013946533,-0.03528313338756561
-85.54069519042969,44.02375793457031,41.067779541015625,-0.632892370223999,-0.883150577545166,0.4597998559474945,0.4239661395549774,0.0
-85.50897216796875,39.33970642089844,46.00350570678711,-0.15822309255599976,-0.883150577545166,0.42443063855171204,0.4946271479129791,0.0
-85.2234115600586,34.52906036376953,50.622840881347656,0.03164461627602577,-0.9184765815734863,0.3536922037601471,0.4946271479129791,-0.03528313338756561
-84.84266662597656,29.718412399291992,55.083980560302734,-0.03164461627602577,-0.883150577545166,0.3183229863643646,0.52995765209198,-0.03528313338756561
-84.01771545410156,24.59127426147461,59.38692092895508,0.06328923255205154,-0.883150577545166,0.2475845366716385,0.6006187200546265,0.0
-82.9389419555664,19.62238121032715,63.21527099609375,-0.06328923255205154,-0.8478245139122009,0.17684610188007355,0.6359491944313049,0.0
-81.19386291503906,14.463593482971191,66.53739929199219,-0.348090797662735,-0.8478245139122009,0.17684610188007355,0.7066102027893066,-0.03528313338756561
-79.1314926147461,9.178210258483887,69.63804626464844,-0.37973541021347046,-0.8124985098838806,0.14147688448429108,0.7066102027893066,-0.03528313338756561
-76.62492370605469,3.6712839603424072,72.61213684082031,-0.4430246651172638,-0.8124985098838806,0.03536922112107277,0.7419407367706299,0.0
-74.02316284179688,-1.5508010387420654,75.30147552490234,-0.348090797662735,-0.7771725058555603,0.0,0.8126017451286316,-0.03528313338756561
-70.91374969482422,-7.026078224182129,77.99081420898438,0.1265784651041031,-0.7418464422225952,-0.07073844224214554,0.8126017451286316,-0.03528313338756561
-67.45531463623047,-12.564653396606445,80.26884460449219,0.4430246651172638,-0.6711944341659546,-0.14147688448429108,0.8126017451286316,0.0
-63.552677154541016,-18.134878158569336,82.16719818115234,0.8227600455284119,-0.6711944341659546,-0.17684610188007355,0.8479322791099548,0.0
-59.68177032470703,-23.4519100189209,83.78079986572266,1.0126277208328247,-0.6358684301376343,-0.21221531927585602,0.9185932874679565,0.0
-55.525306701660156,-28.737293243408203,84.85653686523438,0.9809831380844116,-0.6005423665046692,-0.28295376896858215,0.9185932874679565,0.0
-51.33711242675781,-33.80113220214844,85.52096557617188,0.6645369529724121,-0.5652163624763489,-0.3183229863643646,0.9185932874679565,0.0
-46.86335754394531,-38.675079345703125,85.900634765625,0.5696031451225281,-0.49456432461738586,-0.38906142115592957,0.8832627534866333,0.0
-42.38960266113281,-43.48572540283203,86.15374755859375,0.37973541021347046,-0.42391225695610046,-0.4597998559474945,0.9185932874679565,-0.03528313338756561
-37.788936614990234,-48.074832916259766,86.21702575683594,0.5063138604164124,-0.42391225695610046,-0.495169073343277,0.9185932874679565,0.0
-33.15653991699219,-52.56898880004883,86.12210845947266,0.5696031451225281,-0.38858625292778015,-0.5305383205413818,0.8832627534866333,-0.03528313338756561
-28.238584518432617,-56.7783088684082,85.45767974853516,0.7594708204269409,-0.28260818123817444,-0.5659075379371643,0.9185932874679565,-0.03528313338756561
-23.098526000976562,-60.95597457885742,84.38195037841797,0.632892370223999,-0.24728216230869293,-0.6012767553329468,0.8479322791099548,-0.03528313338756561
-17.926740646362305,-64.59561157226562,83.14801788330078,1.0442724227905273,-0.17663010954856873,-0.6720151901245117,0.8832627534866333,0.0
-12.7866849899292,-67.82380676269531,81.218017578125,0.8860493302345276,-0.10597806423902512,-0.6720151901245117,0.8832627534866333,0.0
-7.361069202423096,-71.08365631103516,78.87671661376953,0.7911154627799988,-0.10597806423902512,-0.7427536249160767,0.8126017451286316,0.0
-2.1575546264648438,-73.995361328125,76.34557342529297,0.348090797662735,-0.07065204530954361,-0.7781228423118591,0.8126017451286316,-0.03528313338756561
3.077688217163086,-76.71717834472656,73.65623474121094,-0.06328923255205154,0.035326022654771805,-0.7781228423118591,0.8126017451286316,0.0
8.186016082763672,-79.0592041015625,70.4606704711914,-0.6645369529724121,0.07065204530954361,-0.8134920597076416,0.7419407367706299,-0.03528313338756561
13.611632347106934,-81.1796875,67.04362487792969,-0.7911154627799988,0.14130409061908722,-0.8134920597076416,0.7066102027893066,0.0
19.164161682128906,-82.98368072509766,63.373470306396484,-0.8860493302345276,0.21195612847805023,-0.8488612771034241,0.6359491944313049,0.0
24.272489547729492,-84.40788269042969,59.51347732543945,-1.1392062902450562,0.24728216230869293,-0.8488612771034241,0.6359491944313049,0.0
29.444276809692383,-85.26240539550781,55.432010650634766,-0.5696031451225281,0.28260818123817444,-0.8488612771034241,0.6006187200546265,0.0
34.4891471862793,-85.73714447021484,51.160709381103516,-0.1265784651041031,0.35326021909713745,-0.8488612771034241,0.52995765209198,0.0
39.34364318847656,-86.1485824584961,46.604652404785156,-0.2531569302082062,0.38858625292778015,-0.8842304944992065,0.4946271479129791,0.0
