17-110kV II段母线电压Ua_17,18-110kV II段母线电压Ub_18,19-110kV II段母线电压Uc_19,20-110kV II段母线电压3Uo_20,25-110kV草瑞II回线185电流Ia_25,26-110kV草瑞II回线185电流Ib_26,27-110kV草瑞II回线185电流Ic_27,28-110kV草瑞II回线185电流3Io_28
-8.185768127441406,-68.96664428710938,77.22055053710938,0.3164865970611572,0.0,-0.035330820828676224,0.1058352068066597,0.03530741110444069
-3.1093227863311768,-71.75061798095703,74.87957000732422,0.3164865970611572,0.0,-0.07066164165735245,0.14111360907554626,0.0
2.1257615089416504,-74.18659210205078,72.03244018554688,0.1582432985305786,-0.03532712906599045,-0.07066164165735245,0.1058352068066597,0.07061482220888138
7.551212310791016,-76.71748352050781,69.12203979492188,0.1265946328639984,0.03532712906599045,-0.10599246621131897,0.07055680453777313,0.0
12.818023681640625,-79.18509674072266,66.21163940429688,-0.1898919641971588,-0.03532712906599045,-0.07066164165735245,0.1058352068066597,0.03530741110444069
17.83101463317871,-80.92507934570312,62.953250885009766,-0.1582432985305786,0.0,-0.10599246621131897,0.1058352068066597,0.03530741110444069
22.68536376953125,-82.03234100341797,59.15707778930664,-0.1898919641971588,0.0,-0.10599246621131897,0.07055680453777313,0.0
27.825265884399414,-83.07633209228516,55.07618713378906,-0.1898919641971588,0.0,-0.10599246621131897,0.1058352068066597,0.0
32.901710510253906,-83.96214294433594,50.96366500854492,-0.0316486582159996,0.03532712906599045,-0.07066164165735245,0.07055680453777313,0.0
37.56569290161133,-84.24686431884766,46.56642532348633,-0.0632973164319992,0.03532712906599045,-0.10599246621131897,0.07055680453777313,0.0
42.229679107666016,-84.0254135131836,41.72630310058594,-0.0316486582159996,0.0706542581319809,-0.10599246621131897,0.07055680453777313,0.03530741110444069
46.98884582519531,-83.67741394042969,36.601463317871094,-0.0632973164319992,0.03532712906599045,-0.07066164165735245,0.07055680453777313,0.03530741110444069
51.62110137939453,-83.36105346679688,31.53989601135254,-0.284837931394577,0.03532712906599045,-0.07066164165735245,0.07055680453777313,0.0
55.74571228027344,-82.72833251953125,26.794675827026367,-0.3164865970611572,0.03532712906599045,-0.07066164165735245,0.07055680453777313,0.03530741110444069
59.489593505859375,-81.55780029296875,21.859647750854492,-0.3164865970611572,0.0706542581319809,-0.10599246621131897,0.035278402268886566,0.03530741110444069
63.23347091674805,-80.00762939453125,16.576635360717773,-0.22154061496257782,0.0706542581319809,-0.10599246621131897,0.035278402268886566,0.03530741110444069
66.91389465332031,-78.29928588867188,11.293623924255371,0.0,0.0706542581319809,-0.10599246621131897,0.035278402268886566,0.03530741110444069
70.0232162475586,-76.2429428100586,6.26369047164917,0.0949459820985794,0.0706542581319809,-0.10599246621131897,0.035278402268886566,0.03530741110444069
72.5931625366211,-73.74369049072266,1.2970267534255981,0.3164865970611572,0.0706542581319809,-0.10599246621131897,0.035278402268886566,0.03530741110444069
75.06793212890625,-70.9280776977539,-3.954349994659424,0.41143256425857544,0.0706542581319809,-0.10599246621131897,0.0,0.0
77.73307037353516,-67.92265319824219,-9.522074699401855,0.6013245582580566,0.10598138719797134,-0.10599246621131897,0.035278402268886566,0.07061482220888138
79.89055633544922,-64.88558959960938,-14.615277290344238,0.6013245582580566,0.0706542581319809,-0.07066164165735245,0.0,0.07061482220888138
81.25485229492188,-61.595436096191406,-19.392131805419922,0.5380272269248962,0.0706542581319809,-0.07066164165735245,0.0,0.03530741110444069
82.2701416015625,-57.79910659790039,-24.232257843017578,0.5063785314559937,0.0706542581319809,-0.07066164165735245,0.0,0.03530741110444069
83.34888458251953,-53.68642044067383,-29.388729095458984,0.44308122992515564,0.0706542581319809,-0.07066164165735245,0.0,0.03530741110444069
84.1738052368164,-49.3839111328125,-34.418663024902344,0.5063785314559937,0.0706542581319809,-0.10599246621131897,0.0,0.0
84.1738052368164,-44.92322540283203,-38.942440032958984,0.47472989559173584,0.0706542581319809,-0.07066164165735245,0.0,0.0
83.76134490966797,-40.11454391479492,-43.4345817565918,0.44308122992515564,0.0706542581319809,-0.035330820828676224,-0.035278402268886566,0.0
83.57097625732422,-35.052772521972656,-48.2114372253418,0.5380272269248962,0.10598138719797134,-0.07066164165735245,-0.07055680453777313,0.0
83.31715393066406,-30.117542266845703,-52.861751556396484,0.47472989559173584,0.0706542581319809,-0.035330820828676224,-0.035278402268886566,0.03530741110444069
82.39704895019531,-25.30885887145996,-56.84773635864258,0.44308122992515564,0.10598138719797134,-0.035330820828676224,-0.035278402268886566,0.03530741110444069
81.00102996826172,-20.436904907226562,-60.295928955078125,0.3481352627277374,0.0706542581319809,-0.035330820828676224,-0.035278402268886566,0.03530741110444069
79.50981903076172,-15.18531608581543,-64.02883911132812,0.3797839283943176,0.10598138719797134,0.0,-0.035278402268886566,0.03530741110444069
77.7647933959961,-9.902091026306152,-67.60356903076172,0.3481352627277374,0.10598138719797134,-0.035330820828676224,-0.07055680453777313,0.03530741110444069
75.60730743408203,-4.808683395385742,-70.54560089111328,0.284837931394577,0.0706542581319809,-0.035330820828676224,-0.07055680453777313,0.03530741110444069
72.7518081665039,0.4429050385951996,-72.98148345947266,0.2531892657279968,0.10598138719797134,-0.035330820828676224,-0.035278402268886566,0.0
69.8011245727539,5.8526740074157715,-75.51226806640625,0.1265946328639984,0.10598138719797134,0.0,-0.07055680453777313,0.0
66.66007232666016,11.452259063720703,-78.13795471191406,-0.1265946328639984,0.10598138719797134,0.0,-0.07055680453777313,0.07061482220888138
