220kV Ⅲ母电压_A相_1,220kV Ⅲ母电压_B相_2,220kV Ⅲ母电压_C相_3,220kV Ⅲ母电压_3U0_4,通蔓I回282_A相_21,通蔓I回282_B相_22,通蔓I回282_C相_23,通蔓I回282_3I0_24
2.2134058475494385,73.4129638671875,-75.79145812988281,-0.07816970348358154,-0.05681031569838524,-0.04911445081233978,0.11728344857692719,0.007580756675451994
-20.036043167114258,82.95050048828125,-62.68192672729492,0.6253576278686523,-0.02840515784919262,-0.066115602850914,0.10404177010059357,0.007580756675451994
-40.554630279541016,86.45281219482422,-45.58116912841797,0.7973309755325317,0.0018936771666631103,-0.08500577509403229,0.09647509455680847,0.007580756675451994
-58.74441909790039,83.6801528930664,-24.562143325805664,0.8285988569259644,0.03219251334667206,-0.09445086866617203,0.07566674053668976,0.009475946426391602
-73.21023559570312,75.6644515991211,-2.3030266761779785,0.406482458114624,0.05870399251580238,-0.1020069345831871,0.054858386516571045,0.003790378337725997
-82.63031768798828,62.54121780395508,19.778934478759766,-0.45338428020477295,0.07574708759784698,-0.0963398814201355,0.030266696587204933,0.007580756675451994
-86.21792602539062,45.55085372924805,40.04765319824219,-1.0005722045898438,0.10225857049226761,-0.08689479529857635,0.0,0.005685567390173674
-83.59540557861328,24.77674674987793,58.46144485473633,-0.5784558057785034,0.10793960094451904,-0.06989364326000214,-0.022700022906064987,0.005685567390173674
-75.39216613769531,2.418260335922241,72.92570495605469,-0.01563394069671631,0.12119533866643906,-0.047225434333086014,-0.054858386516571045,0.0018951891688629985
-62.06977081298828,-19.773448944091797,82.1169662475586,0.48465216159820557,0.11740798503160477,-0.022668207064270973,-0.06999173760414124,-0.003790378337725997
-44.981441497802734,-40.255699157714844,85.59756469726562,0.812964916229248,0.1060459241271019,0.009445086121559143,-0.0945834219455719,0.0
-24.336973190307617,-58.68450927734375,83.33621978759766,0.7191612720489502,0.09279018640518188,0.0358913280069828,-0.0945834219455719,-0.0018951891688629985
-2.1609554290771484,-73.53804779052734,75.71851348876953,0.21887516975402832,0.07006605714559555,0.06422659009695053,-0.102150097489357,0.0
20.14094352722168,-83.14855194091797,62.68192672729492,-0.46901822090148926,0.04355457425117493,0.07744970917701721,-0.09647509455680847,-0.0018951891688629985
40.73295974731445,-86.6508560180664,45.47696304321289,-0.6878933906555176,0.009468385949730873,0.10389595478773117,-0.08512508124113083,0.0
58.99618148803711,-83.76354217529297,24.38498878479004,-0.6878933906555176,-0.015149417333304882,0.10578496754169464,-0.06431672722101212,0.0
73.4095458984375,-75.62275695800781,2.1050288677215576,-0.26577699184417725,-0.047341931611299515,0.11711907386779785,-0.045400045812129974,0.0
82.63031768798828,-62.384864807128906,-19.789356231689453,0.6253576278686523,-0.06627870351076126,0.11334104090929031,-0.020808354020118713,-0.0018951891688629985
86.03959655761719,-45.436195373535156,-39.90176010131836,1.1256437301635742,-0.08710914850234985,0.0963398814201355,0.015133348293602467,-0.0018951891688629985
83.45903778076172,-24.662086486816406,-58.43018341064453,0.5940897464752197,-0.09468386322259903,0.08500577509403229,0.035941701382398605,0.003790378337725997
75.43412780761719,-2.2619073390960693,-73.15496826171875,0.046901822090148926,-0.10415224730968475,0.062337569892406464,0.06431672722101212,0.003790378337725997
62.19565200805664,20.02361297607422,-82.450439453125,-0.3439466953277588,-0.10415224730968475,0.04155838117003441,0.0794500783085823,0.005685567390173674
44.9604606628418,40.505863189697266,-85.92060852050781,-0.656625509262085,-0.09089650213718414,0.0018890172941610217,0.102150097489357,0.007580756675451994
24.169132232666016,58.91382598876953,-83.52379608154297,-0.609723687171936,-0.07574708759784698,-0.02455722540616989,0.10593343526124954,0.011371134780347347
1.8987035751342773,73.59016418457031,-75.65599060058594,-0.07816970348358154,-0.05302296206355095,-0.05100346729159355,0.11539177596569061,0.009475946426391602
-20.361234664916992,83.01304626464844,-62.494346618652344,0.5159200429916382,-0.03219251334667206,-0.066115602850914,0.10025843232870102,0.005685567390173674
-40.837860107421875,86.45281219482422,-45.2998046875,0.7504291534423828,0.0018936771666631103,-0.08500577509403229,0.0945834219455719,0.005685567390173674
-44.87654113769531,85.30622100830078,-22.71763801574707,30.43928337097168,-0.6135514378547668,-0.11711907386779785,0.060533393174409866,0.6746873259544373
-46.35564041137695,75.97715759277344,-1.4485100507736206,48.74662780761719,-2.0432777404785156,-0.066115602850914,0.10593343526124954,2.0013198852539062
-47.666900634765625,61.62394714355469,19.247467041015625,57.579803466796875,-3.526026964187622,-0.009445086121559143,0.1305251270532608,3.403759717941284
-54.80015182495117,41.454402923583984,36.3899040222168,39.97598648071289,-4.999307632446289,0.018890172243118286,0.13430845737457275,4.834627628326416
-58.12550354003906,19.91937828063965,53.56360626220703,26.640235900878906,-6.252922058105469,0.045336414128541946,0.13241679966449738,6.064605236053467
-52.39792251586914,-2.251483917236328,67.89239501953125,22.93499183654785,-7.233847141265869,0.10389595478773117,0.16268348693847656,6.951553821563721
-42.883426666259766,-21.77476692199707,79.51173400878906,25.858537673950195,-7.890953063964844,0.126564159989357,0.13430845737457275,7.60539436340332
-34.50185775756836,-42.28828811645508,82.9819107055664,10.896856307983398,-8.23181438446045,0.17190057039260864,0.14944180846214294,7.872615814208984
-26.10979652404785,-60.8109130859375,80.96024322509766,-10.11515998840332,-8.089789390563965,0.18512369692325592,0.14187513291835785,7.721000671386719
-13.616117477416992,-74.50743865966797,74.14495086669922,-23.935564041137695,-7.510324001312256,0.20023582875728607,0.1305251270532608,7.1334919929504395
