17-220kV七果Ⅱ回线Ua_17,18-220kV七果Ⅱ回线Ub_18,19-220kV七果Ⅱ回线Uc_19,20-220kV七果Ⅱ回线3Uo_20,13-220kV七东Ⅱ回线Ia_13,14-220kV七东Ⅱ回线Ib_14,15-220kV七东Ⅱ回线Ic_15,16-220kV七东Ⅱ回线3Io_16
-83.72317504882812,31.532136917114258,51.787532806396484,-0.6994525194168091,-0.1868142932653427,0.10059269517660141,0.07908938080072403,0.0
-82.63917541503906,26.001298904418945,56.301856994628906,-0.6358659267425537,-0.1868142932653427,0.08622231334447861,0.08627932518720627,0.0
-81.14070129394531,20.34331512451172,60.43468475341797,-0.47689947485923767,-0.1796291172504425,0.07903711497783661,0.10065921396017075,0.0
-79.35528564453125,15.066767692565918,64.21781158447266,-0.031793296337127686,-0.1796291172504425,0.07185192406177521,0.10065921396017075,0.0
-77.31481170654297,9.853793144226074,67.58766174316406,0.222553089261055,-0.1796291172504425,0.050296347588300705,0.11503910273313522,0.007186242379248142
-75.17869567871094,4.958683013916016,70.63959503173828,0.7312458157539368,-0.1724439561367035,0.043111156672239304,0.1294189840555191,0.0
-72.97880554199219,0.03178643062710762,73.56436920166016,1.1127654314041138,-0.1724439561367035,0.035925962030887604,0.1294189840555191,0.0
-70.74703979492188,-4.7679643630981445,76.23480987548828,1.3671118021011353,-0.16525879502296448,0.028740769252181053,0.13660892844200134,0.0
-68.26021575927734,-9.663074493408203,78.74629974365234,1.5578715801239014,-0.15807363390922546,0.007185192313045263,0.14379887282848358,0.0
-65.42267608642578,-14.526397705078125,80.8445053100586,1.5896648168563843,-0.15807363390922546,-0.007185192313045263,0.15098881721496582,-0.007186242379248142
-62.17067337036133,-19.294363021850586,82.43405151367188,1.685044765472412,-0.15088845789432526,-0.014370384626090527,0.1653687059879303,0.007186242379248142
-58.28102111816406,-24.57090950012207,83.57852935791016,1.3989050388336182,-0.13651813566684723,-0.028740769252181053,0.15817876160144806,-0.007186242379248142
-54.29572296142578,-29.37066078186035,84.34151458740234,1.2717318534851074,-0.12933297455310822,-0.043111156672239304,0.17255865037441254,0.0
-49.73653793334961,-34.615421295166016,84.8819580078125,1.017385482788086,-0.1221478059887886,-0.050296347588300705,0.17255865037441254,0.0
-45.049827575683594,-39.63767623901367,85.16808319091797,0.8584190607070923,-0.114962637424469,-0.0646667331457138,0.17255865037441254,0.007186242379248142
-40.01240921020508,-44.65993118286133,85.0409164428711,0.6994525194168091,-0.10777747631072998,-0.07185192406177521,0.17974859476089478,0.007186242379248142
-34.783695220947266,-49.5550422668457,84.59584045410156,0.44510617852211,-0.10059230774641037,-0.07903711497783661,0.17255865037441254,0.007186242379248142
-29.204275131225586,-54.25943374633789,83.57852935791016,0.28613966703414917,-0.08622197806835175,-0.09340750426054001,0.17255865037441254,0.0
-23.720502853393555,-58.550601959228516,82.40226745605469,0.2543463706970215,-0.07903681695461273,-0.10059269517660141,0.17974859476089478,0.0
-18.17296600341797,-62.49211883544922,80.78092193603516,0.31793296337127686,-0.06466648727655411,-0.10777788609266281,0.17974859476089478,0.0
-12.784841537475586,-65.95684051513672,78.87346649169922,0.2543463706970215,-0.0574813187122345,-0.12214827537536621,0.17255865037441254,0.007186242379248142
-7.556128025054932,-69.10369873046875,76.8706283569336,0.3815195560455322,-0.050296153873205185,-0.12214827537536621,0.17255865037441254,0.0
-2.614356517791748,-72.09162139892578,74.77242279052734,0.2543463706970215,-0.03592582419514656,-0.136518657207489,0.1653687059879303,0.007186242379248142
2.295532703399658,-74.85704040527344,72.61063385009766,0.09537988901138306,-0.014370329678058624,-0.14370384812355042,0.1653687059879303,0.007186242379248142
7.237304210662842,-77.5906753540039,70.32168579101562,0.0,-0.007185164839029312,-0.15088903903961182,0.1653687059879303,0.007186242379248142
12.115310668945312,-80.07001495361328,67.74661254882812,-0.28613966703414917,0.007185164839029312,-0.15807422995567322,0.15098881721496582,0.007186242379248142
16.993318557739258,-82.00898742675781,64.75826263427734,-0.34972625970840454,0.014370329678058624,-0.15807422995567322,0.15098881721496582,0.007186242379248142
21.87132453918457,-83.56652069091797,61.197669982910156,-0.8266257643699646,0.021555494517087936,-0.17244462668895721,0.14379887282848358,0.007186242379248142
26.589920043945312,-84.52011108398438,57.35095977783203,-0.9220056533813477,0.02874065935611725,-0.17962981760501862,0.13660892844200134,0.007186242379248142
31.43604278564453,-85.31477355957031,53.186336517333984,-1.1445586681365967,0.050296153873205185,-0.17962981760501862,0.1294189840555191,0.0
36.282169342041016,-85.5690689086914,48.67201614379883,-1.0809720754623413,0.0574813187122345,-0.17962981760501862,0.12222904711961746,0.007186242379248142
41.09640884399414,-85.6008529663086,43.87157440185547,-1.017385482788086,0.07185164839029312,-0.17962981760501862,0.11503910273313522,0.007186242379248142
45.97441482543945,-85.31477355957031,38.78501510620117,-0.89021235704422,0.08622197806835175,-0.18681500852108002,0.10784915834665298,0.007186242379248142
50.72489547729492,-84.5519027709961,33.41233825683594,-0.7312458157539368,0.08622197806835175,-0.17962981760501862,0.10065921396017075,0.007186242379248142
55.379722595214844,-83.59830474853516,27.912494659423828,-0.508692741394043,0.10059230774641037,-0.18681500852108002,0.08627932518720627,0.007186242379248142
59.460670471191406,-82.1043472290039,22.41265296936035,-0.34972625970840454,0.10777747631072998,-0.17962981760501862,0.07189943641424179,0.007186242379248142
63.44596862792969,-80.45145416259766,16.849227905273438,-0.2543463706970215,0.114962637424469,-0.17962981760501862,0.07189943641424179,0.007186242379248142
