220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV玉元II回线_A相_17,220kV玉元II回线_B相_18,220kV玉元II回线_C相_19,220kV玉元II回线_3I0_20
25.924707412719727,57.701560974121094,-84.00028228759766,-0.2804754078388214,0.18673130869865417,-0.25049856305122375,0.09279417246580124,0.009274326264858246
4.10988712310791,72.45952606201172,-76.84800720214844,-0.2337295114994049,0.22407756745815277,-0.23194311559200287,0.0,0.01854865252971649
-18.572925567626953,82.1561279296875,-63.612667083740234,0.17140163481235504,0.26142382621765137,-0.18555448949337006,-0.10207358747720718,0.0
-38.78771209716797,86.0326919555664,-46.962093353271484,0.6388606429100037,0.28009697794914246,-0.1298881471157074,-0.1484706699848175,0.0
-57.46521759033203,83.40328216552734,-26.10735321044922,-0.26489344239234924,0.28009697794914246,-0.055666349828243256,-0.18558834493160248,0.01854865252971649
-72.00145721435547,76.4815902709961,-4.442921161651611,0.1402377039194107,0.23341414332389832,0.03711089864373207,-0.2134265899658203,0.0
-81.9676742553711,63.42806625366211,18.083105087280273,-0.7635164260864258,0.18673130869865417,0.11133269965648651,-0.2505442500114441,0.009274326264858246
-86.21350860595703,47.07998275756836,38.512237548828125,-1.0439918041229248,0.13071191310882568,0.1762767732143402,-0.25982367992401123,0.0
-83.56770324707031,26.05508041381836,57.37389373779297,-0.15581966936588287,0.07469252496957779,0.23194311559200287,-0.269103080034256,0.0
-76.58193969726562,4.3130669593811035,72.12480926513672,-0.21814754605293274,-0.009336565621197224,0.26905402541160583,-0.2505442500114441,0.0
-63.101932525634766,-18.229202270507812,81.68539428710938,0.7167704701423645,-0.09336565434932709,0.31544265151023865,-0.15775008499622345,-0.01854865252971649
-46.662384033203125,-38.796817779541016,86.0348892211914,1.1686475276947021,-0.16805818676948547,0.29688718914985657,-0.11135300248861313,-0.009274326264858246
-26.092031478881836,-57.701560974121094,83.84456634521484,0.24931147694587708,-0.20540444552898407,0.2876094579696655,-0.04639708623290062,-0.009274326264858246
-4.235379695892334,-72.44912719726562,76.77534484863281,0.35838523507118225,-0.24275070428848267,0.2597762942314148,0.037117667496204376,-0.01854865252971649
18.436975479125977,-82.27045440673828,63.685333251953125,0.0,-0.28009697794914246,0.21338766813278198,0.12991183996200562,-0.01854865252971649
38.56809997558594,-86.24055480957031,47.13856506347656,-0.6076967120170593,-0.3081066608428955,0.15772132575511932,0.18558834493160248,0.0
57.412925720214844,-83.6527099609375,26.34610939025879,0.3739672005176544,-0.2894335389137268,0.09277724474668503,0.2319854199886322,0.0
72.02237701416016,-76.64787292480469,4.640153884887695,0.10907377302646637,-0.24275070428848267,0.0,0.2783825099468231,0.009274326264858246
81.97813415527344,-63.71906661987305,-17.833969116210938,0.8102623224258423,-0.19606788456439972,-0.08349952101707458,0.269103080034256,0.0
86.28671264648438,-47.360591888427734,-38.294246673583984,1.1219016313552856,-0.14938504993915558,-0.15772132575511932,0.3155001699924469,0.0
83.63045501708984,-26.20058250427246,-57.29084777832031,0.24931147694587708,-0.07469252496957779,-0.20410993695259094,0.296941339969635,0.0
76.66560363769531,-4.416996002197266,-72.14556884765625,0.24931147694587708,-0.009336565621197224,-0.2412208467721939,0.269103080034256,0.0
63.27971267700195,18.156452178955078,-81.84110260009766,-0.5297868847846985,0.10270222276449203,-0.2597762942314148,0.22270600497722626,0.009274326264858246
46.829708099365234,38.536991119384766,-86.19059753417969,-1.1063196659088135,0.13071191310882568,-0.2783317267894745,0.1484706699848175,0.01854865252971649
26.2175235748291,57.462520599365234,-84.03141784667969,-0.35838523507118225,0.18673130869865417,-0.2783317267894745,0.0835147500038147,0.027822978794574738
4.423618793487549,72.28284454345703,-76.98295593261719,-0.1869836002588272,0.22407756745815277,-0.22266539931297302,0.0,0.01854865252971649
-18.280109405517578,82.05220031738281,-63.80990219116211,0.17140163481235504,0.26142382621765137,-0.1762767732143402,-0.07423533499240875,0.009274326264858246
-38.50535583496094,86.0326919555664,-47.231990814208984,0.6388606429100037,0.2707604169845581,-0.1298881471157074,-0.13919125497341156,0.0
-57.25606155395508,83.49681854248047,-26.429153442382812,-0.26489344239234924,0.28009697794914246,-0.0649440735578537,-0.20414717495441437,-0.009274326264858246
-71.86550903320312,76.59590911865234,-4.712818622589111,0.15581966936588287,0.23341414332389832,0.027833174914121628,-0.22270600497722626,0.0
-81.89447021484375,63.65671157836914,17.79244613647461,-0.7479344010353088,0.16805818676948547,0.10205496847629547,-0.25982367992401123,-0.027822978794574738
-86.19259643554688,47.35020065307617,38.221580505371094,-1.059573769569397,0.12137535214424133,0.1762767732143402,-0.269103080034256,-0.009274326264858246
-83.63045501708984,26.34608268737793,57.1455192565918,-0.17140163481235504,0.06535595655441284,0.23194311559200287,-0.25982367992401123,0.0
-76.72834777832031,4.583282947540283,71.9587173461914,-0.24931147694587708,-0.009336565621197224,0.2783317267894745,-0.22270600497722626,0.0
-63.332000732421875,-17.948593139648438,81.63349151611328,0.670024573802948,-0.09336565434932709,0.29688718914985657,-0.15775008499622345,-0.009274326264858246
-46.9552001953125,-38.47463607788086,86.04527282714844,1.15306556224823,-0.14938504993915558,0.3061649203300476,-0.12063241750001907,-0.009274326264858246
-26.395305633544922,-57.462520599365234,83.9276123046875,0.24931147694587708,-0.19606788456439972,0.2876094579696655,-0.037117667496204376,0.0
-4.549111843109131,-72.27245330810547,76.9310531616211,0.389549195766449,-0.23341414332389832,0.26905402541160583,0.009279416874051094,-0.009274326264858246
