220KV I母线_A_1,220KV I母线_B_2,220KV I母线_C_3,220KV I母线_N_4,220KV 朝黄II回电流_A_21,220KV 朝黄II回电流_B_22,220KV 朝黄II回电流_C_23,220KV 朝黄II回电流_N_24
-43.241790771484375,84.94554138183594,-41.54610061645508,0.7413780093193054,0.001973999897018075,0.033472999930381775,-0.02563600055873394,0.0019680000841617584
-64.68391418457031,81.27518463134766,-16.7972469329834,-0.03154800087213516,-0.009870000183582306,0.033472999930381775,-0.017748000100255013,0.0019680000841617584
-78.73329162597656,68.61878204345703,10.034172058105469,0.09464400261640549,-0.021714000031352043,0.03544199839234352,-0.003944000229239464,0.0019680000841617584
-84.93772888183594,49.06464385986328,34.90924072265625,-1.1672760248184204,-0.023687999695539474,0.029534999281167984,0.009859999641776085,0.003936000168323517
-83.68632507324219,25.745227813720703,57.722782135009766,0.15773999691009521,-0.027636000886559486,0.025597000494599342,0.015776000916957855,0.003936000168323517
-74.09573364257812,-1.191810965538025,74.59365844726562,-0.5678640007972717,-0.0315839983522892,0.011814000084996223,0.027607999742031097,0.003936000168323517
-55.860992431640625,-27.063602447509766,83.0606460571289,0.7729259729385376,-0.027636000886559486,0.005907000042498112,0.03746800124645233,0.005903999786823988
-33.29365539550781,-51.02638626098633,84.01778411865234,0.01577400043606758,-0.019740000367164612,-0.005907000042498112,0.041411999613046646,0.005903999786823988
-8.170931816101074,-70.00044250488281,78.1697769165039,0.23660999536514282,-0.0157919991761446,-0.015752000734210014,0.041411999613046646,0.005903999786823988
18.613319396972656,-81.30682373046875,62.26655960083008,-0.31547999382019043,-0.001973999897018075,-0.023628000169992447,0.041411999613046646,0.003936000168323517
43.241790771484375,-85.20921325683594,41.32522201538086,-0.4101240038871765,0.00394799979403615,-0.023628000169992447,0.03155200183391571,0.005903999786823988
64.50514221191406,-81.57049560546875,16.807764053344727,0.18928800523281097,0.011843999847769737,-0.027566000819206238,0.021692000329494476,0.005903999786823988
78.74380493164062,-68.73480224609375,-10.086762428283691,0.4101240038871765,0.027636000886559486,-0.027566000819206238,0.011831999756395817,0.003936000168323517
84.76947784423828,-49.27558517456055,-34.80406188964844,1.5300780534744263,0.0315839983522892,-0.023628000169992447,0.0,0.0019680000841617584
83.34981536865234,-25.523740768432617,-57.71226501464844,0.3312540054321289,0.03355799987912178,-0.01772099919617176,-0.007888000458478928,0.003936000168323517
73.91696166992188,1.2023580074310303,-74.7198715209961,0.9464399814605713,0.03553200140595436,-0.005907000042498112,-0.023663999512791634,0.0019680000841617584
55.67170333862305,26.694456100463867,-83.21841430664062,-0.820248007774353,0.03553200140595436,0.003938000183552504,-0.03155200183391571,0.005903999786823988
33.461910247802734,50.98419952392578,-84.70145416259766,0.2523840069770813,0.029610000550746918,0.013783000409603119,-0.03155200183391571,0.003936000168323517
8.055255889892578,69.9898910522461,-78.39065551757812,0.0,0.023687999695539474,0.02165899984538555,-0.035496000200510025,0.0019680000841617584
-18.392484664916992,80.96932220458984,-62.4874382019043,0.7256039977073669,0.009870000183582306,0.03150400146842003,-0.03352399915456772,0.003936000168323517
-42.9788932800293,84.95608520507812,-41.809051513671875,0.7571520209312439,0.00394799979403615,0.033472999930381775,-0.027607999742031097,0.0
-64.58927154541016,81.35955810546875,-17.028642654418945,-0.07886999845504761,-0.009870000183582306,0.033472999930381775,-0.017748000100255013,0.0019680000841617584
-78.58606719970703,68.69261169433594,9.855365753173828,0.11041799932718277,-0.021714000031352043,0.033472999930381775,-0.005915999878197908,0.003936000168323517
-84.90618133544922,49.2861328125,34.6778450012207,-1.1672760248184204,-0.023687999695539474,0.027566000819206238,0.007888000458478928,0.003936000168323517
-83.84407043457031,25.956167221069336,57.6491584777832,0.18928800523281097,-0.029610000550746918,0.023628000169992447,0.013803999871015549,0.0019680000841617584
-74.11676788330078,-1.001965045928955,74.43588256835938,-0.5994120240211487,-0.03355799987912178,0.013783000409603119,0.027607999742031097,0.0019680000841617584
-55.99769973754883,-26.831567764282227,82.97650146484375,0.7886999845504761,-0.025661999359726906,0.003938000183552504,0.035496000200510025,0.0019680000841617584
-33.57758712768555,-50.857635498046875,84.1124496459961,-0.03154800087213516,-0.021714000031352043,-0.003938000183552504,0.041411999613046646,0.005903999786823988
-8.28660774230957,-69.905517578125,78.18029022216797,0.23660999536514282,-0.01776600070297718,-0.013783000409603119,0.041411999613046646,0.005903999786823988
18.318872451782227,-81.25408935546875,62.466400146484375,-0.37857601046562195,-0.00394799979403615,-0.02165899984538555,0.03943999856710434,0.005903999786823988
43.02095413208008,-85.18811798095703,41.53558349609375,-0.4101240038871765,0.005921999923884869,-0.023628000169992447,0.03155200183391571,0.005903999786823988
64.4104995727539,-81.63378143310547,16.955015182495117,0.18928800523281097,0.01776600070297718,-0.029534999281167984,0.023663999512791634,0.005903999786823988
78.58606719970703,-68.84027099609375,-9.802776336669922,0.39434999227523804,0.029610000550746918,-0.025597000494599342,0.011831999756395817,0.003936000168323517
84.77999114990234,-49.518165588378906,-34.59370040893555,1.5143040418624878,0.03355799987912178,-0.02165899984538555,0.0,0.005903999786823988
83.39187622070312,-25.69249153137207,-57.56501388549805,0.31547999382019043,0.03355799987912178,-0.015752000734210014,-0.007888000458478928,0.003936000168323517
74.07470703125,0.9281359910964966,-74.58313751220703,0.9779880046844482,0.039480000734329224,-0.007876000367105007,-0.021692000329494476,0.003936000168323517
55.92408752441406,26.47296905517578,-83.23944854736328,-0.8360220193862915,0.03750599920749664,0.003938000183552504,-0.029580000787973404,0.0019680000841617584
