220kV I母电压_1,220kV I母电压_2,220kV I母电压_3,220kV I母电压_4,保腾I回电流_17,保腾I回电流_18,保腾I回电流_19,保腾I回电流_20
-67.08633422851562,-11.946147918701172,79.01502990722656,0.007819999940693378,0.6860340237617493,0.01738099940121174,-0.657912015914917,0.02611899934709072
-63.56454086303711,-17.16518211364746,80.9870376586914,0.516510009765625,0.6426140069961548,0.09991700202226639,-0.6840540170669556,0.03047100082039833
-59.76811599731445,-22.25495147705078,82.60882568359375,1.064329981803894,0.6122199892997742,0.13032500445842743,-0.749409019947052,0.03917500004172325
-55.627052307128906,-27.41473960876465,83.8426742553711,1.439978003501892,0.5470899939537048,0.20851700007915497,-0.7276239991188049,0.03917500004172325
-51.238277435302734,-32.4668083190918,84.65087127685547,1.6278020143508911,0.52538001537323,0.23458099365234375,-0.7711939811706543,0.02176699973642826
-46.73641586303711,-37.545806884765625,85.12501525878906,1.5417159795761108,0.5080119967460632,0.29105299711227417,-0.7711939811706543,0.02611899934709072
-42.02992630004883,-42.46860885620117,85.21122741699219,1.2365020513534546,0.46459200978279114,0.31711700558662415,-0.7711939811706543,0.013062999583780766
-37.269588470458984,-47.224449157714844,84.95799255371094,0.766942024230957,0.3951199948787689,0.37358900904655457,-0.7668370008468628,0.03047100082039833
-32.283077239990234,-51.877952575683594,84.31143188476562,0.1878180056810379,0.38643598556518555,0.42571699619293213,-0.7668370008468628,0.02176699973642826
-27.210407257080078,-56.235225677490234,83.35775756835938,-0.10956999659538269,0.3256480097770691,0.4387489855289459,-0.8060500025749207,-0.00434499979019165
-22.03003692626953,-60.23163986206055,82.15623474121094,-0.1721780002117157,0.29959601163864136,0.48218899965286255,-0.7842649817466736,-0.00434499979019165
-16.822742462158203,-63.88873291015625,80.64220428466797,-0.22696000337600708,0.26051801443099976,0.5212849974632263,-0.7886220216751099,7.000000096013537e-06
-11.577752113342285,-67.24420928955078,78.85338592529297,-0.039135999977588654,0.23446600139141083,0.5603809952735901,-0.7886220216751099,0.03482300043106079
-6.25737190246582,-70.34654235839844,76.9029312133789,0.2504259943962097,0.1649940013885498,0.5603809952735901,-0.7624800205230713,-0.013048999942839146
-1.0285370349884033,-73.11495208740234,74.58070373535156,0.516510009765625,0.1259160041809082,0.6038209795951843,-0.7232670187950134,0.03047100082039833
4.200297832489014,-75.79179382324219,72.01062774658203,0.5634660124778748,0.086837999522686,0.6516050100326538,-0.7450519800186157,-0.013048999942839146
9.305277824401855,-78.1939468383789,69.18731689453125,0.391294002532959,0.03473399952054024,0.6602929830551147,-0.6927679777145386,-0.00434499979019165
14.372563362121582,-80.37527465820312,66.056884765625,-0.007832000032067299,-0.013027999550104141,0.7080770134925842,-0.6971250176429749,7.000000096013537e-06
19.40215301513672,-82.23344421386719,62.581626892089844,-0.42261001467704773,-0.09118399769067764,0.7211089730262756,-0.6666259765625,-0.00434499979019165
24.44251251220703,-83.714599609375,58.75614547729492,-0.9156479835510254,-0.09118399769067764,0.7602049708366394,-0.6230559945106506,7.000000096013537e-06
29.488258361816406,-84.82411193847656,54.62355041503906,-1.244339942932129,-0.15631400048732758,0.7515169978141785,-0.5838429927825928,-0.008697000332176685
34.53400421142578,-85.51351928710938,50.16767501831055,-1.3539040088653564,-0.186708003282547,0.7515169978141785,-0.5620579719543457,7.000000096013537e-06
39.482818603515625,-85.75588989257812,45.469337463378906,-1.1895580291748047,-0.2605220079421997,0.7819250226020813,-0.5272020101547241,-0.03045699931681156
44.3831672668457,-85.6212387084961,40.700958251953125,-0.7278239727020264,-0.28657400608062744,0.7688930034637451,-0.49670299887657166,-0.01740100048482418
49.175819396972656,-85.21190643310547,35.760162353515625,-0.36782801151275635,-0.3126260042190552,0.7688930034637451,-0.4313479959964752,-0.0261049997061491
53.68306350708008,-84.50634002685547,30.776262283325195,0.07825399935245514,-0.36038801074028015,0.799301028251648,-0.41827699542045593,-0.00434499979019165
57.88336181640625,-83.43452453613281,25.65227508544922,0.44607600569725037,-0.4124920070171356,0.7949569821357727,-0.3616360127925873,-0.008697000332176685
61.722869873046875,-82.10418701171875,20.54983901977539,0.516510009765625,-0.44288599491119385,0.7732369899749756,-0.30499500036239624,-0.02175300009548664
65.15850067138672,-80.46684265136719,15.398911476135254,0.43825000524520874,-0.5036739706993103,0.7558609843254089,-0.27013900876045227,-0.03045699931681156
68.33026123046875,-78.70561981201172,10.301862716674805,0.09390600025653839,-0.516700029373169,0.7167649865150452,-0.22656899690628052,-0.04786499962210655
71.17892456054688,-76.62662506103516,5.102443218231201,-0.2347860038280487,-0.5297260284423828,0.7254530191421509,-0.21349799633026123,-0.02175300009548664
73.7798843383789,-74.16522216796875,-0.07542499899864197,-0.5713040232658386,-0.5688040256500244,0.7124210000038147,-0.1307149976491928,-0.01740100048482418
76.2569808959961,-71.57994079589844,-5.2209649085998535,-0.5713040232658386,-0.5861719846725464,0.7124210000038147,-0.09150200337171555,7.000000096013537e-06
78.50252532958984,-68.6391830444336,-10.291072845458984,-0.4930439889431,-0.6339340209960938,0.6516050100326538,-0.06100299954414368,-0.04351300001144409
80.43574523925781,-65.36449432373047,-15.377345085144043,-0.3286980092525482,-0.6382759809494019,0.6516050100326538,0.008709000423550606,-0.02175300009548664
82.06201171875,-61.71278762817383,-20.59292984008789,-0.22696000337600708,-0.6816959977149963,0.6081650257110596,0.07842099666595459,7.000000096013537e-06
55.21778869628906,-72.58712005615234,-41.33134078979492,-106.87186431884766,2.3880980014801025,0.5430049896240234,0.09149199724197388,3.0507590770721436
