1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,13-220kV草水Ⅱ回线电流Ia_13,14-220kV草水Ⅱ回线电流Ib_14,15-220kV草水Ⅱ回线电流Ic_15,16-220kV草水Ⅱ回线电流3Io_16
34.01011276245117,51.294979095458984,-85.5306167602539,-0.44351068139076233,-0.1410870999097824,-0.31770920753479004,0.4943641722202301,0.0
28.956274032592773,55.63556671142578,-84.67499542236328,-0.38015198707580566,-0.10581532120704651,-0.3530102074146271,0.4943641722202301,-0.03530658036470413
23.74350929260254,59.564273834228516,-83.43909454345703,-0.3167933225631714,-0.0705435499548912,-0.3530102074146271,0.4943641722202301,0.0
18.40360450744629,63.461299896240234,-81.98136901855469,-0.22175534069538116,-0.0705435499548912,-0.3883112370967865,0.4590524435043335,0.0
12.968342781066895,67.07317352294922,-80.20674133300781,-0.28511399030685425,0.0,-0.4236122667789459,0.4237407147884369,0.0
7.596651554107666,70.36821746826172,-78.17859649658203,-0.38015198707580566,0.0352717749774456,-0.45891329646110535,0.4590524435043335,0.0
2.2249608039855957,73.40979766845703,-75.86524963378906,-0.2534346580505371,0.0705435499548912,-0.45891329646110535,0.3884289860725403,-0.03530658036470413
-3.051374673843384,76.07118225097656,-73.29837799072266,-0.28511399030685425,0.10581532120704651,-0.45891329646110535,0.3884289860725403,0.0
-8.327710151672363,78.41573333740234,-70.41461181640625,-0.2534346580505371,0.10581532120704651,-0.4942142963409424,0.3884289860725403,0.0
-13.66761589050293,80.5701904296875,-67.08718872070312,-0.03167933225631714,0.1410870999097824,-0.4942142963409424,0.3531172573566437,0.0
-18.816810607910156,82.21771240234375,-63.506248474121094,0.09503799676895142,0.17635886371135712,-0.4942142963409424,0.31780552864074707,0.0
-23.870649337768555,83.58008575439453,-59.73516845703125,0.22175534069538116,0.21163064241409302,-0.5295153260231018,0.31780552864074707,0.0
-28.892704010009766,84.65731048583984,-55.7105712890625,0.3167933225631714,0.24690242111682892,-0.5295153260231018,0.28249379992485046,0.0
-33.81940460205078,85.35433959960938,-51.46414566040039,0.3484726548194885,0.24690242111682892,-0.4942142963409424,0.24718208611011505,0.0
-38.84145736694336,85.86126708984375,-46.837440490722656,0.5068693161010742,0.2821741998195648,-0.4942142963409424,0.24718208611011505,0.0
-43.67280197143555,85.98799896240234,-42.21073913574219,0.2534346580505371,0.2821741998195648,-0.5295153260231018,0.21187035739421844,0.0
-48.281646728515625,85.82958221435547,-37.52065658569336,0.06335866451263428,0.35271772742271423,-0.4942142963409424,0.17655862867832184,0.0
-52.731571197509766,85.1959228515625,-32.60874557495117,-0.09503799676895142,0.38798952102661133,-0.4942142963409424,0.17655862867832184,0.0
-56.927207946777344,84.18206024169922,-27.41162872314453,-0.22175534069538116,0.38798952102661133,-0.45891329646110535,0.10593517869710922,0.03530658036470413
-60.80500030517578,82.85137176513672,-22.309579849243164,-0.47519001364707947,0.42326128482818604,-0.45891329646110535,0.07062344998121262,0.0
-64.71456909179688,81.39395141601562,-16.92232322692871,-0.47519001364707947,0.42326128482818604,-0.4942142963409424,0.03531172499060631,0.0
-68.2745132446289,79.4612808227539,-11.535066604614258,-0.6335866451263428,0.42326128482818604,-0.4236122667789459,0.03531172499060631,0.0
-71.29409790039062,77.21177673339844,-6.147810459136963,-0.5385486483573914,0.49380484223365784,-0.4236122667789459,0.0,0.03530658036470413
-74.31369018554688,74.86722564697266,-0.7288641333580017,-0.5068693161010742,0.49380484223365784,-0.3883112370967865,-0.07062344998121262,0.03530658036470413
-76.92007446289062,72.2375259399414,4.531633377075195,-0.5385486483573914,0.49380484223365784,-0.4236122667789459,-0.07062344998121262,0.0
-79.24038696289062,69.22763061523438,9.697061538696289,-0.7603039741516113,0.49380484223365784,-0.3530102074146271,-0.10593517869710922,0.0
-81.11571502685547,65.93258666992188,14.925869941711426,-0.7603039741516113,0.5290766358375549,-0.31770920753479004,-0.14124689996242523,0.0
-82.67318725585938,62.193973541259766,20.059608459472656,-0.9820593595504761,0.5290766358375549,-0.3530102074146271,-0.17655862867832184,0.0
-83.97637176513672,58.29695129394531,25.288415908813477,-0.9503800272941589,0.5290766358375549,-0.31770920753479004,-0.21187035739421844,0.0
-84.929931640625,54.05141067504883,30.358776092529297,-1.2354940176010132,0.5290766358375549,-0.2824081778526306,-0.17655862867832184,0.0
-85.53384399414062,49.71082305908203,35.30237579345703,-1.3622113466262817,0.5290766358375549,-0.2471071481704712,-0.24718208611011505,0.0
-85.85169982910156,45.14845275878906,40.309356689453125,-1.0454180240631104,0.5290766358375549,-0.21180613338947296,-0.31780552864074707,0.0
