220kVⅡ段母线电压_A相_5,220kVⅡ段母线电压_B相_6,220kVⅡ段母线电压_C相_7,220kVⅡ段母线电压_3U0_8,三沾Ⅱ回280_A相_41,三沾Ⅱ回280_B相_42,三沾Ⅱ回280_C相_43,三沾Ⅱ回280_3I0_44
82.94828033447266,-43.44814682006836,-39.215755462646484,0.12433688342571259,-0.01871022768318653,0.38432812690734863,0.03747675195336342,-0.20591728389263153
80.32635498046875,-23.031875610351562,-57.76052474975586,-0.24867376685142517,-0.04677556827664375,0.3093372583389282,0.11243025958538055,-0.22463703155517578
72.21184539794922,-1.4738739728927612,-70.71489715576172,-0.43517908453941345,-0.04677556827664375,0.2155987024307251,0.1873837560415268,-0.22463703155517578
60.02454376220703,20.540821075439453,-79.85244750976562,0.07771055400371552,-0.07484091073274612,0.11248628050088882,0.29981401562690735,-0.16847777366638184
43.111549377441406,39.784217834472656,-83.05733489990234,0.0,-0.13097159564495087,0.05624314025044441,0.34665995836257935,-0.07487901300191879
22.87192153930664,58.477508544921875,-80.97260284423828,0.52843177318573,-0.15903693437576294,-0.03749542683362961,0.39350590109825134,-0.018719753250479698
1.7099533081054688,72.02262115478516,-72.45735931396484,0.37301063537597656,-0.12161648273468018,-0.13123399019241333,0.4028750956058502,0.056159257888793945
-20.374353408813477,80.90737915039062,-59.938602447509766,0.6372265219688416,-0.056130681186914444,-0.22497256100177765,0.3747675120830536,0.10295864194631577
-39.940364837646484,83.75133514404297,-43.2918701171875,0.7304791808128357,-0.03742045536637306,-0.28121569752693176,0.3653983175754547,0.13103827834129333
-57.8171501159668,81.43672943115234,-22.631256103515625,0.07771055400371552,0.01871022768318653,-0.3093372583389282,0.33729076385498047,0.17783765494823456
-70.69879913330078,73.45497131347656,-1.7943204641342163,1.2899951934814453,0.03742045536637306,-0.3093372583389282,0.25296807289123535,0.22463703155517578
-80.08799743652344,60.48073196411133,19.810129165649414,0.12433688342571259,0.08419602364301682,-0.3093372583389282,0.15927620232105255,0.26207655668258667
-82.96900939941406,43.92559814453125,39.59951400756836,-0.264215886592865,0.12161648273468018,-0.2718418538570404,0.08432269096374512,0.2807962894439697
