220kVⅢ母电压_9,220kVⅢ母电压_10,220kVⅢ母电压_11,220kVⅢ母电压_12,博南Ⅰ回电流_29,博南Ⅰ回电流_30,博南Ⅰ回电流_31,博南Ⅰ回电流_32
1.4317070245742798,-73.67828369140625,72.59673309326172,0.41239699721336365,0.05450399965047836,-0.07697200030088425,0.02163900062441826,0.0060640000738203526
6.785035133361816,-76.27713775634766,69.82669830322266,0.10893800109624863,0.05450399965047836,-0.073512002825737,0.011258999817073345,-0.004315999802201986
12.021648406982422,-78.58809661865234,66.64427185058594,-0.15561600029468536,0.061423998326063156,-0.06659200042486191,0.011258999817073345,0.0060640000738203526
17.071517944335938,-80.47109985351562,63.25175476074219,-0.521323025226593,0.061423998326063156,-0.06659200042486191,0.0043390002101659775,0.0060640000738203526
22.308130264282227,-82.01951599121094,59.6413688659668,-0.7158480286598206,0.06834399700164795,-0.06659200042486191,-0.002581000095233321,-0.004315999802201986
27.521400451660156,-83.38119506835938,55.75086975097656,-0.7002859711647034,0.06834399700164795,-0.06313200294971466,-0.002581000095233321,-0.0008559999987483025
32.39230728149414,-84.29157257080078,51.61915969848633,-0.7158480286598206,0.06834399700164795,-0.05275199934840202,-0.009500999934971333,0.0060640000738203526
37.21652603149414,-84.54833984375,47.207332611083984,-0.5835710167884827,0.06834399700164795,-0.06313200294971466,-0.0164209995418787,-0.0008559999987483025
41.72950744628906,-84.55612182617188,42.77994155883789,-0.3345789909362793,0.07872399687767029,-0.04929199814796448,-0.019881000742316246,-0.0008559999987483025
46.35142135620117,-84.4938735961914,38.19693374633789,-0.26455000042915344,0.08218400180339813,-0.05275199934840202,-0.02680099941790104,0.002604000037536025
50.67765426635742,-83.8791732788086,33.364933013916016,-0.14005400240421295,0.07872399687767029,-0.04929199814796448,-0.030261000618338585,-0.004315999802201986
54.73933792114258,-82.9454574584961,28.38509178161621,-0.08558700233697891,0.08218400180339813,-0.04929199814796448,-0.030261000618338585,-0.0008559999987483025
58.70764923095703,-81.80943298339844,23.257413864135742,-0.11671099811792374,0.08218400180339813,-0.042371999472379684,-0.030261000618338585,0.0060640000738203526
62.559242248535156,-80.51000213623047,18.090829849243164,-0.11671099811792374,0.08218400180339813,-0.03545200079679489,-0.03718100115656853,-0.004315999802201986
66.10737609863281,-78.89155578613281,12.916463851928711,-0.03890100121498108,0.08218400180339813,-0.03545200079679489,-0.04410099983215332,-0.0008559999987483025
69.26646423339844,-76.60394287109375,7.555355072021484,0.04668999835848808,0.07872399687767029,-0.02853200025856495,-0.047561001032590866,0.002604000037536025
72.12987518310547,-74.04399108886719,2.2020270824432373,0.17118600010871887,0.07526399940252304,-0.025072000920772552,-0.05102099850773811,0.002604000037536025
74.89212799072266,-71.42957305908203,-3.0268049240112305,0.4590829908847809,0.07526399940252304,-0.021611999720335007,-0.05102099850773811,-0.0008559999987483025
77.21864318847656,-68.3327407836914,-8.247856140136719,0.6536080241203308,0.07872399687767029,-0.014692000113427639,-0.05102099850773811,-0.0008559999987483025
79.2183609008789,-64.86241149902344,-13.445564270019531,0.910381019115448,0.07526399940252304,-0.011231999844312668,-0.057941000908613205,-0.0008559999987483025
80.72010040283203,-61.3609619140625,-18.52655792236328,1.1593730449676514,0.06834399700164795,-0.007772000040858984,-0.057941000908613205,-0.004315999802201986
82.20626831054688,-57.688331604003906,-23.529739379882812,1.307211995124817,0.06834399700164795,-0.0008520000264979899,-0.064860999584198,0.002604000037536025
83.33451080322266,-53.9456672668457,-28.486236572265625,1.276087999343872,0.06834399700164795,0.006068000104278326,-0.06832099705934525,0.002604000037536025
84.09705352783203,-49.68168258666992,-33.43495178222656,1.1515920162200928,0.0648839995265007,0.006068000104278326,-0.07178100198507309,-0.0008559999987483025
84.46276092529297,-45.44881820678711,-38.22026824951172,0.9025999903678894,0.0648839995265007,0.012988000176846981,-0.07178100198507309,0.002604000037536025
84.63394165039062,-41.044769287109375,-42.966678619384766,0.6536080241203308,0.061423998326063156,0.01990799978375435,-0.07870099693536758,0.002604000037536025
84.37716674804688,-36.35282897949219,-47.53412628173828,0.5835790038108826,0.05104399845004082,0.023367999121546745,-0.07870099693536758,-0.004315999802201986
83.6768798828125,-31.271835327148438,-51.883705139160156,0.40461599826812744,0.05104399845004082,0.030287999659776688,-0.07870099693536758,0.0060640000738203526
82.60309600830078,-26.12859344482422,-55.984291076660156,0.3812730014324188,0.044123999774456024,0.030287999659776688,-0.07870099693536758,-0.0008559999987483025
81.35035705566406,-21.00091552734375,-59.87479019165039,0.4824259877204895,0.04066399857401848,0.03374800086021423,-0.07870099693536758,-0.004315999802201986
79.80194091796875,-15.803207397460938,-63.5318603515625,0.42017799615859985,0.04066399857401848,0.04412800073623657,-0.07524099946022034,0.0060640000738203526
77.84890747070312,-10.558813095092773,-66.77653503417969,0.4668639898300171,0.033743999898433685,0.04412800073623657,-0.07870099693536758,-0.004315999802201986
75.57685852050781,-5.283295154571533,-69.67884826660156,0.4979879856109619,0.033743999898433685,0.04758799821138382,-0.07524099946022034,-0.0008559999987483025
73.12583923339844,-0.27233099937438965,-72.41776275634766,0.350149005651474,0.023364000022411346,0.05450800061225891,-0.07524099946022034,0.0060640000738203526
70.49586486816406,4.855348110198975,-75.0555191040039,0.12449999898672104,0.016443999484181404,0.051047999411821365,-0.07870099693536758,-0.0008559999987483025
67.3990249633789,10.068617820739746,-77.31979370117188,-0.11671099811792374,0.012984000146389008,0.05796800181269646,-0.07524099946022034,-0.0008559999987483025
