5-500kV宝七Ⅰ回线电压Ua_5,6-500kV宝七Ⅰ回线电压Ub_6,7-500kV宝七Ⅰ回线电压Uc_7,8-500kV宝七Ⅰ回线电压3Uo_8,25-5723断路器电流Ia_25,26-5723断路器电流Ib_26,27-5723断路器电流Ic_27,28-5723断路器电流3Io_28
-82.26299285888672,14.389031410217285,67.71857452392578,-0.5904785990715027,0.08287419378757477,-0.020718548446893692,-0.08632728457450867,-0.020718548446893692
-80.33616638183594,8.95041275024414,71.26144409179688,-0.5904785990715027,0.08632728457450867,-0.013812365010380745,-0.09323346614837646,-0.020718548446893692
-78.12964630126953,3.511793851852417,74.55569458007812,-0.5283229947090149,0.07942110300064087,-0.010359274223446846,-0.09323346614837646,-0.020718548446893692
-75.61234283447266,-1.895747184753418,77.47701263427734,-0.37293386459350586,0.07596801221370697,-0.0034530912525951862,-0.09668655693531036,-0.020718548446893692
-72.75318145751953,-7.272210597991943,79.99431610107422,-0.21754474937915802,0.07251491397619247,0.0069061825051903725,-0.10013964772224426,-0.020718548446893692
-69.61431884765625,-12.555439949035645,82.20083618164062,-0.031077822670340538,0.06906182318925858,0.013812365010380745,-0.10359273850917816,-0.020718548446893692
-66.10252380371094,-17.83867073059082,84.06550598144531,0.15538911521434784,0.06906182318925858,0.013812365010380745,-0.10359273850917816,-0.020718548446893692
-62.31103515625,-23.059743881225586,85.52616882324219,0.2486225813627243,0.05870255082845688,0.02762473002076149,-0.10359273850917816,-0.017265455797314644
-58.239837646484375,-28.249740600585938,86.64496612548828,0.3107782304286957,0.06215564161539078,0.03453091159462929,-0.10704582929611206,-0.013812365010380745
-53.88894271850586,-33.40865707397461,87.39083862304688,0.3418560326099396,0.05870255082845688,0.041437096893787384,-0.11395201086997986,-0.013812365010380745
-49.32050323486328,-38.50542068481445,87.825927734375,0.2797003984451294,0.05179636925458908,0.04834327846765518,-0.11395201086997986,-0.010359274223446846
-44.53451919555664,-43.384639739990234,87.91915893554688,0.15538911521434784,0.04489018768072128,0.05524946004152298,-0.11395201086997986,-0.013812365010380745
-39.65530014038086,-48.170623779296875,87.60838317871094,0.12431129068136215,0.04489018768072128,0.06215564161539078,-0.11395201086997986,-0.010359274223446846
-34.558536529541016,-52.707984924316406,86.98682403564453,0.031077822670340538,0.041437096893787384,0.06906182318925858,-0.11740510165691376,-0.0069061825051903725
-29.368541717529297,-57.08995819091797,86.14772033691406,0.0,0.03453091159462929,0.07251491397619247,-0.11740510165691376,-0.0069061825051903725
-24.116390228271484,-61.31654357910156,84.96676635742188,-0.062155645340681076,0.03107782080769539,0.07596801221370697,-0.11395201086997986,-0.0069061825051903725
-18.70884895324707,-65.29450225830078,83.53718566894531,-0.062155645340681076,0.020718548446893692,0.08632728457450867,-0.11049892008304596,-0.0069061825051903725
-13.301307678222656,-69.11707305908203,81.79682922363281,-0.12431129068136215,0.02417163923382759,0.08632728457450867,-0.11395201086997986,-0.0069061825051903725
-7.800533294677734,-72.65995025634766,79.77677154541016,-0.09323346614837646,0.017265455797314644,0.09323346614837646,-0.11049892008304596,-0.0034530912525951862
-2.2997589111328125,-75.7988052368164,77.35269927978516,-0.12431129068136215,0.0069061825051903725,0.09668655693531036,-0.11049892008304596,-0.0034530912525951862
3.1699378490448,-78.59580993652344,74.64892578125,-0.15538911521434784,0.0,0.09668655693531036,-0.10359273850917816,-0.0034530912525951862
8.515323638916016,-81.05095672607422,71.57222747802734,-0.21754474937915802,-0.0034530912525951862,0.10013964772224426,-0.10013964772224426,0.0
