220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV玉元线Ⅰ回_A相_13,220kV玉元线Ⅰ回_B相_14,220kV玉元线Ⅰ回_C相_15,220kV玉元线Ⅰ回_3I0_16
-80.54542541503906,14.259102821350098,66.16631317138672,-0.12465573847293854,0.08339928835630417,0.24104206264019012,-0.23189224302768707,0.018544703722000122
-70.43280029296875,-7.836270809173584,78.19749450683594,-0.12465573847293854,0.01853317581117153,0.2595837712287903,-0.1669624149799347,0.027817055583000183
-54.955360412597656,-28.829994201660156,84.42588806152344,1.1998114585876465,-0.09266588091850281,0.27812546491622925,-0.12985965609550476,0.018544703722000122
-35.60856246948242,-49.584678649902344,85.41204833984375,0.45187705755233765,-0.1389988213777542,0.28739631175994873,-0.09275689721107483,0.027817055583000183
-13.981982231140137,-66.58751678466797,80.64732360839844,0.2337295114994049,-0.17606517672538757,0.27812546491622925,0.009275689721107483,0.018544703722000122
8.282520294189453,-78.63292694091797,70.37047576904297,0.31163933873176575,-0.19459834694862366,0.2503129243850708,0.06492982804775238,0.018544703722000122
29.260723114013672,-84.9102554321289,55.12129211425781,-0.6856065392494202,-0.23166470229625702,0.1946878284215927,0.12058396637439728,0.046361759305000305
49.527801513671875,-85.57540130615234,35.90669250488281,0.0,-0.2501978874206543,0.13906273245811462,0.18551379442214966,0.046361759305000305
66.59481048583984,-80.78426361083984,14.263023376464844,0.2960573732852936,-0.24093128740787506,0.06489594280719757,0.23189224302768707,0.027817055583000183
78.73623657226562,-70.66154479980469,-7.9412031173706055,0.31163933873176575,-0.18533176183700562,0.009270848706364632,0.2689949870109558,0.037089407444000244
84.64485168457031,-55.082542419433594,-28.87898826599121,1.246557354927063,-0.1389988213777542,-0.08343763649463654,0.30609774589538574,0.046361759305000305
85.49192810058594,-35.554222106933594,-49.536495208740234,0.7011885046958923,-0.08339928835630417,-0.12052103132009506,0.30609774589538574,0.037089407444000244
80.44084167480469,-13.978493690490723,-66.36354064941406,0.2337295114994049,-0.01853317581117153,-0.17614611983299255,0.2875463664531708,0.037089407444000244
70.22364044189453,8.189630508422852,-78.40510559082031,0.20256558060646057,0.055599525570869446,-0.21322952210903168,0.25044360756874084,0.027817055583000183
54.78803634643555,29.06903076171875,-84.63349914550781,-1.1063196659088135,0.12046564370393753,-0.23177121579647064,0.18551379442214966,0.037089407444000244
35.38895034790039,49.73017883300781,-85.60928344726562,-0.49862295389175415,0.17606517672538757,-0.24104206264019012,0.1576867252588272,0.018544703722000122
13.793743133544922,66.66027069091797,-80.74075317382812,-0.15581966936588287,0.21313151717185974,-0.21322952210903168,0.06492982804775238,0.037089407444000244
-8.42892837524414,78.64331817626953,-70.42237854003906,-0.1402377039194107,0.25946447253227234,-0.17614611983299255,0.009275689721107483,0.018544703722000122
-29.40713119506836,84.80632781982422,-55.02786636352539,0.779098391532898,0.2779976427555084,-0.12979188561439514,-0.08348120748996735,0.037089407444000244
-49.76832962036133,85.45069122314453,-35.740604400634766,-0.015581967309117317,0.28726422786712646,-0.08343763649463654,-0.12985965609550476,0.037089407444000244
-66.69938659667969,80.61797332763672,-14.003506660461426,-0.10907377302646637,0.2779976427555084,-0.018541697412729263,-0.18551379442214966,0.009272351861000061
-78.76760864257812,70.32897186279297,8.200718879699707,-0.3428032696247101,0.22239810228347778,0.06489594280719757,-0.19478948414325714,0.018544703722000122
-84.6971435546875,54.81232452392578,29.138505935668945,-1.246557354927063,0.19459834694862366,0.13906273245811462,-0.24116793274879456,0.018544703722000122
-85.3978042602539,35.335968017578125,49.73373031616211,-0.5142049193382263,0.1575319916009903,0.18541696667671204,-0.25044360756874084,0.018544703722000122
-80.41992950439453,13.843385696411133,66.43621063232422,-0.20256558060646057,0.06486611813306808,0.23177121579647064,-0.2226165533065796,0.018544703722000122
-70.15043640136719,-8.345524787902832,78.38434600830078,-0.15581966936588287,0.0,0.2595837712287903,-0.18551379442214966,0.027817055583000183
