17-220kVⅡ母电压Ua_17,18-220kVⅡ母电压Ub_18,19-220kVⅡ母电压Uc_19,20-220kVⅡ母电压3Uo_20,5-砚马Ⅱ回266电流Ia_5,6-砚马Ⅱ回266电流Ib_6,7-砚马Ⅱ回266电流Ic_7,8-砚马Ⅱ回266电流3Io_8
48.493961334228516,36.7054328918457,-85.67608642578125,-0.8561784625053406,0.12582123279571533,0.13650882244110107,-0.2690420150756836,-0.01794806309044361
44.137454986572266,41.42832565307617,-85.92975616455078,-0.570785641670227,0.10784677416086197,0.1508781611919403,-0.27621644735336304,-0.01794806309044361
39.431156158447266,46.05612564086914,-85.80291748046875,-0.4756546914577484,0.0898723155260086,0.16165517270565033,-0.27621644735336304,-0.014358451589941978
34.597660064697266,50.398651123046875,-85.26387786865234,-0.4122340679168701,0.07908763736486435,0.17961686849594116,-0.2690420150756836,-0.01794806309044361
29.509769439697266,54.3291130065918,-84.0589599609375,-0.3488134443759918,0.06470806151628494,0.19039388000965118,-0.2690420150756836,-0.01794806309044361
24.326478958129883,58.2912712097168,-82.72720336914062,-0.15855155885219574,0.04673360288143158,0.2011708915233612,-0.2690420150756836,-0.01794806309044361
19.270387649536133,62.06324768066406,-81.42716217041016,-0.15855155885219574,0.03235403075814247,0.21194790303707123,-0.2654547691345215,-0.01794806309044361
14.087099075317383,65.7718276977539,-80.03199005126953,-0.2853928208351135,0.014379570260643959,0.21913257241249084,-0.26186755299568176,-0.014358451589941978
8.713013648986816,69.2268295288086,-78.19290161132812,-0.44394436478614807,0.0,0.22990958392620087,-0.2475186437368393,-0.010768838226795197
3.307129144668579,72.39655303955078,-75.87818908691406,-0.3171031177043915,-0.01797446236014366,0.23709426820278168,-0.24034418165683746,-0.014358451589941978
-2.066955804824829,75.281005859375,-73.40493774414062,-0.3171031177043915,-0.03235403075814247,0.2442789375782013,-0.2295825034379959,-0.014358451589941978
-7.441040992736816,77.94357299804688,-70.7414321899414,-0.3171031177043915,-0.053923387080430984,0.2550559341907501,-0.22240805625915527,-0.014358451589941978
-12.846924781799316,80.16238403320312,-67.4754638671875,-0.2853928208351135,-0.06470806151628494,0.2550559341907501,-0.2080591470003128,-0.014358451589941978
-18.252809524536133,81.87403869628906,-63.76558303833008,-0.1902618706226349,-0.0826825276017189,0.26224061846733093,-0.20088469982147217,-0.010768838226795197
-23.404298782348633,83.42720031738281,-59.86545181274414,0.15855155885219574,-0.09706209599971771,0.26583296060562134,-0.1865357905626297,-0.007179225794970989
-28.396793365478516,84.56830596923828,-55.99702835083008,0.2853928208351135,-0.11144166439771652,0.26942530274391174,-0.17218688130378723,-0.007179225794970989
-33.484683990478516,85.42413330078125,-51.68468475341797,0.4122340679168701,-0.12582123279571533,0.26224061846733093,-0.15425074100494385,-0.010768838226795197
-38.349979400634766,85.83619689941406,-47.24551010131836,0.3488134443759918,-0.1437956988811493,0.26583296060562134,-0.1434890627861023,-0.007179225794970989
-42.992679595947266,85.96298217773438,-42.901458740234375,0.1268412470817566,-0.15458038449287415,0.26942530274391174,-0.12914016842842102,-0.007179225794970989
-47.539981842041016,85.74110412597656,-38.240325927734375,-0.15855155885219574,-0.1653650552034378,0.26942530274391174,-0.11479125171899796,-0.0035896128974854946
-51.960086822509766,84.91697692871094,-33.198692321777344,-0.44394436478614807,-0.1797446310520172,0.26583296060562134,-0.09326789528131485,0.0
-55.96680450439453,83.42720031738281,-27.90338897705078,-0.8244681358337402,-0.19412419199943542,0.26224061846733093,-0.0825062170624733,-0.0035896128974854946
-59.84632110595703,82.15930938720703,-22.734920501708984,-0.7610474824905396,-0.20131398737430573,0.2586482763290405,-0.06457008421421051,0.0
-63.37604522705078,80.66954040527344,-17.724992752075195,-0.6976268887519836,-0.21569354832172394,0.2550559341907501,-0.046633947640657425,0.0035896128974854946
-66.90576934814453,79.08467864990234,-12.461400032043457,-0.5073649883270264,-0.2192884385585785,0.2478712797164917,-0.02869781292974949,0.0035896128974854946
-70.18109893798828,77.02435302734375,-7.166097640991211,-0.44394436478614807,-0.23007312417030334,0.23709426820278168,-0.010761680081486702,0.0
-73.13843536376953,74.71045684814453,-1.7756701707839966,-0.3171031177043915,-0.23726290464401245,0.22990958392620087,0.0,0.007179225794970989
-75.87317657470703,72.23806762695312,3.519631862640381,-0.1902618706226349,-0.24445268511772156,0.22272491455078125,0.021523360162973404,0.010768838226795197
-78.41712188720703,69.38531494140625,8.84664249420166,-0.3805237412452698,-0.25164246559143066,0.20835556089878082,0.035872265696525574,0.007179225794970989
-80.51587677001953,65.7718276977539,14.141944885253906,-0.9830197095870972,-0.2552373707294464,0.1975785493850708,0.05739562585949898,0.007179225794970989
-82.32843780517578,62.09494400024414,19.437246322631836,-1.2367022037506104,-0.25883224606513977,0.18680153787136078,0.07174453139305115,0.007179225794970989
-83.60041046142578,58.2912712097168,24.574007034301758,-1.2367022037506104,-0.2624271512031555,0.17243218421936035,0.08968066424131393,0.010768838226795197
-84.71338653564453,54.3291130065918,29.647350311279297,-1.2049919366836548,-0.25883224606513977,0.15806284546852112,0.10761680454015732,0.010768838226795197
-85.38117218017578,49.98658752441406,34.72069549560547,-1.2049919366836548,-0.25883224606513977,0.13650882244110107,0.12196570634841919,0.010768838226795197
-85.92176055908203,45.453880310058594,39.44524383544922,-1.617226004600525,-0.25883224606513977,0.12573181092739105,0.13631461560726166,0.010768838226795197
